Model_Key,Model,fold,training_rows,validation_rows,fit_seconds,RMSE_RM,MAE_RM,R2,selected_candidate,inner_candidate_scores
random_forest,Random Forest,1,3032.0,759.0,1.744842600019183,114035.91630798248,61080.8735514796,0.8665078963091242,,
random_forest,Random Forest,2,3033.0,758.0,1.8275996000156738,125040.10424894688,61584.050678400694,0.8964286218699551,,
random_forest,Random Forest,3,3033.0,758.0,1.952288199972827,120165.98875643134,63638.51515126057,0.8619963443563077,,
random_forest,Random Forest,4,3033.0,758.0,1.9638344999984838,107020.96705787217,56380.0940641429,0.862624599868285,,
random_forest,Random Forest,5,3033.0,758.0,1.7917620000080206,147065.39263804478,63403.01795046176,0.7968415416405629,,
catboost,CatBoost,1,3032.0,759.0,32.97017230000347,129145.71206115326,72835.91945318916,0.8287887704002174,2.0,"[{'RMSE_RM': 159963.36412188783, 'MAE_RM': 81819.70946589002}, {'RMSE_RM': 156318.94456971722, 'MAE_RM': 79401.19691960549}, {'RMSE_RM': 155091.45587994627, 'MAE_RM': 80357.82884319386}]"
catboost,CatBoost,2,3033.0,758.0,37.26504540001042,153872.96284075288,74293.39986846327,0.8431567859378076,1.0,"[{'RMSE_RM': 149866.18408001144, 'MAE_RM': 80418.63221187452}, {'RMSE_RM': 148590.35983198642, 'MAE_RM': 77461.44623395907}, {'RMSE_RM': 149536.4430004436, 'MAE_RM': 78647.51214323085}]"
catboost,CatBoost,3,3033.0,758.0,36.90214570000535,123107.64476366171,71486.24859249279,0.855157001277279,1.0,"[{'RMSE_RM': 162499.71192224853, 'MAE_RM': 84237.3007867443}, {'RMSE_RM': 154505.63338900972, 'MAE_RM': 79178.86414540475}, {'RMSE_RM': 154995.44126878446, 'MAE_RM': 81309.54418021112}]"
catboost,CatBoost,4,3033.0,758.0,35.74667760002194,144003.1505838389,72789.01770225952,0.751277418697504,1.0,"[{'RMSE_RM': 152951.15405295684, 'MAE_RM': 82051.87988645618}, {'RMSE_RM': 148279.73855888963, 'MAE_RM': 78422.81299167806}, {'RMSE_RM': 152595.86328217908, 'MAE_RM': 80395.51131805588}]"
catboost,CatBoost,5,3033.0,758.0,35.144917800033,169168.4720769204,76129.2462297245,0.7311854396238436,2.0,"[{'RMSE_RM': 147170.48033728654, 'MAE_RM': 79533.66581836253}, {'RMSE_RM': 146918.65292443306, 'MAE_RM': 77579.85662386779}, {'RMSE_RM': 146060.07248030885, 'MAE_RM': 78264.95994215412}]"
xgboost,XGBoost,1,3032.0,759.0,1.5452837999910116,113409.1726441667,59928.49490336342,0.867971214528503,1.0,"[{'RMSE_RM': 138245.46981245046, 'MAE_RM': 70340.50566500924}, {'RMSE_RM': 133198.46738623717, 'MAE_RM': 67830.60318759187}, {'RMSE_RM': 133787.45882558267, 'MAE_RM': 67738.32195529305}]"
xgboost,XGBoost,2,3033.0,758.0,2.9327798999729566,129615.38966333553,63815.25370579219,0.8887104873757461,2.0,"[{'RMSE_RM': 145963.82544126056, 'MAE_RM': 72272.49068338163}, {'RMSE_RM': 142692.48956083952, 'MAE_RM': 69416.94063724949}, {'RMSE_RM': 141900.04373405175, 'MAE_RM': 68841.9420423287}]"
xgboost,XGBoost,3,3033.0,758.0,2.783453100011684,120952.35275901374,63937.178822842,0.8601842478021011,2.0,"[{'RMSE_RM': 138780.51979183743, 'MAE_RM': 72086.0475633677}, {'RMSE_RM': 134653.67727406058, 'MAE_RM': 68583.80551781559}, {'RMSE_RM': 134578.4494482761, 'MAE_RM': 68494.32304668282}]"
xgboost,XGBoost,4,3033.0,758.0,2.918134999985341,114434.38996831319,59027.23037852587,0.8429332179903276,2.0,"[{'RMSE_RM': 142812.8109524618, 'MAE_RM': 71999.63386445782}, {'RMSE_RM': 141819.7109498425, 'MAE_RM': 69856.07318521453}, {'RMSE_RM': 138842.50085113445, 'MAE_RM': 69149.31068903218}]"
xgboost,XGBoost,5,3033.0,758.0,1.6167905000038445,144383.73898803664,62827.26173198287,0.8041829500743217,1.0,"[{'RMSE_RM': 140415.15719273602, 'MAE_RM': 71139.55688365882}, {'RMSE_RM': 131998.19684298223, 'MAE_RM': 67783.66633048531}, {'RMSE_RM': 132225.97555695745, 'MAE_RM': 67786.00898643567}]"
lightgbm,LightGBM,1,3032.0,759.0,0.9827132999780588,106669.01258870984,58745.19888668885,0.8831983941170307,1.0,"[{'RMSE_RM': 137210.10100624358, 'MAE_RM': 70393.03760699637}, {'RMSE_RM': 132305.84556669707, 'MAE_RM': 69493.21775526647}, {'RMSE_RM': 134933.72266716076, 'MAE_RM': 70210.37145974238}]"
lightgbm,LightGBM,2,3033.0,758.0,0.9943201999994926,128664.46269757894,64946.98565145784,0.8903374545599804,1.0,"[{'RMSE_RM': 140694.8744729399, 'MAE_RM': 70923.03164508058}, {'RMSE_RM': 139123.85098039525, 'MAE_RM': 70199.1669427892}, {'RMSE_RM': 143785.4453602217, 'MAE_RM': 70928.69442347741}]"
lightgbm,LightGBM,3,3033.0,758.0,0.9258297000196762,125320.69634910904,65909.3287419251,0.8499026374795121,1.0,"[{'RMSE_RM': 136086.76580794295, 'MAE_RM': 70803.08862807722}, {'RMSE_RM': 135464.98052808433, 'MAE_RM': 70200.06709413558}, {'RMSE_RM': 137902.79997267327, 'MAE_RM': 71322.31397828762}]"
lightgbm,LightGBM,4,3033.0,758.0,0.8904483999940567,119190.7088964108,60610.61503656753,0.829605318943915,1.0,"[{'RMSE_RM': 140797.81701347456, 'MAE_RM': 71912.18889066135}, {'RMSE_RM': 138975.58894302955, 'MAE_RM': 70608.08790474733}, {'RMSE_RM': 141204.4820424407, 'MAE_RM': 71667.23358692155}]"
