Model_Key,Model,RMSE_RM,MAE_RM,R2,Adjusted_R2,Median_AE_RM,RMSLE,MAPE_Percent,Median_APE_Percent,Mean_Error_RM,Median_Error_RM,Top5_RMSE_RM,Top5_MAE_RM,Remaining95_RMSE_RM,Remaining95_MAE_RM,Training_RMSE_RM,Training_MAE_RM,Training_R2,RMSE_Gap_RM,MAE_Gap_RM,R2_Gap,Fold_RMSE_SD_RM,RMSE_difference_RM,RMSE_percentage_change,MAE_difference_RM,MAE_percentage_change,R2_difference,Top5_RMSE_difference_RM,Top5_RMSE_percentage_change
feature_minus_micro_market,Lightgbm FE minus_micro_market,120372.50720563732,61398.96552303074,0.866698574008528,0.865204801358677,32756.79514097757,0.20868221596241365,15.200785807874805,9.647205971371315,-1221.8974797922472,3374.984530591697,420311.5104220744,295732.30946059735,77024.85109953633,49034.80685928797,54830.39171260481,28890.841626756057,0.972248314171685,65542.1154930325,32508.123896274683,0.10554974016315699,10557.572320790456,-3043.748883765613,-2.466246327842514,181.69123352228053,0.29679732662226543,0.006826572171418022,-16826.305387716973,-3.849199217996386
random_forest,Random Forest,123416.25608940293,61217.27428950846,0.85987200183711,0.8586787884413642,32924.28841907636,0.213761521827448,15.528734653638718,9.69963711299978,343.4265123088905,4952.998965304112,437137.8158097914,294346.1151562098,77154.13577508794,48916.66896746646,65564.99399878696,30531.77994767423,0.9602089293546026,57851.26209061597,30685.49434183423,0.10033692751749257,13612.216484230457,0.0,0.0,0.0,0.0,0.0,0.0,0.0
best_stack,Best Stack,123926.89123571671,61717.03583605661,0.8587100429323895,0.8575069352617766,33077.96308269337,0.21320393371825905,15.688782430428336,9.77513932332015,-2008.9769488644918,6224.76879942324,445128.225323529,309037.6628997871,75589.4465576593,48667.627576654,128990.20004206648,65077.48754201458,0.8463502700801241,-5063.308806349771,-3360.451705957974,-0.012359772852265416,12926.759731312184,510.6351463137835,0.4137503133654278,499.76154654815036,0.8163734049717409,-0.0011619589047204837,7990.409513737599,1.8278925374908328
best_blend,Best Blend,124721.03383016086,61805.4385627744,0.8568934253540899,0.8556748488802556,33010.38759555921,0.2102158107699663,15.407597841503634,9.732253092375336,-537.8271038443256,4922.884584652973,445741.3424438249,307105.35305733996,76764.74086034072,48862.64940588258,130097.53400417557,65360.37557645491,0.843769187929342,-5376.500174014713,-3554.9370136805155,-0.013124237424747887,13305.805111429014,1304.777740757927,1.0572170815267188,588.1642732659384,0.9607815442490866,-0.0029785764830201344,8603.526634033537,1.9681497053956838
lightgbm,LightGBM,124980.27164726966,62714.80760633532,0.8562979012406693,0.8550742537791742,33006.07691708999,0.21300477243193203,15.548121363802284,9.881602842026407,-2190.3219438590177,3472.4267238916364,443864.849441283,307872.2328176816,77775.6549464787,49779.536628785805,54096.628308796884,28841.39250068647,0.9728936016318948,70883.64333847279,33873.41510564885,0.11659570039122547,11683.214511705346,1564.0155578667327,1.2672686787174596,1497.5333168268626,2.446259383821525,-0.003574100596440699,6727.033631491591,1.5388816497218067
xgboost,XGBoost,125083.55754940964,61906.56199106388,0.8560602871960672,0.8548346164111481,33450.17738342285,0.21263028330736466,15.53598995254907,9.75930374948602,-65.18428821753902,3926.904052734375,448933.73114604276,300545.8881498638,76403.30059192453,49315.20626482895,54895.02745793849,29336.536145838123,0.9720461523013826,70188.53009147116,32570.025845225755,0.11598586510531539,11475.37916628827,1667.3014600067108,1.3509577367173697,689.2877015554186,1.1259692783700925,-0.003811714641042796,11795.915336251375,2.698443124715627
tweedie,Tweedie LightGBM,125507.56992904993,61527.00928188397,0.8550827699928868,0.8538487754851094,33286.47430171294,0.20889615167822617,14.972042573003435,9.884319859080271,-7257.6807673861,437.97029801883036,457271.1585206354,309161.7366240689,74502.86539853415,48461.02811137157,55571.910800444195,27433.47100218536,0.9714185928650302,69935.65912860574,34093.53827969861,0.11633582287214339,9139.06774150849,2091.313839647002,1.6945205647237032,309.73499237551005,0.5059601166015866,-0.004789231844223196,20133.34271084401,4.605719748484191
feature_full,Lightgbm FE full,125787.57134393544,62137.24874771974,0.8544354418328891,0.8518556188363721,33027.905311572365,0.21019295802814422,15.27891090371799,9.709511456946233,433.46754647050636,4013.8200114237843,446850.670125362,306239.83026302914,78242.28087709533,49257.63461611496,57374.341666491586,29339.897340219923,0.9695149246499323,68413.22967744386,32797.351407499824,0.11507948281704317,15187.520598713721,2371.315254532514,1.9213961998772102,919.9744582112835,1.5028020585505726,-0.005436560004220881,9712.854315570614,2.2219204022826746
target_log_ppsf,RF Log1p PPSF,127110.66822339737,60724.86796300452,0.8513570944028563,0.8500913751428487,32184.858028055314,0.21153129119828082,14.812395496827314,9.54983084554828,-11105.19757911427,-984.1439760212088,466193.0737807492,310061.60219678027,74446.60750158694,47569.08359632376,68104.57146330632,30848.675749386533,0.9571241394077884,59006.09676009105,29876.19221361799,0.10576704500493206,12015.001572229748,3694.4121339944395,2.993456657215563,-492.4063265039367,-0.8043584628992968,-0.008514907434253649,29055.257970957842,6.646704293274971
huber,Huber Boosting,130295.12629984246,63983.86806505193,0.8438160059058963,0.8424860730131312,35532.842320417025,0.2160774222128894,15.801648188049318,10.513900736730447,-6704.427400328749,2966.786179587274,479362.9240467937,325070.67896092247,75816.8511895534,50208.112977516415,74765.51965294726,38135.23365590941,0.9483537802886168,55529.606646895205,25848.63440914252,0.1045377743827205,12813.42434467292,6878.870210439534,5.573714864155716,2766.5937755434716,4.519302447965436,-0.01605599593121365,42225.108237002336,9.65944988282035
