Model_Key,Model,Top5_count,Top5_RMSE_RM,Top5_MAE_RM,Top5_Mean_Error_RM,Top5_Median_Error_RM,Top5_Underpredicted_Percent,Remaining95_count,Remaining95_RMSE_RM,Remaining95_MAE_RM,Remaining95_Mean_Error_RM,Remaining95_Median_Error_RM,Remaining95_Underpredicted_Percent
random_forest,Random Forest,190,437137.8158097914,294346.1151562098,-125299.62620468433,-76809.11590145808,61.05263157894737,3601,77154.13577508794,48916.66896746646,6972.746150250771,5634.404249602172,44.071091363510135
catboost,CatBoost,190,519434.79393321153,369469.22378494864,-188808.62025180642,-170363.98783980438,71.57894736842105,3601,88557.5669093659,57890.67701740597,10033.45664439776,6686.862741247925,45.459594557067476
xgboost,XGBoost,190,448933.73114604276,300545.8881498638,-131164.94565911544,-95403.85501098633,60.526315789473685,3601,76403.30059192453,49315.20626482895,6852.048330630171,4813.73046875,45.598444876423216
lightgbm,LightGBM,190,443864.849441283,307872.2328176816,-151380.49014188602,-115699.68816218479,63.1578947368421,3601,77775.6549464787,49779.536628785805,5681.4170057730635,4316.721259955026,46.34823660094418
huber,Huber Boosting,190,479362.9240467937,325070.67896092247,-185113.26179048134,-129691.5995721441,67.36842105263158,3601,75816.8511895534,50208.112977516415,2708.9795794349243,3988.043425812677,46.487086920299916
tweedie,Tweedie LightGBM,190,457271.1585206354,309161.7366240689,-161466.19551574704,-99528.70707878389,65.78947368421053,3601,74502.86539853415,48461.02811137157,878.841810283599,1502.7380085262994,48.764232157733964
target_log_ppsf,RF Log1p PPSF,190,466193.0737807492,310061.60219678027,-179414.89604750715,-119636.37002529786,66.3157894736842,3601,74446.60750158694,47569.08359632376,-2224.652533572853,84.21345984510845,49.87503471257984
target_log_price,RF Log1p Total Price,190,601717.9814858703,374797.02245825256,-292352.48906288174,-204230.24434352445,74.73684210526315,3601,81420.85723863615,51436.34610881818,-2102.592579179855,997.9422763187322,48.9030824770897
target_boxcox_price,RF Box-Cox Total Price,190,609010.2940675778,378260.0202523568,-304512.7063669699,-216935.46426845383,76.31578947368422,3601,80567.6998497735,51166.97175151376,-3720.9894282443056,-143.03341070158058,50.18050541516246
feature_full,Lightgbm FE full,190,446850.670125362,306239.83026302914,-106526.50357617794,-94283.0176665166,60.0,3601,78242.28087709533,49257.63461611496,6077.009482961262,4616.115177017811,45.2929741738406
feature_minus_micro_market,Lightgbm FE minus_micro_market,190,420311.5104220744,295732.30946059735,-132901.63196962455,-101053.135668176,64.73684210526316,3601,77024.85109953633,49034.80685928797,5725.936331112539,4225.073745988542,46.098306026103856
feature_minus_interactions,Lightgbm FE minus_interactions,190,486868.5815008796,320350.28207977966,-113145.38569402306,-84838.59124414629,60.0,3601,79537.2507725309,49529.543529095936,7285.76337335417,3916.638847198192,45.87614551513469
best_blend,Best Blend,190,445741.3424438249,307105.35305733996,-145475.01438259953,-101653.45061697531,62.63157894736842,3601,76764.74086034072,48862.64940588258,7109.511297422959,5721.927630996914,44.54318244931964
best_stack,Best Stack,190,445128.225323529,309037.6628997871,-179065.91704729828,-128202.0193316323,67.36842105263158,3601,75589.4465576593,48667.627576654,7333.099868325846,7176.161553983518,43.40460983060261
