variant,fold,train_rows,validation_rows,rmse_rm,mae_rm,r2,adjusted_r2,median_ae_rm,top5_count,top5_rmse_rm,top5_mae_rm,p95_p99_count,p95_p99_rmse_rm,p99_p100_count,p99_p100_rmse_rm
A_current_canonical,1,3032,759,109737.36309210744,60086.553124787584,0.8763821162852261,0.868210469963715,33783.805250882724,36,380740.0770762966,304157.53360838146,31,392504.0668431777,5,297598.89427646354
A_current_canonical,2,3033,758,114708.85852815118,61670.59079973808,0.9128364284897903,0.9070664455870018,32941.81443169265,47,354618.7796164966,268382.43547989335,37,297096.6624091577,10,514257.0091036321
A_current_canonical,3,3033,758,119236.80319619087,62240.86467626786,0.8641223241146723,0.8551276047250802,31620.020531955408,40,399644.8155246398,283970.25575107837,30,281967.9975603042,10,632729.0568311135
A_current_canonical,4,3033,758,107414.00710869335,57400.26500788628,0.8616137104382661,0.8524529278898133,33211.19973629041,35,369294.00181442243,251674.04191949527,31,309517.2406344136,4,671454.2989689779
A_current_canonical,5,3033,758,139839.77913840555,63438.436503201214,0.8163142804795185,0.8041548032718246,31922.134033998154,32,559308.4442114384,362517.82016216905,22,268188.01869618,10,918045.9710891942
B_clearly_invalid_removed,1,3030,758,108825.71943249529,60750.08588010666,0.8706923241581982,0.8621325202644451,35563.50952314705,37,340433.6393240252,242734.0071070762,31,281334.8073439583,6,552945.120011123
B_clearly_invalid_removed,2,3030,758,127569.05914457946,63431.7169013369,0.874285446601934,0.8659634972924846,33773.935392924235,40,452068.38692660164,309718.59924617654,33,314199.34087285027,7,838095.8525792668
B_clearly_invalid_removed,3,3030,758,120134.47946711276,62122.85585164272,0.839352628840046,0.8287182253970631,33544.342175827274,38,427103.2880692921,319921.9854535148,30,308202.07830756815,8,714335.2397186927
B_clearly_invalid_removed,4,3031,757,100436.5883488361,54907.513586992936,0.8647106416897836,0.8557422357087114,31322.662712170742,35,324715.69204987516,213011.68638253087,29,207433.9666266478,6,638040.3799155317
B_clearly_invalid_removed,5,3031,757,147042.09569110905,66052.64479518398,0.8509844091521632,0.8411060836657763,33663.25211915659,39,567279.7641236302,378013.23038282956,28,361603.30154810427,11,898951.5289414867
