row_id,price,property_size_sqft,ppsf,property_type,building_name,developer,city,state,bedroom,bathroom,parking_lot,completion_year,number_of_floors,total_units,validity_status,flag_reason,recommended_action,audit_evidence,description,exact_duplicate_flag,possible_repeat_flag,possible_repeat_group,possible_repeat_identical_description,premium_over_850k,canonical_top5_flag,canonical_top1_flag,ppsf_extreme_diagnostic_flag,valid_but_extreme_flag,premium_text_feature_count,premium_context_supported,optional_missing_count,explicit_description_sizes,explicit_description_prices,original_oof_prediction_rm,original_oof_absolute_error_rm,original_oof_fold
102920513,288000,810.0,355.55555555555554,Condominium,Puncak Banyan,Connaught Heights Sdn Bhd,Kuala Lumpur,Kuala Lumpur,3.0,2.0,1.0,2007.0,20.0,1.0,SUSPICIOUS,STRATA_TOTAL_UNITS_NEEDS_REVIEW,RETAIN_PENDING_REVIEW,"Optional total_units is <=3 or >=5,000 for a strata development; may refer to block/phase or be a source entry error. | OPTIONAL_MISSING_COUNT=1; retained with existing fold-safe handling unless another independent rule applies.","~~puncak banyan condo for sale~~ daniel ng show contact number - 810sf - 3 bedroom - 2 bathroom - 1 car park - freehold - convenient location for ucsi students - convenient location for ucsi students - walking distance to banks, giant hypermarket, printing shops, cafe, bubble milk tea shop - facilities are such as swimming pool, mini market, 24 hours security and etc. - lawyer & loan can be arranged ✔ appreciate appointment viewing ✔ loan mark up approval ✔ high rate loan approval ✔ 0% down-payment ✔ 100% loan apply ✔ 1st house rebate ✔ contact me for info show contact number daniel ng kindly contact : name : daniel ng h/p. : show contact number wa.me/6 show contact number vestcom realty ( ren 43298 ) for more inquiry or viewing continue reading property highlights new! bedroom 3 bathroom 2 property size 810 sq.ft. nearby school smk orkid desa see more details",False,False,,False,False,False,False,False,False,0,True,1,[810.0],[],309364.7837265853,21364.783726585272,1
103804443,394000,1100.0,358.1818181818182,Condominium,Selangor » Kajang,Unknown,Kajang,Selangor,3.0,2.0,2.0,,,,SUSPICIOUS,SINGLE_DESCRIPTION_SIZE_MISMATCH,RETAIN_PENDING_REVIEW,Only explicit description size differs from structured property_size_sqft by more than 10%. | OPTIONAL_MISSING_COUNT=5; retained with existing fold-safe handling unless another independent rule applies.,"nearby malaysia largest shopping mall, ready to move in provide 6 layouts (830-1300sqft) luxury and comfortable environment to living, surrouded by greenery environment feel fresh air, and healthy life !!! super low density only 8 unit per floor, walk to shopping mall, and shoplots to satisfy our live, food, fun, and drinks. easily access to highway. ​✅ 10-15% rebates ✅ free all legal fees ✅ free mot ✅ free top grade furnitures ✅ cashbacks up to rm 60,000 ✅ equipped with wardrobes, cabinets, smart lock, shower screen, water hilter (clubhouse facilities) 🔸 exploratory lab 🔸 gym 🔸 swimming pool 🔸 yoga deck 🔸 jacuzzi 🔸 sky gardens (amenities) 🏢 ioi city mall - malaysia's largest shopping center (walking distance 500m) 🏞 close to a 10-acre central park* ⛳ championship-level golf courses 👩🏻‍⚕ putrajaya rehabilitation hospital (4.8 km) 🏥 serdang hospital (5.3 km) 🏪 conezion retails shoplots (walking distance 5 min) (transportation) 🚅 erl ( putrajaya cyberjaya line) 🚄 mrt sierra 16( putrajaya line) 🚌 shuttle bus (accesbility) - 5km to serdang - 9km to seri kembangan - 15km to bukit jalil - 18km to puchong - 25km to kuala lumpur contact osric show contact number to get e-brochure osric show contact number osric show contact number osric  show contact number continue reading",False,False,,False,False,False,False,False,False,1,True,5,[1300.0],[60000.0],388873.4276716832,5126.5723283168045,4
103804319,390000,1100.0,354.54545454545456,Condominium,Selangor » Kajang,Unknown,Kajang,Selangor,3.0,2.0,2.0,,,,SUSPICIOUS,SINGLE_DESCRIPTION_SIZE_MISMATCH,RETAIN_PENDING_REVIEW,Only explicit description size differs from structured property_size_sqft by more than 10%. | OPTIONAL_MISSING_COUNT=5; retained with existing fold-safe handling unless another independent rule applies.,"nearby malaysia largest shopping mall, ready to move in provide 6 layouts (830-1300sqft) luxury and comfortable environment to living, surrouded by greenery environment feel fresh air, and healthy life !!! super low density only 8 unit per floor, walk to shopping mall, and shoplots to satisfy our live, food, fun, and drinks. easily access to highway. ​✅ 10-15% rebates ✅ free all legal fees ✅ free mot ✅ free top grade furnitures ✅ cashbacks up to rm 60,000 ✅ equipped with wardrobes, cabinets, smart lock, shower screen, water hilter (clubhouse facilities) 🔸 exploratory lab 🔸 gym 🔸 swimming pool 🔸 yoga deck 🔸 jacuzzi 🔸 sky gardens (amenities) 🏢 ioi city mall - malaysia's largest shopping center (walking distance 500m) 🏞 close to a 10-acre central park* ⛳ championship-level golf courses 👩🏻‍⚕ putrajaya rehabilitation hospital (4.8 km) 🏥 serdang hospital (5.3 km) 🏪 conezion retails shoplots (walking distance 5 min) (transportation) 🚅 erl ( putrajaya cyberjaya line) 🚄 mrt sierra 16( putrajaya line) 🚌 shuttle bus (accesbility) - 5km to serdang - 9km to seri kembangan - 15km to bukit jalil - 18km to puchong - 25km to kuala lumpur contact osric show contact number to get e-brochure osric show contact number osric show contact number osric  show contact number continue reading",False,False,,False,False,False,False,False,False,1,True,5,[1300.0],[60000.0],366761.0855881028,23238.91441189719,5
103804090,456000,926.0,492.44060475161984,Service Residence,Raintree Residence,Unknown,Klang,Selangor,3.0,2.0,2.0,,,,SUSPICIOUS,POSSIBLE_REPEAT_DIFFERENT_LISTING_ID,RETAIN_PENDING_REVIEW,Different listing_id with identical canonical fields; exact description match=recorded separately. | OPTIONAL_MISSING_COUNT=5; retained with existing fold-safe handling unless another independent rule applies.,exclusive luxury in klang ✔️0% downpayment ✔️freehold - freehold - freehold ✔️free mot- free mot - free mot ✔️free partly furnished !!! ✔️free 2 carparks ✔️free s&p legal fee ✔️free loan agreement legal fee ✔️free loan stamp duty ✔️free spa disbursement fees ✔️free loan disbursement fees ✔️4 tier high security system facilities: 👉full facilities 👉sky garden 👉gymnasium 👉swimming pool 👉lap pool & wading pool 👉playground 👉bbq spot 👉badminton court 👉and many more...... amenities : 📍walking distance to ksl esplanade mall in klang 📍walking distance to mcdonalds 📍walking distance to family mart 📍8min to aeon bukit tinggi ☎️call/whatapps to developer staff: show contact number (harry loo) show contact number (harry loo) whatsapp link: https://raintree show contact number .wasap.my https://raintree show contact number .wasap.my continue reading,False,True,PR007,True,False,False,False,False,False,3,True,5,[],[],462240.1837501661,6240.183750166092,5
103372239,240000,1080.0,222.22222222222223,Apartment,Taman Megah Cheras Apartment,Unknown,Cheras,Selangor,3.0,2.0,1.0,,4.0,1.0,SUSPICIOUS,STRATA_TOTAL_UNITS_NEEDS_REVIEW,RETAIN_PENDING_REVIEW,"Optional total_units is <=3 or >=5,000 for a strata development; may refer to block/phase or be a source entry error. | OPTIONAL_MISSING_COUNT=3; retained with existing fold-safe handling unless another independent rule applies.","taman megah cheras , batu 9 @ jalan megah 37c , cheras selangor ======================================================== property type : shop apartment for sale corner unit tenure : freehold size : 1080 sq.ft 3 bedrooms 2 bathrooms renovated selling price : rm 240k please call / whatsapp : irene yap h/p no : show contact number",False,False,,False,False,False,False,False,False,1,True,3,[1080.0],[240000.0],375221.9889218698,135221.98892186978,1
103803972,394000,1050.0,375.23809523809524,Condominium,Selangor » Kajang,Unknown,Kajang,Selangor,3.0,2.0,2.0,,,,SUSPICIOUS,SINGLE_DESCRIPTION_SIZE_MISMATCH,RETAIN_PENDING_REVIEW,Only explicit description size differs from structured property_size_sqft by more than 10%. | OPTIONAL_MISSING_COUNT=5; retained with existing fold-safe handling unless another independent rule applies.,"nearby malaysia largest shopping mall, ready to move in provide 6 layouts (830-1300sqft) luxury and comfortable environment to living, surrouded by greenery environment feel fresh air, and healthy life !!! super low density only 8 unit per floor, walk to shopping mall, and shoplots to satisfy our live, food, fun, and drinks. easily access to highway. ​✅ 10-15% rebates ✅ free all legal fees ✅ free mot ✅ free top grade furnitures ✅ cashbacks up to rm 60,000 ✅ equipped with wardrobes, cabinets, smart lock, shower screen, water hilter (clubhouse facilities) 🔸 exploratory lab 🔸 gym 🔸 swimming pool 🔸 yoga deck 🔸 jacuzzi 🔸 sky gardens (amenities) 🏢 ioi city mall - malaysia's largest shopping center (walking distance 500m) 🏞 close to a 10-acre central park* ⛳ championship-level golf courses 👩🏻‍⚕ putrajaya rehabilitation hospital (4.8 km) 🏥 serdang hospital (5.3 km) 🏪 conezion retails shoplots (walking distance 5 min) (transportation) 🚅 erl ( putrajaya cyberjaya line) 🚄 mrt sierra 16( putrajaya line) 🚌 shuttle bus (accesbility) - 5km to serdang - 9km to seri kembangan - 15km to bukit jalil - 18km to puchong - 25km to kuala lumpur contact osric show contact number to get e-brochure osric show contact number osric show contact number osric  show contact number continue reading",False,False,,False,False,False,False,False,False,1,True,5,[1300.0],[60000.0],355560.1240928216,38439.875907178386,5
98359134,607000,884.0,686.6515837104073,Others,LikasVue,Unknown,Kota Kinabalu,Sabah,1.0,2.0,2.0,,,,SUSPICIOUS,SINGLE_DESCRIPTION_SIZE_MISMATCH,RETAIN_PENDING_REVIEW,Only explicit description size differs from structured property_size_sqft by more than 10%. | OPTIONAL_MISSING_COUNT=5; retained with existing fold-safe handling unless another independent rule applies.,"new township development at the heart of likas 🔥 【dual key serviced suites】with #flexiblelayout that can be divided up into two major living spaces for your own investment or personal needs! 【likasvue 36-storey service suites】 🌟 884 to 1,056 sq.ft 🌟 2-3 rooms + 2 bathrooms 🌟 dual key concept + commercial-titled (allowed for airbnb) 🌟 360° bay view 👉 sea view, city view, hill view 🌟 up to 20 #lifestylefacilities that can accommodate the needs of a growing family 💯 🌟 facilities include indoor futsal court, playground, rooftop sky gym, infinity pool, jogging track, and more! 🌟 multipurpose uses for airbnb, co-working space, and wfh studio #strategiclocation 📍 100m to all saints' secondary school 📍 300m to likas plaza ​​📍 400m to servay hypermarket ​​📍 2km to suria sabah ​​📍 4km to sabah international convention centre (sicc) limited units available‼️ contact us to secure your ideal unit now: 📍 𝐋𝐢𝐤𝐚𝐬𝐕𝐮𝐞 𝐒𝐚𝐥𝐞𝐬 𝐆𝐚𝐥𝐥𝐞𝐫𝐲 lot show contact number , jalan teluk likas, likas, kota kinabalu, sabah. https://goo.gl/maps/vmbjmqilksq5azih7 asian pac holding sdn bhd likasvue sales executive - kevin liew +6 show contact number |https://wa.me/6 show contact number continue reading",False,False,,False,False,False,False,False,False,4,True,5,[1056.0],[],435038.8287039252,171961.1712960748,1
103803620,470000,1030.0,456.31067961165047,Condominium,Melawati Condo,Unknown,Kuala Lumpur,Kuala Lumpur,3.0,2.0,2.0,,,,SUSPICIOUS,SINGLE_DESCRIPTION_SIZE_MISMATCH,RETAIN_PENDING_REVIEW,Only explicit description size differs from structured property_size_sqft by more than 10%. | OPTIONAL_MISSING_COUNT=5; retained with existing fold-safe handling unless another independent rule applies.,"melawati freehold condo 📍 opposite mall 🏡 3 - 4 rooms 🏡 1027 - 1202sqft vivian show contact number vivian show contact number vivian show contact number 🌟 freehold 🌟 super low density (234units) 🌟 partially/fully furnished 🌟 50m to melawati mall 🌟 ev charging 🌟 facing north/south 🌟 bukit tabur/kl city 🎀 mrr2, duke, akleh 🎀 lrt kelana jaya line showroom is available now!! vivian show contact number vivian show contact number vivian show contact number continue reading",False,False,,False,False,False,False,False,False,1,True,5,[1202.0],[],432151.1104921532,37848.88950784679,4
103273543,108000,530.0,203.77358490566039,Flat,Jentayu,Unknown,Skudai,Johor,2.0,1.0,5.0,,,,SUSPICIOUS,UNSUPPORTED_HIGH_PARKING_COUNT,RETAIN_PENDING_REVIEW,Structured parking is >=5 and the description does not explicitly support the same count. | OPTIONAL_MISSING_COUNT=5; retained with existing fold-safe handling unless another independent rule applies.,"🏡flat for sale🏡 *jentayu, kangkar pulai * - 530sft - 2 bedrooms, 1 bathrooms - kitchen cabinet - freehold - international lot - highest floor (4th floor) selling price : rm108k bv match can do 100% loan * kindly contact sally (ren28858) show contact number also welcome owner looking for rent or sell,property valuation ,please contact me for more details: +6 show contact number wasap.my/6 show contact number thanks^^ continue reading",False,False,,False,False,False,False,False,False,1,True,5,[530.0],[108000.0],97172.08330245344,10827.916697546563,3
103802979,352000,904.0,389.3805309734513,Service Residence,Arena Residence @ Warisan Puteri,IOI Properties Group Berhad,Sepang,Selangor,3.0,2.0,2.0,2025.0,,406.0,SUSPICIOUS,SINGLE_DESCRIPTION_SIZE_MISMATCH,RETAIN_PENDING_REVIEW,Only explicit description size differs from structured property_size_sqft by more than 10%. | OPTIONAL_MISSING_COUNT=1; retained with existing fold-safe handling unless another independent rule applies.,price from 3xxk only !! big layout !! low density!! -------------------------------------------------------------------------------------------------- property details: - freehold - size 900-1000sqft - 3 / 4 rooms -------------------------------------------------------------------------------------------------- long term high rental & airbnb inspired condo is located near #klia & #dftz - monthly payment：rm1500-1600 - monthly rental: rm2300-2800 - rental cover installment earn passive income - provide management team help rent -------------------------------------------------------------------------------------------------- education: - xiamen university 3km - erl train station 3.5km - concord collage 3.5km -------------------------------------------------------------------------------------------------- accessiblity: -10 mins to klia 1 & 2 -10 mins to cyberjaya & putrajaya -25 mins to kuala lumpur -40 mins to port dickson -------------------------------------------------------------------------------------------------- [show house & online viewing ready) sean show contact number https://wa.me/message/vjnkelalev7uo1 sean show contact number https://wa.me/message/vjnkelalev7uo1 sean show contact number https://wa.me/message/vjnkelalev7uo1 continue reading,False,False,,False,False,False,False,False,False,0,True,1,[1000.0],[],356827.86062958895,4827.860629588948,4
