variant,fold,training_rows,validation_rows,RMSE_RM,MAE_RM,R2,Top5_RMSE_RM,Top5_MAE_RM,P99_RMSE_RM
basic_text_existing_control,1,3032,759,111378.49920055231,60007.88853609335,0.8726570263379979,389568.3538549468,296285.55061764014,268096.3158051495
basic_text_existing_control,2,3033,758,118266.37374115015,62313.20512284845,0.907346108965158,372163.5315463766,278091.76313487755,581961.047017883
basic_text_existing_control,3,3033,758,122491.71464703212,63425.64209698856,0.8566027277446595,413991.3131288209,294219.0966005827,672057.9913214676
basic_text_existing_control,4,3033,758,108770.90075781844,57671.80303763264,0.8580953331368404,372922.61148403055,256375.43953776296,681608.1726086085
basic_text_existing_control,5,3033,758,138647.09889861662,63578.12401550485,0.8194341950014972,555355.5983470575,365957.5581279436,904997.5231397081
building_name_te_reference,1,3032,759,109802.22810565536,59825.29186326296,0.8762359337032993,380289.7943487374,292944.69585709646,304459.69105706207
building_name_te_reference,2,3033,758,116771.47310324534,62523.38852195131,0.9096736172096598,364124.0361078713,274780.01818139805,551767.1002254847
building_name_te_reference,3,3033,758,123809.50508793104,63991.19630911156,0.8535007378572856,419640.6846095538,294723.20043102343,667302.9483512916
building_name_te_reference,4,3033,758,108841.4976949971,57589.60051573155,0.8579110690396,376825.89382108627,256044.86488068354,670604.5513707551
building_name_te_reference,5,3033,758,139202.9114345011,64138.871877126345,0.8179835782443263,555229.6062882316,368893.71637872595,894261.5315703613
lightgbm_structured_reference,1,3032,759,111378.49920055231,60007.88853609335,0.8726570263379979,389568.3538549468,296285.55061764014,268096.3158051495
lightgbm_structured_reference,2,3033,758,118266.37374115015,62313.20512284845,0.907346108965158,372163.5315463766,278091.76313487755,581961.047017883
lightgbm_structured_reference,3,3033,758,122491.71464703212,63425.64209698856,0.8566027277446595,413991.3131288209,294219.0966005827,672057.9913214676
lightgbm_structured_reference,4,3033,758,108770.90075781844,57671.80303763264,0.8580953331368404,372922.61148403055,256375.4395377629,681608.1726086085
lightgbm_structured_reference,5,3033,758,138647.09889861662,63578.12401550485,0.8194341950014972,555355.5983470575,365957.5581279436,904997.5231397081
random_forest_reference,1,3032,759,114035.91630798248,61080.8735514796,0.8665078963091242,396003.2047068279,288956.2336459549,282976.9405520271
random_forest_reference,2,3033,758,125040.1042489469,61584.050678400694,0.8964286218699551,409138.34839102725,295974.31823125755,684417.6942334034
random_forest_reference,3,3033,758,120165.98875643134,63638.51515126057,0.8619963443563077,396507.53893714474,264203.4891946567,681500.3579155189
random_forest_reference,4,3033,758,107020.96705787217,56380.0940641429,0.862624599868285,374992.84832945355,249662.98666092887,723883.6297125481
random_forest_reference,5,3033,758,147065.39263804478,63403.01795046177,0.7968415416405629,601653.6763235938,384568.76283242507,996708.3596704075
regex_expanded,1,3032,759,110057.60132844062,60089.49234546346,0.8756595741342653,386177.241022603,302350.3201489837,362713.4620083491
regex_expanded,2,3033,758,109905.73962475895,60659.62151382999,0.9199830769069923,327441.28005687456,255918.22735370893,428828.00452783884
regex_expanded,3,3033,758,125525.37838939694,63800.4274250935,0.8494119392295075,435935.0853376015,305895.0798170004,719553.0614122256
regex_expanded,4,3033,758,108489.82478038533,57873.55175152853,0.8588277801013467,367426.8567600016,256285.11256597738,648639.470154032
regex_expanded,5,3033,758,137524.5018308724,62065.686084230256,0.822346365887243,556395.4639754593,361699.24403826013,907906.6543774678
regex_group_layout,1,3032,759,109309.59727281914,59745.58808586148,0.8773439845013982,379523.27573827846,297455.2361846582,339183.40347720427
regex_group_layout,2,3033,758,117537.47081252211,62641.75169681666,0.9084846840541259,363151.5923053562,274264.95059025777,532740.0134447662
regex_group_layout,3,3033,758,125173.67738551798,64247.16025940774,0.8502546019253451,426363.9787868064,295399.82676332974,710503.5664505634
regex_group_layout,4,3033,758,111171.19444971938,57924.7551948576,0.851763288465427,374417.189489837,252201.47475694763,630758.9959718973
regex_group_layout,5,3033,758,138715.1095847096,63725.3636223628,0.8192570053402733,554925.8345463629,367657.15996408777,908466.7408278725
regex_group_position,1,3032,759,109737.36309210744,60086.553124787584,0.8763821162852261,380740.0770762966,304157.5336083814,297598.8942764635
regex_group_position,2,3033,758,114708.85852815118,61670.590799738064,0.9128364284897903,354618.77961649664,268382.43547989335,514257.0091036322
regex_group_position,3,3033,758,119236.80319619087,62240.86467626786,0.8641223241146723,399644.8155246398,283970.25575107837,632729.0568311135
regex_group_position,4,3033,758,107414.00710869335,57400.26500788628,0.8616137104382661,369294.00181442243,251674.04191949527,671454.2989689779
regex_group_position,5,3033,758,139839.77913840555,63438.436503201214,0.8163142804795185,559308.4442114384,362517.8201621691,918045.9710891942
regex_group_private_luxury,1,3032,759,113555.26687193704,60668.92643464664,0.8676308352299443,403795.01346548705,313392.72864390485,310168.8481114207
regex_group_private_luxury,2,3033,758,115588.13484949851,61984.19251473508,0.9114950394704744,355727.5228198818,265600.82877965376,556309.4237374887
regex_group_private_luxury,3,3033,758,124023.13727610486,63690.514772828006,0.852994735362163,421513.5652036354,297138.8787864548,673827.3192563066
regex_group_private_luxury,4,3033,758,109240.25527899816,58560.16417451404,0.856868032521707,369426.7718459514,261811.7235324999,667503.0687100351
regex_group_private_luxury,5,3033,758,137776.05909937003,63753.09612162279,0.8216958500088682,548980.0783522702,362052.92855661374,892647.2024208354
regex_group_renovation_furnishing,1,3032,759,110075.33519717903,60943.624100832974,0.8756195003108087,376966.15264220204,293053.8241708982,246573.22407295005
regex_group_renovation_furnishing,2,3033,758,117452.68754638617,62534.27742246588,0.908616661864215,365457.40059671685,276141.8734907356,531002.8125711496
regex_group_renovation_furnishing,3,3033,758,120353.45040647592,62811.54401025295,0.8615654308762943,406693.53646256955,292413.48976987135,669493.131901255
regex_group_renovation_furnishing,4,3033,758,107626.92164952807,56991.03072131924,0.8610645519791948,360643.4679005626,240914.49968701613,634420.2860117087
regex_group_renovation_furnishing,5,3033,758,139280.02302979294,62599.11400275415,0.8177818660241258,563763.4405534401,364057.2315308148,924489.3857123363
regex_group_sale_context,1,3032,759,109285.85883492374,60134.23646703834,0.8773972523959026,375966.5875358321,296074.53489075537,290885.79693556926
regex_group_sale_context,2,3033,758,116219.82590768882,61827.12630645278,0.9105250340153835,362324.3116340639,267646.78257258335,544302.5520928852
regex_group_sale_context,3,3033,758,119497.46683682062,63012.74164475343,0.8635275902274028,397601.5024221827,281250.425055086,631999.2031585753
regex_group_sale_context,4,3033,758,108021.10971535525,56726.528420455186,0.8600449745846819,369121.80802220467,249117.44269762014,663312.654333016
regex_group_sale_context,5,3033,758,139206.35768500867,64004.80081416177,0.8179745657611229,557068.1548610006,364659.1911584892,905638.6044361624
regex_group_views,1,3032,759,109879.3434700944,60575.28662477032,0.8760620308105986,381108.77265723306,300298.81223788095,349783.4707598165
regex_group_views,2,3033,758,115324.69033499678,61957.13105445377,0.9118980146669732,356294.9557552206,268686.86365390377,517088.84464559867
regex_group_views,3,3033,758,118711.9863279851,62980.40924733409,0.8653158140125453,391728.5319600272,278335.4576802306,619030.0247851998
regex_group_views,4,3033,758,110474.08853171267,58355.578170807705,0.8536165149204588,387814.1900669297,266288.03850554756,731424.5453903264
regex_group_views,5,3033,758,140786.67541573252,64070.93072401573,0.8138182783381384,562560.7200701212,369351.0192413102,922762.3235552174
regex_svd_building_te_nested,1,3032,759,107124.98707004316,60443.69767473432,0.8821976839455185,354593.9748301574,277753.84401592135,287480.34730666655
regex_svd_building_te_nested,2,3033,758,116903.33311070218,61662.859688341814,0.9094695063611922,381226.4268568888,294344.67618287454,578567.309225627
regex_svd_building_te_nested,3,3033,758,121868.38975478045,63277.90647095122,0.8580584289273183,418264.8366431328,284004.0542584501,690110.914122509
regex_svd_building_te_nested,4,3033,758,106650.42861991731,58150.41953029868,0.8635742221178189,361364.9072121219,243744.16181058405,686933.799264178
regex_svd_building_te_nested,5,3033,758,143214.34128215848,61816.40386816737,0.8073420412130499,598650.7949845392,378865.4136985224,986082.5327629432
regex_svd_nested,1,3032,759,110807.06698302229,61094.09858514146,0.8739603516471368,380140.8765423958,301088.5995311934,324942.5078487681
regex_svd_nested,2,3033,758,115588.81111247845,62608.47987317338,0.9114940038485482,370689.4661639627,289956.5043464609,553487.6639095133
regex_svd_nested,3,3033,758,120800.43484289647,62607.19755519641,0.8605352484735277,413375.0243114235,283728.99270179716,685882.7885022993
regex_svd_nested,4,3033,758,106832.07126264226,58088.16009151434,0.8631091167840462,358881.86146781436,235646.3540965842,684205.74787183
regex_svd_nested,5,3033,758,143229.70997128898,60682.06819042825,0.8073006897796472,602620.1671751345,376734.0905224422,1000141.5416583305
structured_baseline_reproduced,1,3032,759,111378.49920055231,60007.88853609335,0.8726570263379979,389568.3538549468,296285.55061764014,268096.3158051495
structured_baseline_reproduced,2,3033,758,118266.37374115015,62313.20512284845,0.907346108965158,372163.5315463766,278091.76313487755,581961.047017883
structured_baseline_reproduced,3,3033,758,122491.71464703212,63425.64209698856,0.8566027277446595,413991.3131288209,294219.0966005827,672057.9913214676
structured_baseline_reproduced,4,3033,758,108770.90075781844,57671.80303763264,0.8580953331368404,372922.61148403055,256375.43953776296,681608.1726086085
structured_baseline_reproduced,5,3033,758,138647.09889861662,63578.12401550485,0.8194341950014972,555355.5983470575,365957.5581279436,904997.5231397081
structured_text_ridge_blend_80_20,1,3032,759,106027.88836108317,58397.9906972268,0.884598225142929,364507.4514714922,272230.60669962113,276748.77958080603
structured_text_ridge_blend_80_20,2,3033,758,123641.52033577845,62638.0700293688,0.898732573331194,407576.0305087778,304487.90964853176,687882.8812161024
structured_text_ridge_blend_80_20,3,3033,758,112291.93708815947,60847.52033066325,0.8794895773601951,367968.42225884006,267575.4867709739,587280.3847197999
structured_text_ridge_blend_80_20,4,3033,758,113934.08818610084,59474.936056208324,0.8443035930187166,398286.4997370773,282178.3630049848,781806.7983077771
structured_text_ridge_blend_80_20,5,3033,758,142219.40636806152,64371.00872944781,0.8100095995516172,578179.9633187546,383636.1541190506,949943.2084686026
text_only_tfidf_ridge,1,3032,759,139527.27535861504,87350.2887512835,0.8001562865423684,441980.40254825994,370747.9259082269,622179.873215993
text_only_tfidf_ridge,2,3033,758,194210.52108963454,99029.39246656974,0.7501458266630702,670563.2654271885,482362.5701258789,1238676.9024596782
text_only_tfidf_ridge,3,3033,758,150473.55610485634,95154.10764139441,0.7836046961818994,469364.3814764523,377409.8865314111,715013.1389396059
text_only_tfidf_ridge,4,3033,758,176308.56341765594,96789.09506281497,0.6271638266268522,627704.7462355522,475347.650780506,1352642.7432871962
text_only_tfidf_ridge,5,3033,758,195730.33220539815,99364.44675585577,0.640142795833881,783782.6159566146,571651.2703040699,1258895.0857850688
tfidf_svd_10,1,3032,759,114304.88724150517,61177.223093231616,0.8658774310806405,397160.2922587482,289983.22782759904,296467.5644236744
tfidf_svd_10,2,3033,758,118862.31251752068,61263.17542109957,0.9064099990592265,388334.3692478708,283809.3178394167,583935.0287367759
tfidf_svd_10,3,3033,758,122104.16029328194,63205.40081839112,0.8575086881360972,413475.35599615483,283863.91625294083,682689.1503141948
tfidf_svd_10,4,3033,758,105074.9183972871,57120.21734055669,0.8675751922300029,360709.0742251867,233989.202116591,716506.4392939223
tfidf_svd_10,5,3033,758,140531.74104503458,62120.365780722685,0.814491937919259,578818.5358575812,371750.34022373636,952980.3740346486
tfidf_svd_20,1,3032,759,110931.22108839107,60207.37230977397,0.8736777504228141,389575.41023055493,299776.68226676877,359103.63486093975
tfidf_svd_20,2,3033,758,117174.87464618013,62861.59251871511,0.9090484518217484,378076.4209918441,292228.9794761986,560142.9801680557
tfidf_svd_20,3,3033,758,122356.10595057234,62659.488387777084,0.8569200578283193,417077.1927078297,284628.11321023677,690926.1754357824
tfidf_svd_20,4,3033,758,104781.35927814394,57034.24854249481,0.8683140975094102,352840.6359628281,231311.4316058255,635678.9754338347
tfidf_svd_20,5,3033,758,141750.4530626764,61871.10808528305,0.8112604799377453,586578.3295939267,367840.3159512688,967233.5440466786
tfidf_svd_30,1,3032,759,111353.62179030501,60480.55385669239,0.8727139064292864,393680.65512326587,295333.2155543587,429721.9710647027
tfidf_svd_30,2,3033,758,119863.20970795341,61456.76987799311,0.904827186735233,391794.797421574,290427.0025880139,599075.7686921206
tfidf_svd_30,3,3033,758,121077.11082471092,62136.9570192937,0.8598956690619287,413671.88907917973,277951.8163204271,688416.7097434942
tfidf_svd_30,4,3033,758,103793.91034701117,56681.266698291285,0.8707843917515008,353785.54285157315,230525.11124721245,666766.1853675529
tfidf_svd_30,5,3033,758,141675.49703609856,61861.16545004518,0.8114600337839121,588149.7985224358,371228.4777190389,968893.4708691037
tfidf_svd_50,1,3032,759,110299.35583317777,60192.36140914414,0.8751127173479472,389532.739991098,285365.1529245365,414653.1518953864
tfidf_svd_50,2,3033,758,116092.37434306499,61001.74802366944,0.9107211704562657,379015.2804107593,289815.0997648103,588810.6869332691
