variant,architecture,RMSE_RM,MAE_RM,R2,Adjusted_R2,Median_AE_RM,Mean_Error_RM,Median_Error_RM,Top5_RMSE_RM,Top5_MAE_RM,Remaining95_RMSE_RM,Remaining95_MAE_RM,P95_P99_RMSE_RM,P95_P99_MAE_RM,P99_P100_RMSE_RM,P99_P100_MAE_RM
regex_group_position,text_enhanced_lightgbm,118750.19350875785,60967.10968555279,0.8702674858843791,0.8686384642003198,32559.579623052035,-1428.4716274155242,3253.52292726835,412319.68890075386,291219.0401045874,76651.97726586746,48818.299138589,314958.7752133207,238293.4494681764,666455.9225201581,496136.0705173581
regex_expanded,text_enhanced_lightgbm,118851.96060254032,60897.542618152445,0.870045033057807,0.8674214469149633,32343.29647985875,-1013.8586800854933,3856.17043519218,414481.99566761684,293120.66396158567,76201.38887758611,48644.725885230386,315608.6119390013,238483.13061723817,671778.8004715432,504665.98537175165
regex_group_sale_context,text_enhanced_lightgbm,118974.06790229333,61140.821140948574,0.8697778670545755,0.86817791563484,32988.0979427119,-1546.545606456812,2943.8511969172396,412191.8170003525,288822.6507930021,77052.68963754042,49127.617132648054,314544.71447441657,236614.4563143105,666827.5999167246,490962.0704412697
regex_group_renovation_furnishing,text_enhanced_lightgbm,119479.11739833138,61175.85677641276,0.8686699244760631,0.8669497497365086,32955.547040544974,-373.95083048553965,3914.0051781390503,415057.0896940058,291089.3905949652,77063.85563102101,49044.901090346386,314854.62685104046,237477.7861276118,674871.3993454189,498662.5258403595
regex_group_views,text_enhanced_lightgbm,119572.79619776573,61587.60006310526,0.8684639024170339,0.8667766408766858,32770.2309589209,-1520.181154429909,3638.771703537088,415010.95183380734,293219.8531732763,77229.74959420558,49365.959382479734,314675.42172115855,237805.5659367038,675056.7564103794,507772.60632000584
regex_svd_building_te_nested,text_enhanced_lightgbm,119895.69902154595,61070.09217090603,0.8677525244490525,0.8641317613613199,33651.300723013934,406.53231239951407,4606.696418997541,425464.05117465847,293938.10124857596,74714.69172377304,48783.24914820197,307300.5581193428,233308.58523843234,718514.432413648,528683.1504160551
tfidf_svd_20,text_enhanced_lightgbm,120063.52062191005,60926.57220630313,0.8673820438402627,0.8651764877024131,33651.27240480168,-1198.6101422441202,3127.358793939551,426169.1870668153,293571.77548441564,74786.32982391659,48651.48511303976,314967.7438574695,234874.27174576395,707612.9394447476,520836.4694468874
tfidf_svd_50,text_enhanced_lightgbm,120086.85459793004,60256.134876819866,0.867330491047266,0.8640298975308649,33694.612131796486,-1173.3081822736024,3697.819257786963,432270.4341437768,292484.9814004113,72955.77327728507,48003.016065522344,311388.4031282489,229766.3959522456,731377.2569366763,535318.4789048478
regex_svd_nested,text_enhanced_lightgbm,120130.53327281575,61016.02145991537,0.8672339628763486,0.8635990022503012,33652.405670981214,160.20282593910804,4328.305024217581,426888.462422794,295365.3593977743,74683.1029997681,48651.01890279423,309381.53557300207,232649.22616209296,719172.55086631,538189.3624384889
building_name_te_reference,reference,120201.22007355573,61613.19807437313,0.8670776734261412,0.8655881489554629,32652.10208560177,-1120.351245312772,3754.4583197694446,418749.3874791527,294819.8269345541,77191.99288503824,49308.48841499119,321007.7322299182,241188.61422094668,674760.3339160001,502468.8812872389
