fold,analyzer,n_components,component,explained_variance_ratio,cumulative_explained_variance_ratio,vocabulary_size
1,word,10,description_svd_01,0.010566351235715515,0.010566351235715515,5000
1,word,10,description_svd_02,0.03864213636818738,0.049208487603902895,5000
1,word,10,description_svd_03,0.015483465498428299,0.0646919531023312,5000
1,word,10,description_svd_04,0.01440104777673735,0.07909300087906855,5000
1,word,10,description_svd_05,0.01206828225172736,0.09116128313079591,5000
1,word,10,description_svd_06,0.011871243883492045,0.10303252701428796,5000
1,word,10,description_svd_07,0.010283915229753842,0.1133164422440418,5000
1,word,10,description_svd_08,0.009279621593812765,0.12259606383785457,5000
1,word,10,description_svd_09,0.00879652750494814,0.1313925913428027,5000
1,word,10,description_svd_10,0.008118883938054796,0.1395114752808575,5000
1,word,20,description_svd_01,0.010566351487987605,0.010566351487987605,5000
1,word,20,description_svd_02,0.038642135423718055,0.04920848691170566,5000
1,word,20,description_svd_03,0.015483487659029047,0.06469197457073471,5000
1,word,20,description_svd_04,0.01440101977273825,0.07909299434347296,5000
1,word,20,description_svd_05,0.012068290772889874,0.09116128511636283,5000
1,word,20,description_svd_06,0.011871322336220435,0.10303260745258326,5000
1,word,20,description_svd_07,0.010284792119323241,0.11331739957190651,5000
1,word,20,description_svd_08,0.009281092652753077,0.12259849222465959,5000
1,word,20,description_svd_09,0.008802430559154863,0.13140092278381446,5000
1,word,20,description_svd_10,0.008139946898695986,0.13954086968251045,5000
1,word,20,description_svd_11,0.0076022813641749305,0.14714315104668538,5000
1,word,20,description_svd_12,0.006656944224081519,0.1538000952707669,5000
1,word,20,description_svd_13,0.006285581675641769,0.16008567694640868,5000
1,word,20,description_svd_14,0.006047568562703721,0.1661332455091124,5000
1,word,20,description_svd_15,0.005926546362479166,0.17205979187159157,5000
1,word,20,description_svd_16,0.005673429930194319,0.17773322180178588,5000
1,word,20,description_svd_17,0.005535217428898151,0.18326843923068403,5000
1,word,20,description_svd_18,0.005240713702643575,0.1885091529333276,5000
1,word,20,description_svd_19,0.005085943973207412,0.193595096906535,5000
1,word,20,description_svd_20,0.004783200086856043,0.19837829699339105,5000
1,word,30,description_svd_01,0.010566351454981844,0.010566351454981844,5000
1,word,30,description_svd_02,0.03864213549612448,0.04920848695110633,5000
1,word,30,description_svd_03,0.015483487970686688,0.06469197492179302,5000
1,word,30,description_svd_04,0.014401021409962427,0.07909299633175544,5000
1,word,30,description_svd_05,0.012068290186767243,0.09116128651852268,5000
1,word,30,description_svd_06,0.0118713334351557,0.10303261995367838,5000
1,word,30,description_svd_07,0.010284886015351343,0.11331750596902972,5000
1,word,30,description_svd_08,0.009281477529009994,0.12259898349803972,5000
1,word,30,description_svd_09,0.0088029878285963,0.131401971326636,5000
1,word,30,description_svd_10,0.00814068541837986,0.13954265674501587,5000
1,word,30,description_svd_11,0.007602475050701746,0.14714513179571762,5000
1,word,30,description_svd_12,0.0066601870624883736,0.15380531885820597,5000
1,word,30,description_svd_13,0.006291230645991315,0.1600965495041973,5000
1,word,30,description_svd_14,0.006053005717590328,0.16614955522178762,5000
1,word,30,description_svd_15,0.005935314441537492,0.17208486966332512,5000
1,word,30,description_svd_16,0.0056824289013398975,0.17776729856466503,5000
1,word,30,description_svd_17,0.005543958058362355,0.18331125662302739,5000
1,word,30,description_svd_18,0.005256058536686604,0.18856731515971398,5000
1,word,30,description_svd_19,0.0050975621711555185,0.19366487733086948,5000
1,word,30,description_svd_20,0.004801587142529833,0.19846646447339933,5000
1,word,30,description_svd_21,0.004634732701004825,0.20310119717440414,5000
1,word,30,description_svd_22,0.0044484684313839794,0.2075496656057881,5000
1,word,30,description_svd_23,0.004278835618564779,0.2118285012243529,5000
1,word,30,description_svd_24,0.004231372361435518,0.21605987358578843,5000
1,word,30,description_svd_25,0.004148913922150662,0.2202087875079391,5000
1,word,30,description_svd_26,0.004063964869462705,0.2242727523774018,5000
1,word,30,description_svd_27,0.003984578574451678,0.22825733095185347,5000
1,word,30,description_svd_28,0.0036931960418522675,0.23195052699370572,5000
1,word,30,description_svd_29,0.0036235106373507706,0.2355740376310565,5000
1,word,30,description_svd_30,0.0034977347402825,0.239071772371339,5000
1,word,50,description_svd_01,0.010566351459852392,0.010566351459852392,5000
1,word,50,description_svd_02,0.038642135439322635,0.04920848689917503,5000
1,word,50,description_svd_03,0.015483490367377287,0.06469197726655232,5000
1,word,50,description_svd_04,0.014401023370988347,0.07909300063754067,5000
1,word,50,description_svd_05,0.012068297175252329,0.091161297812793,5000
1,word,50,description_svd_06,0.011871336236539696,0.1030326340493327,5000
1,word,50,description_svd_07,0.01028489118445242,0.11331752523378512,5000
1,word,50,description_svd_08,0.00928151322359748,0.1225990384573826,5000
1,word,50,description_svd_09,0.008803028593812576,0.13140206705119517,5000
1,word,50,description_svd_10,0.008140807497812656,0.13954287454900782,5000
1,word,50,description_svd_11,0.007602679013347802,0.14714555356235562,5000
1,word,50,description_svd_12,0.006660650552425335,0.15380620411478096,5000
1,word,50,description_svd_13,0.006291878404120049,0.160098082518901,5000
1,word,50,description_svd_14,0.006054517401102266,0.16615259992000328,5000
1,word,50,description_svd_15,0.005936647027955822,0.1720892469479591,5000
1,word,50,description_svd_16,0.005688567998067246,0.17777781494602635,5000
1,word,50,description_svd_17,0.005548170661271405,0.18332598560729776,5000
1,word,50,description_svd_18,0.005260155698497744,0.1885861413057955,5000
1,word,50,description_svd_19,0.005104408268913341,0.19369054957470885,5000
1,word,50,description_svd_20,0.004813814560635628,0.19850436413534447,5000
1,word,50,description_svd_21,0.004660141497312967,0.20316450563265745,5000
1,word,50,description_svd_22,0.004518305281368195,0.20768281091402566,5000
1,word,50,description_svd_23,0.004323316957459319,0.21200612787148498,5000
1,word,50,description_svd_24,0.004250266293038139,0.21625639416452314,5000
1,word,50,description_svd_25,0.004200067335678214,0.22045646150020135,5000
1,word,50,description_svd_26,0.0041162406265893665,0.2245727021267907,5000
1,word,50,description_svd_27,0.004044786921948764,0.22861748904873946,5000
1,word,50,description_svd_28,0.003844437763560193,0.23246192681229966,5000
1,word,50,description_svd_29,0.00367232684527862,0.23613425365757829,5000
1,word,50,description_svd_30,0.0036412435588817813,0.23977549721646008,5000
1,word,50,description_svd_31,0.0035922225799971223,0.2433677197964572,5000
1,word,50,description_svd_32,0.003527730938843531,0.24689545073530073,5000
1,word,50,description_svd_33,0.003500899846019094,0.2503963505813198,5000
1,word,50,description_svd_34,0.003417048768701295,0.2538133993500211,5000
