variant,fold,metric_source,train_rows,validation_rows,count,rmse_rm,mae_rm,r2,top5_count,top5_rmse_rm,top5_mae_rm
A_current,1,retrained,3032,759,759,109737.36309210744,60086.553124787584,0.8763821162852261,36,380740.0770762966,304157.5336083814
A_current,1,original_model_matched,3032,759,759,109737.36309210744,60086.553124787584,0.8763821162852261,36,380740.0770762966,304157.53360838146
A_current,2,retrained,3033,758,758,114708.85852815118,61670.590799738064,0.9128364284897903,47,354618.77961649664,268382.43547989335
A_current,2,original_model_matched,3033,758,758,114708.85852815118,61670.59079973808,0.9128364284897903,47,354618.7796164966,268382.43547989335
A_current,3,retrained,3033,758,758,119236.80319619087,62240.86467626786,0.8641223241146723,40,399644.8155246398,283970.25575107837
A_current,3,original_model_matched,3033,758,758,119236.80319619087,62240.86467626786,0.8641223241146723,40,399644.8155246398,283970.25575107837
A_current,4,retrained,3033,758,758,107414.00710869335,57400.26500788628,0.8616137104382661,35,369294.00181442243,251674.04191949527
A_current,4,original_model_matched,3033,758,758,107414.00710869335,57400.26500788628,0.8616137104382661,35,369294.00181442243,251674.04191949527
A_current,5,retrained,3033,758,758,139839.77913840555,63438.436503201214,0.8163142804795185,32,559308.4442114384,362517.8201621691
A_current,5,original_model_matched,3033,758,758,139839.77913840555,63438.436503201214,0.8163142804795185,32,559308.4442114384,362517.82016216905
B_valid_critical,1,retrained,3032,759,759,109737.36309210744,60086.553124787584,0.8763821162852261,36,380740.0770762966,304157.5336083814
B_valid_critical,1,original_model_matched,3032,759,759,109737.36309210744,60086.553124787584,0.8763821162852261,36,380740.0770762966,304157.53360838146
B_valid_critical,2,retrained,3033,758,758,114708.85852815118,61670.590799738064,0.9128364284897903,47,354618.77961649664,268382.43547989335
B_valid_critical,2,original_model_matched,3033,758,758,114708.85852815118,61670.59079973808,0.9128364284897903,47,354618.7796164966,268382.43547989335
B_valid_critical,3,retrained,3033,758,758,119236.80319619087,62240.86467626786,0.8641223241146723,40,399644.8155246398,283970.25575107837
B_valid_critical,3,original_model_matched,3033,758,758,119236.80319619087,62240.86467626786,0.8641223241146723,40,399644.8155246398,283970.25575107837
B_valid_critical,4,retrained,3033,758,758,107414.00710869335,57400.26500788628,0.8616137104382661,35,369294.00181442243,251674.04191949527
B_valid_critical,4,original_model_matched,3033,758,758,107414.00710869335,57400.26500788628,0.8616137104382661,35,369294.00181442243,251674.04191949527
