feature,source,feature_order,important_feature,missing_count,missing_pct,non_missing_count,zero_count,zero_treated_as_missing
price,canonical,0,True,0,0.0,3791,0.0,False
property_size_sqft,canonical,1,True,0,0.0,3791,0.0,False
bedroom,canonical,2,True,0,0.0,3791,0.0,False
bathroom,canonical,3,True,0,0.0,3791,0.0,False
parking_lot,canonical,4,True,0,0.0,3791,0.0,False
facilities_count,canonical,5,False,0,0.0,3791,607.0,False
has_school,canonical,6,False,0,0.0,3791,2894.0,False
has_mall,canonical,7,False,0,0.0,3791,3343.0,False
has_hospital,canonical,8,False,0,0.0,3791,3466.0,False
has_railway,canonical,9,False,0,0.0,3791,3341.0,False
has_bus_stop,canonical,10,False,0,0.0,3791,3124.0,False
has_park,canonical,11,False,0,0.0,3791,3029.0,False
has_highway,canonical,12,False,0,0.0,3791,3656.0,False
completion_year,canonical,13,True,1905,50.250593510946985,1886,0.0,False
property_age,canonical,14,False,1905,50.250593510946985,1886,10.0,False
number_of_floors,canonical,15,True,1657,43.7087839620153,2134,0.0,False
total_units,canonical,16,True,1797,47.401740965444475,1994,0.0,False
description_length,canonical,17,False,0,0.0,3791,0.0,False
has_swimming_pool,canonical,18,False,0,0.0,3791,1518.0,False
has_security,canonical,19,False,0,0.0,3791,931.0,False
has_lift,canonical,20,False,0,0.0,3791,1805.0,False
has_gym,canonical,21,False,0,0.0,3791,1917.0,False
has_playground,canonical,22,False,0,0.0,3791,1205.0,False
is_furnished,canonical,23,False,0,0.0,3791,2611.0,False
is_renovated,canonical,24,False,0,0.0,3791,2601.0,False
property_type,canonical,25,True,0,0.0,3791,,False
tenure_type,canonical,26,True,0,0.0,3791,,False
land_title,canonical,27,True,0,0.0,3791,,False
floor_range,canonical,28,True,1017,26.82669480348193,2774,,False
state,canonical,29,True,85,2.242152466367713,3706,,False
building_name,canonical,30,True,85,2.242152466367713,3706,,False
developer,canonical,31,True,1645,43.3922447902928,2146,,False
city,canonical,32,True,85,2.242152466367713,3706,,False
is_high_floor_text,derived_position_regex,33,False,0,0.0,3791,3565.0,False
is_low_floor_text,derived_position_regex,34,False,0,0.0,3791,3705.0,False
is_top_floor_text,derived_position_regex,35,False,0,0.0,3791,3759.0,False
has_balcony,derived_position_regex,36,False,0,0.0,3791,3436.0,False
has_large_balcony,derived_position_regex,37,False,0,0.0,3791,3774.0,False
