variant,fold,training_rows,validation_rows,fit_seconds,RMSE_RM,MAE_RM,R2,Top5_RMSE_RM,Top5_MAE_RM,selected_m
baseline_lightgbm,1,3032,759,1.205380300001707,111378.49920055231,60007.88853609335,0.8726570263379979,389568.3538549468,296285.55061764014,
baseline_lightgbm,2,3033,758,1.1789955999702215,118266.37374115015,62313.20512284845,0.907346108965158,372163.5315463766,278091.76313487755,
baseline_lightgbm,3,3033,758,1.3121234999853186,122491.71464703212,63425.64209698856,0.8566027277446595,413991.3131288209,294219.0966005827,
baseline_lightgbm,4,3033,758,1.2673075000056997,108770.90075781844,57671.80303763264,0.8580953331368404,372922.61148403055,256375.43953776296,
baseline_lightgbm,5,3033,758,1.191843600012362,138647.09889861662,63578.12401550485,0.8194341950014972,555355.5983470575,365957.5581279436,
building_developer_te,1,3032,759,1.7378668000455946,119319.07770063021,60960.53620864019,0.8538522816892666,444431.33722331695,331899.42446748866,5.0
building_developer_te,2,3033,758,1.7418366000056267,117206.74382974947,62085.45877393982,0.9089989711499387,367607.7204609111,271904.2541753386,5.0
building_developer_te,3,3033,758,1.7292748999898322,124741.5412100611,63712.908971482226,0.8512867471069485,427124.379239449,300462.7716844596,5.0
building_developer_te,4,3033,758,1.7736197999911383,109409.89981920728,58636.11118298963,0.8564231340589719,378806.9401852817,261470.64775533613,5.0
building_developer_te,5,3033,758,1.7278460999950767,138390.6978680643,62938.62468684617,0.8201014206402994,552369.758283128,358479.3726240704,5.0
building_name_te,1,3032,759,1.5660913999890909,109802.22810565536,59825.29186326296,0.8762359337032993,380289.7943487374,292944.69585709646,5.0
building_name_te,2,3033,758,1.6248558000079356,116771.47310324534,62523.38852195131,0.9096736172096598,364124.0361078713,274780.01818139805,5.0
building_name_te,3,3033,758,1.6049124000128359,123809.50508793104,63991.19630911156,0.8535007378572856,419640.6846095538,294723.20043102343,5.0
building_name_te,4,3033,758,1.5297525999485515,108841.4976949971,57589.60051573155,0.8579110690396,376825.89382108627,256044.86488068354,5.0
building_name_te,5,3033,758,1.5290935999946669,139202.9114345011,64138.87187712634,0.8179835782443263,555229.6062882316,368893.71637872595,5.0
building_name_te_fair,1,3032,759,1.8648071000352502,115599.29426174556,59525.10843765241,0.8628225803513689,410446.4895379277,281179.08171876735,5.0
building_name_te_fair,2,3033,758,1.6873252000077628,137262.56733039435,64160.94216742714,0.8751911630906761,470409.00932830037,332179.00269780745,5.0
building_name_te_fair,3,3033,758,1.702343600045424,122941.73593861089,63011.64611584573,0.8555471401512571,423982.01485442306,300673.2622733026,5.0
building_name_te_fair,4,3033,758,1.6481539999949746,127005.4188796428,59522.482715969716,0.8065290648885259,487900.1645921613,333179.696433654,5.0
building_name_te_fair,5,3033,758,1.693853200005833,148672.74917204693,64075.24029906184,0.7923764179415089,617020.7353414912,413104.2507482765,5.0
building_name_te_huber,1,3032,759,1.7605649000033736,171235.61339827135,109437.34132000584,0.6990041889086309,576954.5507873842,503332.7127066124,5.0
building_name_te_huber,2,3033,758,1.7255558999604546,239444.61130611436,122722.14906025516,0.6202032568210081,843752.196010808,625953.0923479672,5.0
building_name_te_huber,3,3033,758,1.7784290999989025,194455.49474978776,117421.27222385755,0.6386168481519074,662899.0365163432,544155.0292470796,5.0
building_name_te_huber,4,3033,758,1.7680020999978296,199372.97669840264,116934.83785576043,0.523235605120274,731183.9149858452,603206.0572625757,5.0
building_name_te_huber,5,3033,758,1.9808539999648929,223312.85555407,119461.2912445034,0.5315735766613185,901445.9595529722,694938.15731025,5.0
building_name_te_l1,1,3032,759,1.8136494999635033,118166.90020895925,60381.44786164785,0.8566611386467115,429757.7291893569,314340.1442688004,5.0
building_name_te_l1,2,3033,758,1.8741694000200368,127849.78990190067,61800.69397694073,0.8917217723997062,429612.007106377,309079.0304179036,5.0
building_name_te_l1,3,3033,758,1.9788658999605104,127361.34412843946,62432.960469348895,0.8449746466792054,451629.44677194726,303094.9496151544,5.0
building_name_te_l1,4,3033,758,1.8711432999698445,118560.36990570897,57629.197597026665,0.8314028147948964,443889.54919225187,303103.5954677132,5.0
building_name_te_l1,5,3033,758,1.8285487000248395,142224.83654894488,61762.55330772214,0.8099950909558835,585188.6394704011,361961.31081432686,5.0
building_name_te_weight_005,1,3032,759,1.758564599964302,112738.89446744844,60515.08138600883,0.8695272526183858,398501.3800317983,309132.7835883902,5.0
building_name_te_weight_005,2,3033,758,1.782420799951069,118818.2257452992,62420.14998695442,0.90647941241274,374275.6109341287,279332.16151177144,5.0
building_name_te_weight_005,3,3033,758,1.7687511999974959,123978.83837469427,63866.88348621488,0.8530997320402175,420075.0085472322,300024.36359816545,5.0
building_name_te_weight_005,4,3033,758,1.8203373000142165,108011.39111204834,57736.78910091429,0.8600701568141484,371617.30454456504,258702.65318199986,5.0
