variant,RMSE_RM,MAE_RM,R2,Adjusted_R2,Median_AE_RM,Mean_Error_RM,Median_Error_RM,Top5_RMSE_RM,Top5_MAE_RM,Remaining95_RMSE_RM,Remaining95_MAE_RM,Training_RMSE_RM,OOF_RMSE_RM,RMSE_gap_RM,Training_MAE_RM,OOF_MAE_RM,MAE_gap_RM,Training_R2,OOF_R2,R2_gap,vs_RF_RMSE_difference_RM,vs_RF_RMSE_percentage_change,vs_RF_MAE_difference_RM,vs_RF_MAE_percentage_change,vs_RF_R2_difference,vs_RF_Top5_RMSE_difference_RM,vs_RF_Top5_RMSE_percentage_change,vs_RF_Top5_MAE_difference_RM,vs_RF_Top5_MAE_percentage_change,vs_LightGBM_RMSE_difference_RM,vs_LightGBM_RMSE_percentage_change,vs_LightGBM_MAE_difference_RM,vs_LightGBM_MAE_percentage_change,vs_LightGBM_R2_difference,vs_LightGBM_Top5_RMSE_difference_RM,vs_LightGBM_Top5_RMSE_percentage_change,vs_LightGBM_Top5_MAE_difference_RM,vs_LightGBM_Top5_MAE_percentage_change
building_name_te,120201.22007355573,61613.19807437313,0.8670776734261412,0.8655881489554629,32652.10208560177,-1120.3512453127732,3754.4583197694446,418749.3874791527,294819.8269345541,77191.99288503824,49308.48841499119,54389.75105386204,120201.22007355573,65811.46901969369,28826.39716739681,61613.19807437313,32786.80090697632,0.9726417465683479,0.8670776734261412,0.10556407314220673,-3215.0360158471885,-2.6050344725399963,395.9237848646735,0.6467517370869414,0.007205671589031182,-18388.42833063868,-4.206551724786012,473.71177834429545,0.16093699014607213,-171.28713208159024,-0.14229755286975404,214.23255134239298,0.34891882870898594,0.00037909941761316013,-1562.1229429217055,-0.37165837817599395,-912.4825260432553,-0.308550164068168
baseline_lightgbm,120372.50720563732,61398.96552303074,0.866698574008528,0.865204801358677,32756.79514097757,-1221.8974797922472,3374.984530591697,420311.5104220744,295732.30946059735,77024.85109953633,49034.80685928797,54830.39171260481,120372.50720563732,65542.1154930325,28890.841626756057,61398.96552303074,32508.123896274683,0.972248314171685,0.866698574008528,0.10554974016315699,-3043.7488837655983,-2.4662463278425024,181.69123352228053,0.29679732662226543,0.006826572171418022,-16826.305387716973,-3.849199217996386,1386.1943043875508,0.47094024110081967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
city_te,120377.11891127865,61078.04992742538,0.8666883597373694,0.8651944726266355,32338.615428458434,-1885.828540918594,2605.837025429588,421832.19726482104,294472.9340015564,76592.59844522753,48763.40733534404,53726.085263263245,120377.11891127865,66651.03364801541,28355.334667673404,61078.04992742538,32722.715259751978,0.9733663855221305,0.8666883597373694,0.10667802578476115,-3039.1371781242633,-2.4625096194157017,-139.22436208307772,-0.22742659437050153,0.006816357900259362,-15305.618544970348,-3.5013256669677304,126.81884534662822,0.04308493940180774,4.611705641334993,0.003831195136158979,-320.91559560535825,-0.5226726425626551,-1.0214271158659471e-05,1520.6868427466252,0.36179995194981934,-1259.3754590409226,-0.4258498036071769
building_name_te_weight_020,120650.65804645418,61681.78391764036,0.8660818095416725,0.8645811254436869,32663.308489692106,-2023.8887380740662,2892.7434737771982,421590.14654467686,296560.6266709569,77114.24647900849,49288.84303368308,55157.63841687703,120650.65804645418,65493.019629577146,28658.032874045042,61681.78391764036,33023.751043595315,0.9718647989326706,0.8660818095416725,0.10578298939099817,-2765.598042948739,-2.2408701499949375,464.50962813189835,0.7587884849873281,0.0062098077045624755,-15547.669265114528,-3.556697385311472,2214.511514747108,0.752349496296856,278.1508408168593,0.23107505797954572,282.8183946096178,0.4606240385329175,-0.0006167644668555461,1278.6361226024455,0.30421154093982494,828.3172103595571,0.2800901977434833
building_name_te_weight_005,120968.46606618671,61629.46428549302,0.865375367819928,0.8638667673525953,33200.99751856021,-1382.9112949826929,3118.406328870915,423500.9229140436,300439.0804249404,77085.96675521915,49029.12352834361,54793.2820483203,120968.46606618671,66175.18401786641,28862.07431825746,61629.46428549302,32767.389967235562,0.9722829377972625,0.865375367819928,0.10690756997733453,-2447.7900232162065,-1.9833611071810702,412.1899959845614,0.6733230134279327,0.005503365982817976,-13636.892895747791,-3.119586638938031,6092.965268730593,2.0700002327182236,595.9588605493918,0.4950954951293743,230.49876246228087,0.37541147558230575,-0.0013232061886000457,3189.412491969182,0.7588211155022598,4706.770964343043,1.5915646731085908
building_name_te_weight_010,121177.4974932286,61366.15741985595,0.8649097077469133,0.8633958891037358,32655.155701622774,-1459.516335366527,2970.424110113061,425183.2923698214,296664.9009360161,76942.82192212567,48951.06126099161,55813.97853196387,121177.4974932286,65363.51896126473,28930.214991003984,61366.15741985595,32435.942428851962,0.9712706914248151,0.8649097077469133,0.10636098367790181,-2238.758596174317,-1.8139900424078308,148.88313034748717,0.2432044420066626,0.005037705909803347,-11954.523439969984,-2.734726442695058,2318.7857798063196,0.7877752280086107,804.9902875912812,0.6687492902478829,-32.80810317479336,-0.05343429306229442,-0.0017888662616146744,4871.781947746989,1.1590883968071142,932.5914754187688,0.315349877434689
combined_te_frequency_city_context,121350.2308304136,61288.14968706981,0.8645243023916291,0.8625661418801591,33139.16146083234,823.6045677527587,3505.641620298731,429263.1004370806,294568.4805696414,76028.74332912535,48979.551278936335,47497.46242442507,121350.2308304136,73852.76840598852,25470.688303030656,61288.14968706981,35817.461384039154,0.9791756088897943,0.8645243023916291,0.11465130649816513,-2066.0252589893207,-1.6740300868409823,70.87539756135084,0.1157767940241299,0.004652300554519151,-7874.71537271078,-1.801426252295969,222.36541343160206,0.07554555741752954,977.7236247762776,0.8122482844907366,-110.81583596092969,-0.1804848583635545,-0.0021742716168988707,8951.590015006193,2.1297513375298855,-1163.8288909559487,-0.39354133915185696
combined_te,121901.24874065016,61371.86998960491,0.8632911936164284,0.8617592379419059,32639.574025647686,-182.74862881610153,3352.299819616135,432726.6100069566,301547.46296915127,75920.70259046875,48699.45603067298,51356.974518375595,121901.24874065016,70544.27422227457,27239.540543591567,61371.86998960491,34132.32944601334,0.975677659978848,0.8632911936164284,0.11238646636241967,-1515.0073487527552,-1.2275589916252863,154.59570009644813,0.2525360723597964,0.0034191917793183757,-4411.205802834767,-1.0091110041951126,7201.3478129414725,2.4465577910276513,1528.741535012843,1.2700088836741026,-27.0955334258324,-0.044130276780752715,-0.003407380392099646,12415.099584882206,2.9537852942487905,5815.153508553922,1.9663571826698627
building_developer_te,122193.70747361657,61666.541683651645,0.8626344383225079,0.8610951230635818,32427.497507328546,-977.7532527537787,3428.582359866821,432528.52794192877,301943.17205187323,76473.2016671104,48988.79667671965,51932.44088524579,122193.70747361657,70261.26658837078,27703.665131291647,61666.541683651645,33962.87655236,0.9751119749771433,0.8626344383225079,0.11247753665463545,-1222.5486157863488,-0.9905896147916956,449.2673941431858,0.7338899017596119,0.002762436485397868,-4609.287867862615,-1.0544244174629407,7597.056895663438,2.58099444989504,1821.2002679792495,1.5129702872002309,267.5761606209053,0.4357991349553561,-0.004064135686020154,12217.017519854358,2.906657851836153,6210.862591275887,2.100163692835668
developer_te,122358.45500087946,61322.245800128985,0.8622637826979146,0.8607203138807621,32767.844891900837,-1641.407731404656,2957.0055190778803,433663.253817601,298732.27829314733,76411.4217476428,48795.75144476284,52985.60090130725,122358.45500087946,69372.85409957221,28159.817091488618,61322.245800128985,33162.428708640364,0.9740678103829529,0.8622637826979146,0.11180402768503828,-1057.8010885234544,-0.8571002897358851,104.9715106205258,0.17147367608053735,0.0023917808608046043,-3474.561992190371,-0.7948436091610596,4386.163136937539,1.49013794002676,1985.947795242144,1.6498350340493178,-76.71972290175472,-0.12495279398962703,-0.004434791310613417,13351.743395526602,3.1766304430061543,2999.9688325499883,1.0144203851184874
