classifier,fold,selected_inner_threshold,inner_F2_scores,threshold,ROC_AUC,PR_AUC,Precision,Recall,F1,Specificity,Balanced_Accuracy,Brier,TN,FP,FN,TP,positive_count,row_count
lightgbm,1,0.5,"{""0.2"": 0.7780458383594693, ""0.3"": 0.7735148514851485, ""0.4"": 0.7814485387547649, ""0.5"": 0.7840616966580977, ""0.6"": 0.7793923381770145, ""0.7"": 0.7432432432432432}",0.5,0.9886276317811588,0.890682165110484,0.8,0.7777777777777778,0.7887323943661971,0.9903181189488244,0.884047948363301,0.013655474263467412,716,7,8,28,36,759
random_forest,1,0.3,"{""0.2"": 0.7520091848450058, ""0.3"": 0.754017305315204, ""0.4"": 0.7464607464607464, ""0.5"": 0.7133333333333334, ""0.6"": 0.6680440771349863, ""0.7"": 0.6028368794326241}",0.3,0.9908944213923467,0.8636075180562615,0.8,0.7777777777777778,0.7887323943661971,0.9903181189488244,0.884047948363301,0.015127722628318524,716,7,8,28,36,759
calibrated_lightgbm,1,0.5,calibration only; inherited training-selected LightGBM threshold,0.5,0.9889734132472722,0.8795435686630012,0.9259259259259259,0.6944444444444444,0.7936507936507936,0.9972337482710927,0.8458390963577685,0.014868964975443459,721,2,11,25,36,759
lightgbm_description,1,0.2,"{""0.2"": 0.7929782082324455, ""0.3"": 0.777363184079602, ""0.4"": 0.7784810126582279, ""0.5"": 0.7816537467700259, ""0.6"": 0.7682119205298014, ""0.7"": 0.7489878542510121}",0.2,0.9883971108037498,0.8936119633746221,0.64,0.8888888888888888,0.7441860465116279,0.975103734439834,0.9319963116643615,0.01370133152287499,705,18,4,32,36,759
lightgbm,2,0.3,"{""0.2"": 0.7476076555023924, ""0.3"": 0.7555282555282555, ""0.4"": 0.7377049180327869, ""0.5"": 0.7371794871794872, ""0.6"": 0.7058047493403694, ""0.7"": 0.695364238410596}",0.3,0.9923728813559323,0.9205304437831751,0.6818181818181818,0.9,0.7758620689655172,0.9703389830508474,0.9351694915254237,0.016659199150725775,687,21,5,45,50,758
random_forest,2,0.2,"{""0.2"": 0.7377979568671964, ""0.3"": 0.725609756097561, ""0.4"": 0.7124518613607189, ""0.5"": 0.6830238726790451, ""0.6"": 0.6403269754768393, ""0.7"": 0.5720338983050848}",0.2,0.9914406779661017,0.9139216636396239,0.532608695652174,0.98,0.6901408450704225,0.9392655367231638,0.959632768361582,0.01939252561800007,665,43,1,49,50,758
calibrated_lightgbm,2,0.3,calibration only; inherited training-selected LightGBM threshold,0.3,0.9919491525423728,0.9236360392075247,0.8367346938775511,0.82,0.8282828282828283,0.9887005649717514,0.9043502824858757,0.017580916477038307,700,8,9,41,50,758
lightgbm_description,2,0.2,"{""0.2"": 0.7544910179640718, ""0.3"": 0.752157829839704, ""0.4"": 0.7522123893805309, ""0.5"": 0.7364341085271318, ""0.6"": 0.7189542483660131, ""0.7"": 0.7047872340425532}",0.2,0.9928248587570622,0.9234382484714084,0.6571428571428571,0.92,0.7666666666666667,0.9661016949152542,0.9430508474576271,0.016356907561922,684,24,4,46,50,758
lightgbm,3,0.2,"{""0.2"": 0.799059929494712, ""0.3"": 0.7831325301204819, ""0.4"": 0.7901234567901234, ""0.5"": 0.7662835249042146, ""0.6"": 0.7552083333333334, ""0.7"": 0.711436170212766}",0.2,0.9910879817856563,0.9002851737402785,0.7551020408163265,0.8604651162790697,0.8043478260869565,0.9832167832167832,0.9218409497479265,0.01578018267597789,703,12,6,37,43,758
random_forest,3,0.3,"{""0.2"": 0.7397107897664071, ""0.3"": 0.7654921020656136, ""0.4"": 0.7433290978398983, ""0.5"": 0.6550802139037433, ""0.6"": 0.6095890410958904, ""0.7"": 0.5469845722300141}",0.3,0.9867620751341681,0.8501780269545446,0.7391304347826086,0.7906976744186046,0.7640449438202247,0.9832167832167832,0.8869572288176939,0.019441432548776064,703,12,9,34,43,758
