variant,fold,training_rows,validation_rows,count,RMSE_RM,MAE_RM,Mean_Error_RM,Median_Error_RM,R2,Top5_RMSE_RM,Top5_MAE_RM,Premium_Recall,Premium_Precision
building_name_te_reference,1,3032,759,759,109802.22810565536,59825.29186326296,616.4042375257591,2654.9751364851545,0.8762359337032993,380289.7943487374,292944.69585709646,,
building_name_te_reference,2,3033,758,758,116771.47310324534,62523.38852195131,-7035.276296871746,-247.3125818062108,0.9096736172096598,364124.0361078713,274780.01818139805,,
building_name_te_reference,3,3033,758,758,123809.50508793104,63991.19630911156,-2878.7738969789225,3040.570504829171,0.8535007378572856,419640.6846095538,294723.20043102343,,
building_name_te_reference,4,3033,758,758,108841.4976949971,57589.60051573155,1692.529546690521,4113.76189247983,0.8579110690396,376825.89382108627,256044.86488068354,,
building_name_te_reference,5,3033,758,758,139202.9114345011,64138.871877126345,2001.068948924308,7417.629652907999,0.8179835782443263,555229.6062882316,368893.71637872595,,
hard_rf_lgbm_p10,1,3032,759,759,125204.12459940255,63042.46825037505,4050.675249429035,3811.649372695014,0.8390801807410302,458563.1562865485,327142.9202793041,0.7777777777777778,0.8
hard_rf_lgbm_p10,2,3033,758,758,151497.8427956523,69865.04581996128,7574.850912971621,4980.468619769599,0.8479613521262204,460296.38475792855,331764.9001695119,0.9,0.6818181818181818
hard_rf_lgbm_p10,3,3033,758,758,116679.02208755456,65679.69812162213,1290.3018449247495,3635.9369571652205,0.8698892970339197,347788.21202768694,271627.97550556436,0.8604651162790697,0.7551020408163265
hard_rf_lgbm_p10,4,3033,758,758,167024.74919506744,68278.01270053278,11434.49270706563,7915.438263635791,0.6653946466491563,508138.5382055441,342219.59490062756,0.8857142857142857,0.6888888888888889
hard_rf_lgbm_p10,5,3033,758,758,145738.5590826094,66058.26121702763,3139.9482346374266,7991.858328456932,0.8004908227164919,567797.9346662099,370975.41787149454,0.75,0.4528301886792453
hard_rf_lgbm_p15,1,3032,759,759,114429.7295554629,61697.629812782994,-4520.4667342123,3109.2064091610373,0.865584297232286,398784.44174014527,306684.8696045677,0.7777777777777778,0.8
hard_rf_lgbm_p15,2,3033,758,758,135813.52557878755,64607.32458339887,-5286.274319381808,3780.798814563721,0.8778123964138881,432746.0386448613,311406.29196794244,0.9,0.6818181818181818
hard_rf_lgbm_p15,3,3033,758,758,123939.77747949805,65665.39119984166,5908.141772876049,4098.691112378379,0.8531922825452471,376773.81051381934,264132.5777178414,0.8604651162790697,0.7551020408163265
hard_rf_lgbm_p15,4,3033,758,758,131103.42131839308,60295.794819941206,7193.238097667665,7702.023252476836,0.7938424335391872,402211.17317932105,261619.4301934993,0.8857142857142857,0.6888888888888889
hard_rf_lgbm_p15,5,3033,758,758,152836.9258767297,66508.74150060631,4744.823340120026,8680.159743394426,0.7805828737703521,614017.3905404804,400817.83514394204,0.75,0.4528301886792453
hard_rf_lgbm_p20,1,3032,759,759,105798.67714749913,59576.67843584457,-640.5765897256898,3166.2102920697944,0.8850966372109247,341513.25944562006,253004.20086354963,0.7777777777777778,0.8
hard_rf_lgbm_p20,2,3033,758,758,136358.42439813793,63241.428384802835,-6784.086464336888,2661.502892891236,0.876829969316796,449981.9369317853,305652.07206644566,0.9,0.6818181818181818
hard_rf_lgbm_p20,3,3033,758,758,131149.75839688993,66964.37487236768,6862.169833781726,3936.169334639475,0.8356148993322478,409788.8545529098,283975.3537332948,0.8604651162790697,0.7551020408163265
hard_rf_lgbm_p20,4,3033,758,758,120561.179532571,58965.40438928425,4746.08420570351,7702.023252476836,0.8256643501157963,412533.0987741681,264136.45883880294,0.8857142857142857,0.6888888888888889
hard_rf_lgbm_p20,5,3033,758,758,142820.92613171713,62819.172179950634,1857.7012455927804,8200.48461131961,0.8083990646077364,586278.1788374003,376829.9666956706,0.75,0.4528301886792453
hard_rf_lgbm_p5,1,3032,759,759,192812.34190015253,71996.50829361136,16670.44330968112,4062.499124923197,0.6183705133223022,787681.7205329479,473830.10752656724,0.7777777777777778,0.8
hard_rf_lgbm_p5,2,3033,758,758,170151.24378853125,75931.74721715481,12581.658495940603,5135.41299980921,0.8082164483693469,497140.0703431117,357169.2330681786,0.9,0.6818181818181818
hard_rf_lgbm_p5,3,3033,758,758,135044.8731687605,70224.40706626068,5446.552818457599,3867.49960402702,0.8257055072170338,417904.889284017,307703.5090649929,0.8604651162790697,0.7551020408163265
hard_rf_lgbm_p5,4,3033,758,758,157961.8491034766,67197.83209466994,14857.507903408632,8406.711758230245,0.7007214119333184,435063.7002435036,299907.69942169334,0.8857142857142857,0.6888888888888889
hard_rf_lgbm_p5,5,3033,758,758,166964.35027761327,72829.89748801128,11010.552681112622,8751.924253180827,0.738144657717704,575336.7002591921,389250.4536486666,0.75,0.4528301886792453
lightgbm_interaction_reference,1,3032,759,759,111378.49920055231,60007.88853609335,2175.816012151408,3792.1226102718792,0.8726570263379979,389568.3538549468,296285.55061764014,,
lightgbm_interaction_reference,2,3033,758,758,118266.37374115015,62313.20512284845,-8425.318946030444,-1168.2028192537837,0.907346108965158,372163.5315463766,278091.76313487755,,
lightgbm_interaction_reference,3,3033,758,758,122491.71464703212,63425.64209698856,-2995.057170252597,3324.1499258933472,0.8566027277446595,413991.3131288209,294219.0966005827,,
lightgbm_interaction_reference,4,3033,758,758,108770.90075781844,57671.80303763264,978.1735712785228,4115.998345486354,0.8580953331368404,372922.61148403055,256375.4395377629,,
lightgbm_interaction_reference,5,3033,758,758,138647.09889861662,63578.12401550485,2152.416662266627,6705.392509098427,0.8194341950014972,555355.5983470575,365957.5581279436,,
random_forest_reference,1,3032,759,759,114035.91630798248,61080.8735514796,-276.07749348816156,3174.06747535005,0.8665078963091242,396003.2047068279,288956.2336459549,,
random_forest_reference,2,3033,758,758,125040.1042489469,61584.050678400694,-2455.5451711929245,4091.399111019622,0.8964286218699551,409138.34839102725,295974.31823125755,,
random_forest_reference,3,3033,758,758,120165.98875643134,63638.51515126057,-815.4638590737511,3480.147482721106,0.8619963443563077,396507.53893714474,264203.4891946567,,
random_forest_reference,4,3033,758,758,107020.96705787217,56380.0940641429,4416.90920143339,7363.279797075913,0.862624599868285,374992.84832945355,249662.98666092887,,
random_forest_reference,5,3033,758,758,147065.39263804478,63403.01795046177,848.1271714724979,8540.080879036934,0.7968415416405629,601653.6763235938,384568.76283242507,,
soft_lgbm_lgbm_p15,1,3032,759,759,112458.26011042926,60458.278964871846,-1618.471661268084,3618.8525930024916,0.8701760005732351,395984.0093438372,300710.88583420357,0.7777777777777778,0.8
soft_lgbm_lgbm_p15,2,3033,758,758,133348.31135811808,65467.86694184629,-7890.328682517058,-332.0834810134256,0.8822079061738842,424544.9381098639,302845.52341898123,0.9,0.6818181818181818
soft_lgbm_lgbm_p15,3,3033,758,758,119866.9532994905,63086.59037938453,2609.3260300784264,4434.249291869666,0.8626823394294317,374848.4468176181,261773.97409714467,0.8604651162790697,0.7551020408163265
soft_lgbm_lgbm_p15,4,3033,758,758,129694.07972208617,60918.89241622197,5552.182054819006,4320.477185025637,0.7982509343423408,395478.2146104419,257199.94200214968,0.8857142857142857,0.6888888888888889
soft_lgbm_lgbm_p15,5,3033,758,758,146005.12993920513,65082.00506050577,3792.183534098075,7053.305003379559,0.7997603095081495,589438.6065232266,379644.8588108835,0.75,0.4528301886792453
soft_rf_below_lgbm_p15,1,3032,759,759,113586.58279924294,61789.774241763465,-7008.2286238386705,1916.6660551445675,0.867557816428796,395056.992351702,303768.17952208465,0.7777777777777778,0.8
soft_rf_below_lgbm_p15,2,3033,758,758,137327.65573173226,65698.04593424672,-11380.880605055718,3036.872402958863,0.8750727690683573,449118.1893708194,331031.74816231406,0.9,0.6818181818181818
soft_rf_below_lgbm_p15,3,3033,758,758,122380.35797803706,64616.56022200489,-63.98211814466886,2657.5779334804392,0.8568633328688253,385219.7786635426,271160.1190356134,0.8604651162790697,0.7551020408163265
soft_rf_below_lgbm_p15,4,3033,758,758,133158.32246681862,61304.441415326124,4549.712983385751,7441.267111840396,0.7873292028625847,422777.8016175946,284004.0948664214,0.8857142857142857,0.6888888888888889
soft_rf_below_lgbm_p15,5,3033,758,758,152032.92226063288,65236.3952619928,-764.0921305491651,6359.291950212006,0.7828853036439509,630879.5230703827,414047.87655409874,0.75,0.4528301886792453
soft_rf_lgbm_direct_p15,1,3032,759,759,168972.5086024923,66874.77877734303,-2422.014154677358,3575.3849256374524,0.7069077280148404,693866.3965757147,407769.3793304337,0.7777777777777778,0.8
soft_rf_lgbm_direct_p15,2,3033,758,758,180644.09228486355,68373.35987397197,-8868.729597415155,4242.2200334748195,0.7838333823947584,648903.5109615164,386637.1608454263,0.9,0.6818181818181818
soft_rf_lgbm_direct_p15,3,3033,758,758,126709.01362639871,66645.92610909388,929.8629154114707,4176.014236319694,0.8465586246863346,400401.91833069373,293207.92202938884,0.8604651162790697,0.7551020408163265
soft_rf_lgbm_direct_p15,4,3033,758,758,154032.50144586063,64882.08739007499,8305.617296354434,8262.123021655541,0.715425510799742,541666.2963266153,347054.52792808466,0.8857142857142857,0.6888888888888889
soft_rf_lgbm_direct_p15,5,3033,758,758,152590.80695649,67197.05446821613,3091.725202701527,8714.151361909418,0.7812889757101642,606901.800871667,411546.554607583,0.75,0.4528301886792453
soft_rf_lgbm_p10,1,3032,759,759,124437.12635570757,63881.08727468334,6277.693725930901,4798.689331595844,0.8410457257067736,449288.53924675373,320213.149703915,0.7777777777777778,0.8
soft_rf_lgbm_p10,2,3033,758,758,144110.84838975014,67707.10982086585,6374.6654338346825,6147.876613288361,0.862426606313498,453157.48635271215,320720.4890818635,0.9,0.6818181818181818
soft_rf_lgbm_p10,3,3033,758,758,113659.49400243607,64960.286551862286,533.1096777455334,4294.22147117104,0.8765364106228228,346743.9762532735,274265.3933550715,0.8604651162790697,0.7551020408163265
soft_rf_lgbm_p10,4,3033,758,758,162975.53855069925,67009.55134302634,11076.499941110962,8769.216085671767,0.6814217824491388,498097.4330061949,328508.4358302026,0.8857142857142857,0.6888888888888889
soft_rf_lgbm_p10,5,3033,758,758,142944.21010696737,64312.754013936654,2331.626089966821,8580.05778742896,0.8080681394322813,568088.025442512,362197.02586735494,0.75,0.4528301886792453
soft_rf_lgbm_p15,1,3032,759,759,113079.67030677506,61830.35959788184,-3016.102676356514,3551.650283202296,0.8687373006184401,389094.7864166714,298525.0303924703,0.7777777777777778,0.8
soft_rf_lgbm_p15,2,3033,758,758,133738.06740753833,64288.42235340954,-5229.074619728672,4443.262855520603,0.8815183245094758,430807.49903840333,309621.56430205563,0.9,0.6818181818181818
soft_rf_lgbm_p15,3,3033,758,758,121144.60319538938,64591.41822918723,4865.785162516062,4238.703388021539,0.8597394279869894,374838.2433668043,258621.59946527038,0.8604651162790697,0.7551020408163265
soft_rf_lgbm_p15,4,3033,758,758,130684.04225419325,60719.63178607298,7686.644100243853,8212.004434193135,0.7951592547700208,403352.4536724821,265752.9543175646,0.8857142857142857,0.6888888888888889
soft_rf_lgbm_p15,5,3033,758,758,148919.75305356574,65015.93178709714,4069.12496739266,9372.176608608774,0.7916859560747492,605256.3190767051,390597.02363562305,0.75,0.4528301886792453
soft_rf_lgbm_p15_calibrated,1,3032,759,759,110807.45632118091,61224.85823812971,-1021.203589496693,5319.300491447095,0.8739594659250949,376535.01229420793,288891.36409738025,0.6944444444444444,0.9259259259259259
soft_rf_lgbm_p15_calibrated,2,3033,758,758,130425.98547923863,63279.87480165774,-3411.299686194648,6873.866673170254,0.8873141578784199,421112.6075687579,301892.03564962605,0.82,0.8367346938775511
soft_rf_lgbm_p15_calibrated,3,3033,758,758,120796.54833116865,65043.27938295955,5425.180867660014,6217.252205103068,0.8605442223265397,375072.82097784936,262000.37975466883,0.813953488372093,0.8974358974358975
soft_rf_lgbm_p15_calibrated,4,3033,758,758,126273.95621450724,60431.17400348711,9384.961074259907,11324.278481860034,0.8087511629393735,394488.69350776664,262425.29175500816,0.8285714285714286,0.7435897435897436
