variant,architecture,RMSE_RM,MAE_RM,R2,Adjusted_R2,Median_AE_RM,Mean_Error_RM,Median_Error_RM,Top5_RMSE_RM,Top5_MAE_RM,Remaining95_RMSE_RM,Remaining95_MAE_RM
building_name_te_reference,reference,120201.22007355573,61613.19807437313,0.8670776734261412,0.8654445465505008,32652.10208560177,-1120.351245312772,3754.4583197694446,418749.3874791527,294819.8269345541,77191.99288503824,49308.48841499119
lightgbm_interaction_reference,reference,120372.50720563732,61398.96552303073,0.866698574008528,0.8650607893943165,32756.79514097757,-1221.8974797922451,3374.984530591697,420311.5104220744,295732.30946059735,77024.85109953633,49034.80685928797
random_forest_reference,reference,123416.25608940294,61217.27428950846,0.85987200183711,0.8581503437400232,32924.28841907636,343.42651230889214,4952.998965304112,437137.8158097914,294346.1151562098,77154.13577508794,48916.66896746646
soft_rf_lgbm_p20,soft,126745.49296664292,61797.907890343464,0.8522099376874648,0.8503941409817017,32928.470371263684,1181.605361594353,5347.2207186874,447282.6439542982,295973.9646736776,79725.44021956336,49442.04818780709
soft_rf_lgbm_p15_description,soft_description,127649.66093363476,63036.79150567537,0.8500938282058106,0.8482520322916726,32492.78242832143,1482.4776799533588,5814.260398434824,441066.72661544185,306984.10226399085,83003.92241710438,50165.36994386479
soft_rf_lgbm_p15_calibrated,soft_calibrated,127850.26693579147,62925.888229256016,0.8496222921707846,0.8477747028117717,33158.63016745058,3131.964125534749,7957.798456720746,440735.5476857133,302332.6071725086,83420.73461028763,50294.042464407925
hard_rf_lgbm_p20,hard,127994.69368034783,62312.689749728655,0.8492823502909226,0.8474305842955653,33081.04938511056,1207.7707556106507,4904.4255133646075,448938.89586501016,299795.1739890874,81319.35738010473,49782.372614077954
soft_lgbm_lgbm_p15,soft,128786.31491268337,63002.0555714034,0.8474122688643955,0.845537526441255,32815.02747060984,488.422346332944,3821.8620138296974,442120.605295513,302638.8328911673,84542.2911774462,50358.07120851666
soft_rf_lgbm_p15,soft,130076.02158276978,63288.767946416156,0.8443408432966577,0.842428364341435,32910.94222965877,1674.0378827081836,5680.754691529495,447512.9495643189,307555.0844330833,85122.00065242712,50400.51464664754
hard_rf_lgbm_p15,hard,132243.7000611798,63754.43369099807,0.8391095870846188,0.8371328352165345,32743.428611200652,1606.2758766353388,5208.52574588632,451949.54025242396,311778.1463131635,87371.7833145086,50667.928442952674
soft_rf_below_lgbm_p15,soft,132345.6163133267,63728.53186951858,0.8388615046980076,0.8368817048091476,32787.27008227393,-2934.5689430834377,4304.264127874398,464353.41076068184,324111.95818787056,84038.84401979603,49989.88954780604
soft_rf_rf_p15,soft,132897.96043756977,63005.26999030395,0.8375136756978219,0.8355173159441092,32897.628759317595,2263.9368043784734,5620.153700390656,466700.1415055729,304599.24288842164,84270.27532228937,50258.01787960071
soft_rf_lgbm_p10,soft,138679.59124925744,65573.71119825653,0.823068447485915,0.8208946089667783,33438.41804830823,5318.971934612588,6381.818965433864,466217.7003321541,321671.3202358897,93692.23321752717,52061.201973832685
hard_rf_lgbm_p10,hard,142388.6170170817,66583.76284338319,0.813477715424864,0.8111860420566865,33255.3481047118,5497.671996468742,5491.423140585364,471098.43277826096,327846.0704776375,98154.71775107388,52798.7480001429
soft_rf_lgbm_direct_p15,soft,157641.37731224403,66794.66246260931,0.7713766291559981,0.7685676881680643,32938.34527927125,206.59876706027754,5475.664384305186,594295.88602557,373797.83902226825,86756.72660973461,50596.21660136655
soft_rf_ridge_p15,soft,158209.5828014884,65738.5666830988,0.7697255503264506,0.7668963236477692,33167.468372227275,-1190.7520603846322,5463.626122365764,587673.9061375434,340034.41647222114,90158.98774990297,51265.86147345337
hard_rf_lgbm_p5,hard,165654.48742207006,71636.1735070832,0.7475434793626514,0.7444417165556754,33299.36892600139,12114.545125673681,6042.746991585824,552126.9611871616,362729.9432510012,113158.17723987225,56277.157608348265
