cv_scheme,model,fold,training_rows,validation_rows,RMSE_RM,MAE_RM,R2
group_safe,random_forest,1,3022,769,125552.64377859079,64004.77966159284,0.850459649359883
group_safe,random_forest,2,3045,746,146039.61212897624,70703.57148102912,0.7473415675475283
group_safe,random_forest,3,3036,755,144159.21100966106,66322.48592602118,0.7451391601005051
group_safe,random_forest,4,3026,765,147084.7352485747,65811.46362300201,0.8194168721929844
group_safe,random_forest,5,3035,756,133602.20273524823,68320.68142129893,0.8821143953764293
group_safe,lightgbm_interaction,1,3022,769,121763.96847624345,64330.32700203811,0.8593485355592909
group_safe,lightgbm_interaction,2,3045,746,148356.19970577373,72435.68890160098,0.7392622848224306
group_safe,lightgbm_interaction,3,3036,755,134443.80065750284,64412.27542453958,0.7783335944208364
group_safe,lightgbm_interaction,4,3026,765,124252.33669003988,63301.48610089704,0.871130217828576
group_safe,lightgbm_interaction,5,3035,756,132281.78059305667,69821.92395118777,0.8844330630817775
group_safe,building_name_te,1,3022,769,120643.9643190364,63713.10804579592,0.8619241042261973
group_safe,building_name_te,2,3045,746,152964.15757106908,73933.97522664642,0.7228136662934822
group_safe,building_name_te,3,3036,755,134167.5207948303,64562.89510989886,0.7792437001775077
group_safe,building_name_te,4,3026,765,124112.35601098038,63781.385026278,0.8714204195055522
group_safe,building_name_te,5,3035,756,130000.81323450392,69266.83926430524,0.8883841999918067
group_safe,position_regex_lightgbm,1,3022,769,125525.24098907654,64781.40886823439,0.8505249188028698
group_safe,position_regex_lightgbm,2,3045,746,145381.97200328228,72409.58047410497,0.7496119680488963
group_safe,position_regex_lightgbm,3,3036,755,133300.15968355065,63865.17049170618,0.782088748022915
group_safe,position_regex_lightgbm,4,3026,765,123943.24488743117,63494.14364145624,0.871770576799402
group_safe,position_regex_lightgbm,5,3035,756,130132.48861499592,69111.42069625245,0.8881579783897492
invalid_fixed_original_folds,original_position_retained,1,3032,759,109737.36309210744,60086.553124787584,0.8763821162852261
invalid_fixed_original_folds,retrained_invalid_removed,1,3029,759,120248.64258336589,63132.59477762532,0.8515662603891718
invalid_fixed_original_folds,original_position_retained,2,3033,757,108730.68538876774,60415.081371351764,0.9148273125106899
invalid_fixed_original_folds,retrained_invalid_removed,2,3031,757,109660.14992412925,59620.16720813162,0.9133649220933907
invalid_fixed_original_folds,original_position_retained,3,3033,758,119236.80319619087,62240.86467626786,0.8641223241146723
invalid_fixed_original_folds,retrained_invalid_removed,3,3030,758,121397.2070421361,64322.321304155244,0.8591538914003121
invalid_fixed_original_folds,original_position_retained,4,3033,757,107484.5675871969,57465.934208347666,0.8615274255632205
invalid_fixed_original_folds,retrained_invalid_removed,4,3031,757,113296.32673939466,58098.06894538057,0.8461479815399955
invalid_fixed_original_folds,original_position_retained,5,3033,757,138693.97478056452,62847.170912731155,0.8192498558765363
invalid_fixed_original_folds,retrained_invalid_removed,5,3031,757,135781.01984264696,62432.03499977609,0.8267626245147414
