row_index,listing_id,group_safe_group_id,repeat_group_id,is_repeat_like,group_safe_fold,group_size,repeat_level
0,98187451,UNIQUE_98187451,,False,3,1,non-repeat
1,101683090,UNIQUE_101683090,,False,5,1,non-repeat
2,103792905,RG_0001,RG_0001,True,1,2,Level 3 - possible repeat
3,103806240,UNIQUE_103806240,,False,1,1,non-repeat
4,103806234,UNIQUE_103806234,,False,2,1,non-repeat
5,103739787,UNIQUE_103739787,,False,4,1,non-repeat
6,103690767,UNIQUE_103690767,,False,1,1,non-repeat
7,103615852,UNIQUE_103615852,,False,3,1,non-repeat
8,103615849,UNIQUE_103615849,,False,2,1,non-repeat
9,102460346,UNIQUE_102460346,,False,1,1,non-repeat
10,103806285,UNIQUE_103806285,,False,4,1,non-repeat
11,103739661,UNIQUE_103739661,,False,4,1,non-repeat
12,103696451,UNIQUE_103696451,,False,1,1,non-repeat
13,103580644,UNIQUE_103580644,,False,3,1,non-repeat
14,102452522,UNIQUE_102452522,,False,1,1,non-repeat
15,103806203,UNIQUE_103806203,,False,2,1,non-repeat
16,103806202,UNIQUE_103806202,,False,1,1,non-repeat
17,103806192,UNIQUE_103806192,,False,3,1,non-repeat
18,103246638,UNIQUE_103246638,,False,5,1,non-repeat
19,103740356,RG_0002,RG_0002,True,5,2,Level 3 - possible repeat
20,103589322,UNIQUE_103589322,,False,3,1,non-repeat
21,103582335,UNIQUE_103582335,,False,5,1,non-repeat
22,103386504,UNIQUE_103386504,,False,2,1,non-repeat
23,103684680,UNIQUE_103684680,,False,4,1,non-repeat
24,103683568,UNIQUE_103683568,,False,1,1,non-repeat
25,103806074,UNIQUE_103806074,,False,4,1,non-repeat
26,103805967,UNIQUE_103805967,,False,4,1,non-repeat
27,103805963,UNIQUE_103805963,,False,2,1,non-repeat
28,103805953,UNIQUE_103805953,,False,4,1,non-repeat
29,103615831,UNIQUE_103615831,,False,4,1,non-repeat
30,102461841,UNIQUE_102461841,,False,4,1,non-repeat
31,101979792,UNIQUE_101979792,,False,5,1,non-repeat
32,103806053,UNIQUE_103806053,,False,5,1,non-repeat
33,103715477,UNIQUE_103715477,,False,4,1,non-repeat
34,103805909,UNIQUE_103805909,,False,3,1,non-repeat
35,103805998,UNIQUE_103805998,,False,3,1,non-repeat
36,103292386,UNIQUE_103292386,,False,5,1,non-repeat
37,103292345,UNIQUE_103292345,,False,3,1,non-repeat
38,103292300,UNIQUE_103292300,,False,2,1,non-repeat
39,101804692,UNIQUE_101804692,,False,1,1,non-repeat
40,100462242,UNIQUE_100462242,,False,3,1,non-repeat
41,103703580,UNIQUE_103703580,,False,1,1,non-repeat
42,103640175,UNIQUE_103640175,,False,3,1,non-repeat
43,102709021,UNIQUE_102709021,,False,5,1,non-repeat
44,103805884,UNIQUE_103805884,,False,2,1,non-repeat
45,103125815,UNIQUE_103125815,,False,3,1,non-repeat
46,103755519,UNIQUE_103755519,,False,1,1,non-repeat
47,103690820,UNIQUE_103690820,,False,5,1,non-repeat
48,102135985,UNIQUE_102135985,,False,4,1,non-repeat
49,103637327,UNIQUE_103637327,,False,3,1,non-repeat
50,103594449,UNIQUE_103594449,,False,3,1,non-repeat
51,103142753,UNIQUE_103142753,,False,2,1,non-repeat
52,103754290,UNIQUE_103754290,,False,3,1,non-repeat
53,103805698,UNIQUE_103805698,,False,3,1,non-repeat
54,103805692,UNIQUE_103805692,,False,3,1,non-repeat
55,102399058,UNIQUE_102399058,,False,3,1,non-repeat
56,102725008,UNIQUE_102725008,,False,4,1,non-repeat
57,102664029,UNIQUE_102664029,,False,3,1,non-repeat
58,103042046,UNIQUE_103042046,,False,5,1,non-repeat
59,103805672,UNIQUE_103805672,,False,2,1,non-repeat
60,103805666,UNIQUE_103805666,,False,5,1,non-repeat
61,103805719,UNIQUE_103805719,,False,5,1,non-repeat
62,103805714,UNIQUE_103805714,,False,3,1,non-repeat
63,103805712,UNIQUE_103805712,,False,2,1,non-repeat
64,102887743,UNIQUE_102887743,,False,2,1,non-repeat
65,103120855,UNIQUE_103120855,,False,3,1,non-repeat
66,103795255,UNIQUE_103795255,,False,2,1,non-repeat
67,103708653,UNIQUE_103708653,,False,3,1,non-repeat
68,103795254,UNIQUE_103795254,,False,1,1,non-repeat
69,103795238,UNIQUE_103795238,,False,2,1,non-repeat
70,103663119,UNIQUE_103663119,,False,4,1,non-repeat
71,103537807,UNIQUE_103537807,,False,4,1,non-repeat
72,101480721,UNIQUE_101480721,,False,5,1,non-repeat
73,103530633,UNIQUE_103530633,,False,4,1,non-repeat
74,103805563,RG_0003,RG_0003,True,3,2,Level 3 - possible repeat
75,103805555,UNIQUE_103805555,,False,2,1,non-repeat
76,102631653,RG_0004,RG_0004,True,4,2,Level 3 - possible repeat
77,102006980,UNIQUE_102006980,,False,5,1,non-repeat
78,103805644,RG_0005,RG_0005,True,5,3,Level 3 - possible repeat
79,103073792,UNIQUE_103073792,,False,1,1,non-repeat
80,102725022,UNIQUE_102725022,,False,2,1,non-repeat
81,102850930,UNIQUE_102850930,,False,3,1,non-repeat
82,103149030,UNIQUE_103149030,,False,1,1,non-repeat
83,103805620,UNIQUE_103805620,,False,4,1,non-repeat
84,103805611,UNIQUE_103805611,,False,3,1,non-repeat
85,103805539,UNIQUE_103805539,,False,5,1,non-repeat
86,103581872,UNIQUE_103581872,,False,3,1,non-repeat
87,103563958,UNIQUE_103563958,,False,4,1,non-repeat
88,103443920,RG_0006,RG_0006,True,4,2,Level 3 - possible repeat
89,103383454,UNIQUE_103383454,,False,1,1,non-repeat
90,103351715,UNIQUE_103351715,,False,4,1,non-repeat
91,103323847,UNIQUE_103323847,,False,4,1,non-repeat
92,103293875,UNIQUE_103293875,,False,3,1,non-repeat
93,103199527,UNIQUE_103199527,,False,4,1,non-repeat
94,102738500,UNIQUE_102738500,,False,5,1,non-repeat
95,102492658,UNIQUE_102492658,,False,3,1,non-repeat
96,102343002,UNIQUE_102343002,,False,2,1,non-repeat
97,102223783,UNIQUE_102223783,,False,1,1,non-repeat
98,102211027,UNIQUE_102211027,,False,2,1,non-repeat
99,100883751,UNIQUE_100883751,,False,3,1,non-repeat
100,99869405,UNIQUE_99869405,,False,5,1,non-repeat
101,103098770,UNIQUE_103098770,,False,5,1,non-repeat
102,103805449,UNIQUE_103805449,,False,1,1,non-repeat
103,102631668,RG_0004,RG_0004,True,4,2,Level 3 - possible repeat
104,103805522,UNIQUE_103805522,,False,2,1,non-repeat
105,103805519,UNIQUE_103805519,,False,3,1,non-repeat
106,103805518,UNIQUE_103805518,,False,2,1,non-repeat
107,103805514,UNIQUE_103805514,,False,3,1,non-repeat
108,103805511,RG_0007,RG_0007,True,3,2,Level 3 - possible repeat
109,103805510,UNIQUE_103805510,,False,2,1,non-repeat
110,103805502,UNIQUE_103805502,,False,2,1,non-repeat
111,103805427,UNIQUE_103805427,,False,2,1,non-repeat
112,103805422,UNIQUE_103805422,,False,5,1,non-repeat
113,102631678,UNIQUE_102631678,,False,5,1,non-repeat
114,101602694,UNIQUE_101602694,,False,5,1,non-repeat
115,103734716,UNIQUE_103734716,,False,3,1,non-repeat
116,102649103,UNIQUE_102649103,,False,2,1,non-repeat
117,102790896,UNIQUE_102790896,,False,2,1,non-repeat
118,103338849,UNIQUE_103338849,,False,1,1,non-repeat
119,103805308,UNIQUE_103805308,,False,5,1,non-repeat
120,101224511,UNIQUE_101224511,,False,3,1,non-repeat
121,103805444,UNIQUE_103805444,,False,1,1,non-repeat
122,103805439,UNIQUE_103805439,,False,5,1,non-repeat
123,103273883,UNIQUE_103273883,,False,5,1,non-repeat
124,103805409,UNIQUE_103805409,,False,5,1,non-repeat
125,103805406,UNIQUE_103805406,,False,3,1,non-repeat
126,103805404,UNIQUE_103805404,,False,1,1,non-repeat
127,103805403,UNIQUE_103805403,,False,1,1,non-repeat
128,103805401,UNIQUE_103805401,,False,1,1,non-repeat
129,103805398,RG_0005,RG_0005,True,5,3,Level 3 - possible repeat
130,103805396,UNIQUE_103805396,,False,2,1,non-repeat
131,103805390,UNIQUE_103805390,,False,5,1,non-repeat
132,94739862,UNIQUE_94739862,,False,1,1,non-repeat
133,100922534,UNIQUE_100922534,,False,1,1,non-repeat
134,103805375,UNIQUE_103805375,,False,5,1,non-repeat
135,103805366,UNIQUE_103805366,,False,1,1,non-repeat
136,102859087,UNIQUE_102859087,,False,2,1,non-repeat
137,100049703,UNIQUE_100049703,,False,4,1,non-repeat
138,103805244,UNIQUE_103805244,,False,2,1,non-repeat
139,101557901,UNIQUE_101557901,,False,3,1,non-repeat
140,103705457,UNIQUE_103705457,,False,4,1,non-repeat
141,103705756,UNIQUE_103705756,,False,3,1,non-repeat
142,103805331,UNIQUE_103805331,,False,3,1,non-repeat
143,103805321,UNIQUE_103805321,,False,2,1,non-repeat
144,102920513,UNIQUE_102920513,,False,1,1,non-repeat
145,103187350,UNIQUE_103187350,,False,1,1,non-repeat
146,103805305,UNIQUE_103805305,,False,3,1,non-repeat
147,103539418,RG_0008,RG_0008,True,1,3,Level 3 - possible repeat
148,103050905,UNIQUE_103050905,,False,4,1,non-repeat
149,103176156,RG_0009,RG_0009,True,3,2,Level 3 - possible repeat
150,103050937,RG_0010,RG_0010,True,4,4,Level 3 - possible repeat
151,103805177,UNIQUE_103805177,,False,2,1,non-repeat
152,103805172,UNIQUE_103805172,,False,5,1,non-repeat
153,102554797,UNIQUE_102554797,,False,2,1,non-repeat
154,101907204,UNIQUE_101907204,,False,4,1,non-repeat
155,101830037,UNIQUE_101830037,,False,1,1,non-repeat
156,103805238,UNIQUE_103805238,,False,4,1,non-repeat
157,103805222,UNIQUE_103805222,,False,3,1,non-repeat
158,30964923,UNIQUE_30964923,,False,4,1,non-repeat
159,103652447,UNIQUE_103652447,,False,2,1,non-repeat
160,100049749,UNIQUE_100049749,,False,2,1,non-repeat
161,103805089,UNIQUE_103805089,,False,4,1,non-repeat
162,103805118,UNIQUE_103805118,,False,5,1,non-repeat
163,103805117,UNIQUE_103805117,,False,5,1,non-repeat
