repeat_group_id,group_size,strongest_repeat_level,level1_rows,level2_rows,level3_rows,level1_match_groups,level2_match_groups,listing_ids,historical_folds,historical_fold_count,crossed_historical_folds,group_safe_fold
RG_0001,2,Level 3 - possible repeat,0,0,2,0,0,103792905|103792067,1|3,2,True,1
RG_0002,2,Level 3 - possible repeat,0,0,2,0,0,103740356|103738435,5,1,False,5
RG_0003,2,Level 3 - possible repeat,0,0,2,0,0,103805563|103803067,4|5,2,True,3
RG_0004,2,Level 3 - possible repeat,0,0,2,0,0,102631653|102631668,1|5,2,True,4
RG_0005,3,Level 3 - possible repeat,0,0,3,0,0,103805644|103805398|103795930,2|4,2,True,5
RG_0006,2,Level 3 - possible repeat,0,0,2,0,0,103443920|103496485,1|3,2,True,4
RG_0007,2,Level 3 - possible repeat,0,0,2,0,0,103805511|103373098,2|4,2,True,3
RG_0008,3,Level 3 - possible repeat,0,0,3,0,0,103539418|103792363|103783351,1|4|5,3,True,1
RG_0009,2,Level 3 - possible repeat,0,0,2,0,0,103176156|103525074,1|3,2,True,3
RG_0010,4,Level 3 - possible repeat,0,0,4,0,0,103050937|101763640|103631940|98459567,1|3|5,3,True,4
RG_0011,2,Level 3 - possible repeat,0,0,2,0,0,103487988|103403509,1,1,False,4
RG_0012,2,Level 3 - possible repeat,0,0,2,0,0,103805026|103783048,1|2,2,True,5
RG_0013,2,Level 3 - possible repeat,0,0,2,0,0,101817399|101822585,2|4,2,True,2
RG_0014,2,Level 3 - possible repeat,0,0,2,0,0,103493683|103444549,1|2,2,True,3
RG_0015,2,Level 3 - possible repeat,0,0,2,0,0,103126986|103792141,2|5,2,True,1
RG_0016,2,Level 3 - possible repeat,0,0,2,0,0,96323999|99917566,2|3,2,True,4
RG_0017,2,Level 2 - strong repeat,0,2,0,0,1,95783518|100482067,2|5,2,True,5
RG_0018,2,Level 3 - possible repeat,0,0,2,0,0,103804591|103785996,1,1,False,1
RG_0019,2,Level 3 - possible repeat,0,0,2,0,0,103612129|103506212,1,1,False,3
RG_0020,6,Level 3 - possible repeat,0,0,6,0,0,103804632|102156206|103800986|103797239|103800186|103797273,1|3|4|5,4,True,5
RG_0021,2,Level 3 - possible repeat,0,0,2,0,0,103804617|98459187,1|4,2,True,3
RG_0022,2,Level 2 - strong repeat,0,2,0,0,1,96102884|101493192,1|3,2,True,5
RG_0023,2,Level 3 - possible repeat,0,0,2,0,0,103804387|103796815,1,1,False,2
RG_0024,2,Level 3 - possible repeat,0,0,2,0,0,103804295|103803848,3|4,2,True,3
RG_0025,2,Level 3 - possible repeat,0,0,2,0,0,103804345|103683022,2|4,2,True,4
RG_0026,2,Level 3 - possible repeat,0,0,2,0,0,103804237|103801557,3|5,2,True,1
RG_0027,2,Level 3 - possible repeat,0,0,2,0,0,103580930|103585430,1|5,2,True,1
RG_0028,2,Level 3 - possible repeat,0,0,2,0,0,102862641|102832519,2,1,False,4
RG_0029,3,Level 1 - exact duplicate,2,0,1,1,1,103804090|103796162|103791934,3|4|5,3,True,4
RG_0030,2,Level 3 - possible repeat,0,0,2,0,0,103804189|102470557,2|5,2,True,2
RG_0031,4,Level 3 - possible repeat,0,0,4,0,0,103655467|103338655|103350530|103606336,3|4,2,True,1
RG_0032,2,Level 3 - possible repeat,0,0,2,0,0,101555323|100227559,1|2,2,True,1
RG_0033,2,Level 3 - possible repeat,0,0,2,0,0,103804135|101837463,3|4,2,True,1
RG_0034,2,Level 3 - possible repeat,0,0,2,0,0,103804063|103787448,1|4,2,True,1
RG_0035,2,Level 3 - possible repeat,0,0,2,0,0,101547589|102709083,3,1,False,5
RG_0036,2,Level 3 - possible repeat,0,0,2,0,0,103803959|103803955,1|3,2,True,5
RG_0037,2,Level 3 - possible repeat,0,0,2,0,0,102035044|103089474,3|4,2,True,5
RG_0038,3,Level 3 - possible repeat,0,0,3,0,0,100180638|101727527|103618862,1|3,2,True,3
RG_0039,2,Level 3 - possible repeat,0,0,2,0,0,102812723|102777872,1|4,2,True,5
RG_0040,2,Level 3 - possible repeat,0,0,2,0,0,100303196|100593323,1|2,2,True,3
RG_0041,2,Level 3 - possible repeat,0,0,2,0,0,99305459|103672953,3|4,2,True,4
RG_0042,2,Level 3 - possible repeat,0,0,2,0,0,102383514|101708995,2|4,2,True,2
RG_0043,2,Level 3 - possible repeat,0,0,2,0,0,103517969|99442730,1|3,2,True,4
RG_0044,2,Level 3 - possible repeat,0,0,2,0,0,103802897|103800415,2|5,2,True,2
RG_0045,3,Level 1 - exact duplicate,2,1,0,1,1,101856001|103204105|102371463,1|2|5,3,True,1
RG_0046,2,Level 3 - possible repeat,0,0,2,0,0,103730893|101843227,2|5,2,True,1
RG_0047,2,Level 3 - possible repeat,0,0,2,0,0,103802298|103800951,1|4,2,True,5
RG_0048,3,Level 3 - possible repeat,0,0,3,0,0,102731755|102820397|102894373,4|5,2,True,4
RG_0049,2,Level 3 - possible repeat,0,0,2,0,0,103674063|103802184,2|5,2,True,2
RG_0050,2,Level 3 - possible repeat,0,0,2,0,0,103203509|103449900,3|5,2,True,2
RG_0051,2,Level 3 - possible repeat,0,0,2,0,0,103802084|103800985,1|2,2,True,5
RG_0052,2,Level 3 - possible repeat,0,0,2,0,0,103801783|103799861,3|5,2,True,1
RG_0053,2,Level 3 - possible repeat,0,0,2,0,0,103478023|103527484,3,1,False,1
RG_0054,2,Level 1 - exact duplicate,2,0,0,1,1,103151143|103150184,1|5,2,True,3
RG_0055,2,Level 3 - possible repeat,0,0,2,0,0,103801242|103308799,4|5,2,True,4
RG_0056,2,Level 3 - possible repeat,0,0,2,0,0,101847016|103551709,3|5,2,True,4
RG_0057,2,Level 3 - possible repeat,0,0,2,0,0,101720817|101722505,1|2,2,True,2
RG_0058,2,Level 3 - possible repeat,0,0,2,0,0,102793564|93588831,2|4,2,True,2
RG_0059,3,Level 3 - possible repeat,0,0,3,0,0,103586006|103627638|101491913,1|4,2,True,1
RG_0060,2,Level 3 - possible repeat,0,0,2,0,0,103800828|103796665,3|4,2,True,2
RG_0061,2,Level 3 - possible repeat,0,0,2,0,0,103356373|99466291,2|5,2,True,4
RG_0062,2,Level 3 - possible repeat,0,0,2,0,0,103800023|103795120,2|4,2,True,1
RG_0063,2,Level 3 - possible repeat,0,0,2,0,0,103133327|103791652,1|5,2,True,4
RG_0064,2,Level 3 - possible repeat,0,0,2,0,0,103799934|103792046,1|2,2,True,1
RG_0065,2,Level 3 - possible repeat,0,0,2,0,0,96037286|102136019,1|2,2,True,5
RG_0066,2,Level 3 - possible repeat,0,0,2,0,0,103799666|103780946,2|5,2,True,3
RG_0067,2,Level 3 - possible repeat,0,0,2,0,0,99994813|102206882,1|2,2,True,4
RG_0068,2,Level 3 - possible repeat,0,0,2,0,0,103248527|103577710,1|2,2,True,1
RG_0069,2,Level 3 - possible repeat,0,0,2,0,0,103799199|103684332,2,1,False,4
RG_0070,2,Level 3 - possible repeat,0,0,2,0,0,103799353|103779978,4|5,2,True,2
RG_0071,2,Level 3 - possible repeat,0,0,2,0,0,103153518|103187664,1|3,2,True,1
RG_0072,2,Level 3 - possible repeat,0,0,2,0,0,103799292|103799289,2|3,2,True,3
RG_0073,2,Level 3 - possible repeat,0,0,2,0,0,102925263|102906287,1|4,2,True,2
RG_0074,3,Level 3 - possible repeat,0,0,3,0,0,103798866|103793643|103792329,4|5,2,True,2
RG_0075,2,Level 1 - exact duplicate,2,0,0,1,1,102920898|103178916,2|4,2,True,4
RG_0076,2,Level 3 - possible repeat,0,0,2,0,0,103798472|103792843,2|4,2,True,5
RG_0077,2,Level 1 - exact duplicate,2,0,0,1,1,103450483|94044194,3|5,2,True,1
RG_0078,3,Level 3 - possible repeat,0,0,3,0,0,101370530|103785215|101836062,2|3|5,3,True,4
RG_0079,2,Level 3 - possible repeat,0,0,2,0,0,103729705|103791296,2|3,2,True,3
RG_0080,2,Level 3 - possible repeat,0,0,2,0,0,103797909|103783311,3|5,2,True,4
RG_0081,2,Level 3 - possible repeat,0,0,2,0,0,103148750|101325789,1|2,2,True,1
RG_0082,2,Level 3 - possible repeat,0,0,2,0,0,103082575|103072253,4|5,2,True,4
RG_0083,2,Level 3 - possible repeat,0,0,2,0,0,103324351|100288687,1|2,2,True,4
RG_0084,2,Level 3 - possible repeat,0,0,2,0,0,103124171|100184788,1|5,2,True,3
RG_0085,2,Level 3 - possible repeat,0,0,2,0,0,100758841|103789305,1|2,2,True,3
RG_0086,2,Level 3 - possible repeat,0,0,2,0,0,102898854|102907672,3|4,2,True,3
RG_0087,2,Level 3 - possible repeat,0,0,2,0,0,101737458|100543512,1|4,2,True,3
RG_0088,2,Level 3 - possible repeat,0,0,2,0,0,99310438|102272734,5,1,False,2
RG_0089,2,Level 3 - possible repeat,0,0,2,0,0,103388443|103782498,4,1,False,1
RG_0090,2,Level 3 - possible repeat,0,0,2,0,0,100288529|100249876,3|5,2,True,5
RG_0091,2,Level 3 - possible repeat,0,0,2,0,0,103797322|102800889,2|5,2,True,5
RG_0092,2,Level 3 - possible repeat,0,0,2,0,0,103797251|103780869,1|5,2,True,3
RG_0093,2,Level 3 - possible repeat,0,0,2,0,0,103797271|103783954,3|5,2,True,4
RG_0094,2,Level 3 - possible repeat,0,0,2,0,0,103714989|102798780,2|4,2,True,1
RG_0095,2,Level 1 - exact duplicate,2,0,0,1,1,103470205|103223072,2|5,2,True,4
RG_0096,2,Level 1 - exact duplicate,2,0,0,1,1,103336579|103470201,2|4,2,True,5
RG_0097,3,Level 2 - strong repeat,0,3,0,0,1,103796707|103796697|103796684,1|4,2,True,1
RG_0098,2,Level 3 - possible repeat,0,0,2,0,0,103796349|103791779,2|5,2,True,4
RG_0099,2,Level 3 - possible repeat,0,0,2,0,0,103795950|103780109,4|5,2,True,5
RG_0100,2,Level 3 - possible repeat,0,0,2,0,0,103245620|102159640,1,1,False,3
RG_0101,3,Level 3 - possible repeat,0,0,3,0,0,103795891|103789731|103788715,1|3|5,3,True,2
RG_0102,2,Level 3 - possible repeat,0,0,2,0,0,103795802|103792452,1|3,2,True,4
RG_0103,2,Level 3 - possible repeat,0,0,2,0,0,103795699|103009987,1|4,2,True,1
RG_0104,2,Level 1 - exact duplicate,2,0,0,1,1,103795360|103795288,1|2,2,True,5
RG_0105,2,Level 3 - possible repeat,0,0,2,0,0,102621739|103541232,1|3,2,True,2
RG_0106,2,Level 3 - possible repeat,0,0,2,0,0,103794979|103541214,1,1,False,3
RG_0107,2,Level 3 - possible repeat,0,0,2,0,0,103794505|101042108,2,1,False,4
RG_0108,2,Level 3 - possible repeat,0,0,2,0,0,103794442|103786227,1|4,2,True,4
RG_0109,2,Level 3 - possible repeat,0,0,2,0,0,103794493|103792968,1|3,2,True,2
RG_0110,2,Level 3 - possible repeat,0,0,2,0,0,103794636|103781751,4|5,2,True,1
RG_0111,2,Level 3 - possible repeat,0,0,2,0,0,103653397|102881313,2|3,2,True,4
RG_0112,2,Level 3 - possible repeat,0,0,2,0,0,102762016|103204071,1|2,2,True,2
RG_0113,2,Level 3 - possible repeat,0,0,2,0,0,103653187|103004645,2|5,2,True,4
RG_0114,2,Level 3 - possible repeat,0,0,2,0,0,103793977|103782690,3|4,2,True,3
RG_0115,2,Level 3 - possible repeat,0,0,2,0,0,102820169|103498210,1|5,2,True,5
RG_0116,2,Level 3 - possible repeat,0,0,2,0,0,100511965|103791776,2|3,2,True,3
RG_0117,2,Level 3 - possible repeat,0,0,2,0,0,103793700|103792131,3|4,2,True,5
RG_0118,2,Level 3 - possible repeat,0,0,2,0,0,102880636|102717845,4|5,2,True,4
RG_0119,2,Level 1 - exact duplicate,2,0,0,1,1,101960423|102904007,1|5,2,True,3
RG_0120,2,Level 3 - possible repeat,0,0,2,0,0,102820450|103435132,2|3,2,True,5
RG_0121,2,Level 3 - possible repeat,0,0,2,0,0,102199142|102898729,4|5,2,True,1
RG_0122,3,Level 3 - possible repeat,0,0,3,0,0,103714789|102434103|102982710,3|5,2,True,3
RG_0123,3,Level 3 - possible repeat,0,0,3,0,0,103356674|103245284|103310232,2|5,2,True,5
RG_0124,3,Level 3 - possible repeat,0,0,3,0,0,103301164|103245325|100417864,1|5,2,True,2
RG_0125,3,Level 2 - strong repeat,0,2,1,0,1,102593827|102500912|103485601,3|4,2,True,1
RG_0126,2,Level 3 - possible repeat,0,0,2,0,0,103793327|103780183,3|5,2,True,4
RG_0127,2,Level 3 - possible repeat,0,0,2,0,0,103752445|103792137,1|4,2,True,4
RG_0128,3,Level 3 - possible repeat,0,0,3,0,0,103452017|103053777|102797739,1|2|4,3,True,5
RG_0129,3,Level 3 - possible repeat,0,0,3,0,0,103452015|103468768|102797619,1|3|5,3,True,3
RG_0130,2,Level 3 - possible repeat,0,0,2,0,0,103792969|103784471,3|4,2,True,4
RG_0131,2,Level 3 - possible repeat,0,0,2,0,0,102903047|101758761,1|3,2,True,5
RG_0132,2,Level 3 - possible repeat,0,0,2,0,0,103792686|103787934,2|5,2,True,4
RG_0133,2,Level 3 - possible repeat,0,0,2,0,0,102883748|102787587,1|5,2,True,3
RG_0134,2,Level 3 - possible repeat,0,0,2,0,0,102879544|103439860,4|5,2,True,4
RG_0135,2,Level 3 - possible repeat,0,0,2,0,0,103190909|103245356,4,1,False,1
RG_0136,2,Level 1 - exact duplicate,2,0,0,1,1,103792002|103791160,1|4,2,True,2
RG_0137,2,Level 3 - possible repeat,0,0,2,0,0,103479235|103356892,2|3,2,True,4
RG_0138,2,Level 3 - possible repeat,0,0,2,0,0,102988049|103665195,2|3,2,True,4
RG_0139,2,Level 3 - possible repeat,0,0,2,0,0,102900624|101984721,1,1,False,4
RG_0140,2,Level 3 - possible repeat,0,0,2,0,0,101645678|101645434,2|4,2,True,1
RG_0141,2,Level 1 - exact duplicate,2,0,0,1,1,103245262|103245254,1|4,2,True,2
RG_0142,2,Level 3 - possible repeat,0,0,2,0,0,103790238|103790119,1|4,2,True,1
