row_index,listing_id,repeat_group_id,repeat_level,group_size,level1_match_group_id,level2_match_group_id
2,103792905,RG_0001,Level 3 - possible repeat,2,,
19,103740356,RG_0002,Level 3 - possible repeat,2,,
74,103805563,RG_0003,Level 3 - possible repeat,2,,
76,102631653,RG_0004,Level 3 - possible repeat,2,,
78,103805644,RG_0005,Level 3 - possible repeat,3,,
88,103443920,RG_0006,Level 3 - possible repeat,2,,
103,102631668,RG_0004,Level 3 - possible repeat,2,,
108,103805511,RG_0007,Level 3 - possible repeat,2,,
129,103805398,RG_0005,Level 3 - possible repeat,3,,
147,103539418,RG_0008,Level 3 - possible repeat,3,,
149,103176156,RG_0009,Level 3 - possible repeat,2,,
150,103050937,RG_0010,Level 3 - possible repeat,4,,
166,103487988,RG_0011,Level 3 - possible repeat,2,,
170,103805026,RG_0012,Level 3 - possible repeat,2,,
182,101817399,RG_0013,Level 3 - possible repeat,2,,
188,103493683,RG_0014,Level 3 - possible repeat,2,,
190,103126986,RG_0015,Level 3 - possible repeat,2,,
199,96323999,RG_0016,Level 3 - possible repeat,2,,
201,95783518,RG_0017,Level 2 - strong repeat,2,,L2_0001
205,103804591,RG_0018,Level 3 - possible repeat,2,,
211,103612129,RG_0019,Level 3 - possible repeat,2,,
216,103804632,RG_0020,Level 3 - possible repeat,6,,
218,103804617,RG_0021,Level 3 - possible repeat,2,,
238,96102884,RG_0022,Level 2 - strong repeat,2,,L2_0002
247,103804387,RG_0023,Level 3 - possible repeat,2,,
248,103804295,RG_0024,Level 3 - possible repeat,2,,
250,103804345,RG_0025,Level 3 - possible repeat,2,,
251,102156206,RG_0020,Level 3 - possible repeat,6,,
253,103804237,RG_0026,Level 3 - possible repeat,2,,
256,103580930,RG_0027,Level 3 - possible repeat,2,,
258,102862641,RG_0028,Level 3 - possible repeat,2,,
264,103804090,RG_0029,Level 1 - exact duplicate,3,L1_0001,L2_0003
268,103804189,RG_0030,Level 3 - possible repeat,2,,
273,103655467,RG_0031,Level 3 - possible repeat,4,,
274,101555323,RG_0032,Level 3 - possible repeat,2,,
280,103804135,RG_0033,Level 3 - possible repeat,2,,
285,103804063,RG_0034,Level 3 - possible repeat,2,,
294,103803848,RG_0024,Level 3 - possible repeat,2,,
297,101547589,RG_0035,Level 3 - possible repeat,2,,
300,102709083,RG_0035,Level 3 - possible repeat,2,,
305,103803959,RG_0036,Level 3 - possible repeat,2,,
306,103803955,RG_0036,Level 3 - possible repeat,2,,
307,102035044,RG_0037,Level 3 - possible repeat,2,,
322,100180638,RG_0038,Level 3 - possible repeat,3,,
325,102812723,RG_0039,Level 3 - possible repeat,2,,
358,100303196,RG_0040,Level 3 - possible repeat,2,,
359,99305459,RG_0041,Level 3 - possible repeat,2,,
378,103803067,RG_0003,Level 3 - possible repeat,2,,
384,102383514,RG_0042,Level 3 - possible repeat,2,,
414,103517969,RG_0043,Level 3 - possible repeat,2,,
420,103802897,RG_0044,Level 3 - possible repeat,2,,
460,100482067,RG_0017,Level 2 - strong repeat,2,,L2_0001
461,101856001,RG_0045,Level 1 - exact duplicate,3,L1_0002,L2_0004
464,103730893,RG_0046,Level 3 - possible repeat,2,,
485,103204105,RG_0045,Level 1 - exact duplicate,3,L1_0002,L2_0004
490,103802298,RG_0047,Level 3 - possible repeat,2,,
517,102731755,RG_0048,Level 3 - possible repeat,3,,
524,103674063,RG_0049,Level 3 - possible repeat,2,,
526,103203509,RG_0050,Level 3 - possible repeat,2,,
532,103802084,RG_0051,Level 3 - possible repeat,2,,
535,103802184,RG_0049,Level 3 - possible repeat,2,,
550,103801783,RG_0052,Level 3 - possible repeat,2,,
583,103801557,RG_0026,Level 3 - possible repeat,2,,
584,103478023,RG_0053,Level 3 - possible repeat,2,,
599,103151143,RG_0054,Level 1 - exact duplicate,2,L1_0003,L2_0005
600,103150184,RG_0054,Level 1 - exact duplicate,2,L1_0003,L2_0005
627,103801242,RG_0055,Level 3 - possible repeat,2,,
659,101847016,RG_0056,Level 3 - possible repeat,2,,
671,103800951,RG_0047,Level 3 - possible repeat,2,,
677,101720817,RG_0057,Level 3 - possible repeat,2,,
681,103800986,RG_0020,Level 3 - possible repeat,6,,
682,103800985,RG_0051,Level 3 - possible repeat,2,,
685,102793564,RG_0058,Level 3 - possible repeat,2,,
691,103586006,RG_0059,Level 3 - possible repeat,3,,
711,103800828,RG_0060,Level 3 - possible repeat,2,,
750,103800415,RG_0044,Level 3 - possible repeat,2,,
760,103797239,RG_0020,Level 3 - possible repeat,6,,
773,101843227,RG_0046,Level 3 - possible repeat,2,,
779,103356373,RG_0061,Level 3 - possible repeat,2,,
782,103800186,RG_0020,Level 3 - possible repeat,6,,
783,102470557,RG_0030,Level 3 - possible repeat,2,,
789,103800023,RG_0062,Level 3 - possible repeat,2,,
791,103133327,RG_0063,Level 3 - possible repeat,2,,
806,103799861,RG_0052,Level 3 - possible repeat,2,,
809,103799934,RG_0064,Level 3 - possible repeat,2,,
812,96037286,RG_0065,Level 3 - possible repeat,2,,
833,103799666,RG_0066,Level 3 - possible repeat,2,,
834,99994813,RG_0067,Level 3 - possible repeat,2,,
847,103248527,RG_0068,Level 3 - possible repeat,2,,
867,103799199,RG_0069,Level 3 - possible repeat,2,,
880,103799353,RG_0070,Level 3 - possible repeat,2,,
885,103153518,RG_0071,Level 3 - possible repeat,2,,
886,103799292,RG_0072,Level 3 - possible repeat,2,,
887,103799289,RG_0072,Level 3 - possible repeat,2,,
901,102925263,RG_0073,Level 3 - possible repeat,2,,
919,103798866,RG_0074,Level 3 - possible repeat,3,,
941,99442730,RG_0043,Level 3 - possible repeat,2,,
942,102920898,RG_0075,Level 1 - exact duplicate,2,L1_0004,L2_0006
951,103798472,RG_0076,Level 3 - possible repeat,2,,
962,103444549,RG_0014,Level 3 - possible repeat,2,,
971,103797273,RG_0020,Level 3 - possible repeat,6,,
975,103450483,RG_0077,Level 1 - exact duplicate,2,L1_0005,L2_0007
977,101370530,RG_0078,Level 3 - possible repeat,3,,
979,103729705,RG_0079,Level 3 - possible repeat,2,,
996,103797909,RG_0080,Level 3 - possible repeat,2,,
1004,103338655,RG_0031,Level 3 - possible repeat,4,,
1011,103148750,RG_0081,Level 3 - possible repeat,2,,
1013,103082575,RG_0082,Level 3 - possible repeat,2,,
1018,103324351,RG_0083,Level 3 - possible repeat,2,,
1020,103124171,RG_0084,Level 3 - possible repeat,2,,
1027,100758841,RG_0085,Level 3 - possible repeat,2,,
1033,102898854,RG_0086,Level 3 - possible repeat,2,,
1040,101737458,RG_0087,Level 3 - possible repeat,2,,
1045,99310438,RG_0088,Level 3 - possible repeat,2,,
1048,99466291,RG_0061,Level 3 - possible repeat,2,,
1049,103388443,RG_0089,Level 3 - possible repeat,2,,
1051,100288529,RG_0090,Level 3 - possible repeat,2,,
1066,103797322,RG_0091,Level 3 - possible repeat,2,,
1070,103797251,RG_0092,Level 3 - possible repeat,2,,
1072,103797271,RG_0093,Level 3 - possible repeat,2,,
1080,100543512,RG_0087,Level 3 - possible repeat,2,,
1110,103684332,RG_0069,Level 3 - possible repeat,2,,
1111,103714989,RG_0094,Level 3 - possible repeat,2,,
1123,100288687,RG_0083,Level 3 - possible repeat,2,,
1139,103470205,RG_0095,Level 1 - exact duplicate,2,L1_0006,L2_0008
1143,103336579,RG_0096,Level 1 - exact duplicate,2,L1_0007,L2_0009
1149,103796815,RG_0023,Level 3 - possible repeat,2,,
