variant,fold,training_rows,validation_rows,fit_seconds,RMSE_RM,MAE_RM,R2,Top5_RMSE_RM,Top5_MAE_RM,selected_m
all_te_plus_frequency,1,3032,759,2.1189156000036746,118790.44012679797,60818.18785939499,0.8551444141820665,441029.4149239788,331862.4386589115,5.0
all_te_plus_frequency,2,3033,758,2.091959100042004,113932.1812087886,61501.864877252025,0.9140127767384987,352047.0160724999,263006.80503745953,5.0
all_te_plus_frequency,3,3033,758,2.194765100022778,124310.81789934942,63247.37988974061,0.8523119657581641,422337.87503314926,288252.2656130727,5.0
all_te_plus_frequency,4,3033,758,2.1317103000474162,107748.03072037746,57264.72742220423,0.8607516969829208,369241.77205452847,254716.33135855064,5.0
all_te_plus_frequency,5,3033,758,2.305915000033565,138837.64207377902,63644.914865455044,0.8189375495767148,555503.02404387,363209.6605156893,5.0
all_te_plus_raw,1,3032,759,2.1576562999980524,115036.6002474757,60687.57547061972,0.8641547865742534,416512.266111592,315675.26077749685,5.0
all_te_plus_raw,2,3033,758,1.9425871999701485,117242.22308648002,62595.84860586365,0.9089438695845085,374129.91331846884,285783.16261008376,5.0
all_te_plus_raw,3,3033,758,2.117650300031528,126852.64277612387,63826.64497874685,0.8462105650742358,437757.2487966914,306378.1693971286,5.0
all_te_plus_raw,4,3033,758,2.0867009999928996,106889.18787146937,56994.32943855876,0.8629627032016957,364651.0374199872,245485.88013718053,5.0
all_te_plus_raw,5,3033,758,2.209433000010904,140603.9944901221,63978.02246792865,0.8143011334481629,566055.1452709349,374609.93829919375,5.0
all_te_replace,1,3032,759,1.9862637000042014,117595.26895027685,60834.76492821248,0.8580445850927534,429595.4577638502,321393.89946879307,5.0
all_te_replace,2,3033,758,2.138390200037975,114231.33467634743,61483.9779994047,0.9135606279801461,355626.59617379174,269282.90135634533,5.0
all_te_replace,3,3033,758,1.9829004000057466,125855.05772524064,63050.85907262121,0.8486198927569324,434662.2585122335,299251.2173353618,5.0
all_te_replace,4,3033,758,1.9340775000164285,108228.2655291809,58205.994744650015,0.8595076666969534,374130.2992150415,258291.52614709182,5.0
all_te_replace,5,3033,758,1.944870200008154,138401.74269338188,62892.40908353243,0.8200727044375097,556175.2766636603,360542.8314229669,5.0
baseline_lightgbm,1,3032,759,0.9274749000323936,111378.49920055231,60007.88853609335,0.8726570263379979,389568.3538549468,296285.55061764014,
baseline_lightgbm,2,3033,758,1.0898958000470884,118266.37374115015,62313.20512284845,0.907346108965158,372163.5315463766,278091.76313487755,
baseline_lightgbm,3,3033,758,1.017279299965594,122491.71464703212,63425.64209698856,0.8566027277446595,413991.3131288209,294219.0966005827,
baseline_lightgbm,4,3033,758,1.125227399985306,108770.90075781844,57671.80303763264,0.8580953331368404,372922.61148403055,256375.43953776296,
baseline_lightgbm,5,3033,758,1.08677340002032,138647.09889861662,63578.12401550485,0.8194341950014972,555355.5983470575,365957.5581279436,
building_name_te,1,3032,759,1.6119337000418454,109802.22810565536,59825.29186326296,0.8762359337032993,380289.7943487374,292944.69585709646,5.0
building_name_te,2,3033,758,1.6584696000209078,116771.47310324534,62523.38852195131,0.9096736172096598,364124.0361078713,274780.01818139805,5.0
building_name_te,3,3033,758,1.6581038000294939,123809.50508793104,63991.19630911156,0.8535007378572856,419640.6846095538,294723.20043102343,5.0
building_name_te,4,3033,758,1.7190925999893807,108841.4976949971,57589.60051573155,0.8579110690396,376825.89382108627,256044.86488068354,5.0
building_name_te,5,3033,758,1.6668107999721542,139202.9114345011,64138.87187712634,0.8179835782443263,555229.6062882316,368893.71637872595,5.0
city_te,1,3032,759,1.4196665000054054,111472.9946605707,59255.33176072772,0.8724408546781643,391057.6724318137,293165.5874965333,5.0
city_te,2,3033,758,1.4271674000192434,117511.79901358564,62546.37794566191,0.9085246560938127,372813.82247679273,283308.81275784137,5.0
city_te,3,3033,758,1.7699004999594763,122261.72139571504,63140.15054279583,0.8571407142131949,415577.1378046579,297702.75583297265,5.0
city_te,4,3033,758,1.5389101000037044,107233.56946980472,56657.616560793605,0.8620782517623321,370675.6420187587,243657.36163412998,5.0
city_te,5,3033,758,1.54720269999234,140619.19823828727,63793.1774685287,0.8142609714107049,560524.043651748,363883.2568840161,5.0
developer_building_te,1,3032,759,1.7558422000147402,118039.70109864317,60664.32639255667,0.8569695627909492,435128.24738325586,322772.65395185514,5.0
developer_building_te,2,3033,758,1.7650051999953575,115739.03008876376,60992.53034012762,0.9112638099523047,362646.04527574626,270152.13354942604,5.0
developer_building_te,3,3033,758,2.0879533999832347,124927.33382096034,62935.14144199621,0.8508434240651593,431695.08187128935,296036.09494120313,5.0
developer_building_te,4,3033,758,1.756898400024511,108986.90552777683,58064.676434091714,0.857531165326846,377472.5630327556,253395.03798377374,5.0
developer_building_te,5,3033,758,1.9432036000071093,139439.30720392644,63588.724042581496,0.8173648491266747,558563.9818758422,362091.91327600705,5.0
developer_te,1,3032,759,1.5259992000064813,115826.96779586667,59550.345252897976,0.8622817046718853,426043.20477763633,313891.22900086595,5.0
developer_te,2,3033,758,1.510318599990569,115384.60266826121,61885.100801786444,0.9118064511590913,353387.21144188166,265914.84645747463,5.0
developer_te,3,3033,758,1.5341487000114284,131106.83817047076,64130.963735650235,0.8357224754549951,466238.70601774834,314773.23583337653,5.0
developer_te,4,3033,758,1.5862711999798194,110325.76846082417,58136.05320151946,0.8540093135288752,383715.1678507115,254424.21993362994,5.0
developer_te,5,3033,758,1.4809320999775082,137002.69606509834,62911.10360845732,0.8236919417432844,544281.0003015974,358289.8036610436,5.0
