price,property_size_sqft,bedroom,bathroom,parking_lot,facilities_count,has_school,has_mall,has_hospital,has_railway,has_bus_stop,has_park,has_highway,property_type,tenure_type,land_title,floor_range,state
340000,1000.0,4.0,2.0,2.0,0,1,1,1,0,1,1,0,Service Residence,Freehold,Non Bumi Lot,Unknown,Kuala Lumpur
250000,980.0,3.0,2.0,1.0,6,0,0,0,0,0,0,0,Apartment,Freehold,Non Bumi Lot,Low,Melaka
230000,1000.0,3.0,2.0,1.0,7,0,0,0,0,0,0,1,Apartment,Freehold,Non Bumi Lot,Medium,Selangor
158000,592.0,3.0,1.0,1.0,4,0,0,0,0,0,0,0,Flat,Leasehold,Non Bumi Lot,Unknown,Selangor
305000,467.0,1.0,1.0,1.0,4,1,1,1,0,1,1,0,Studio,Freehold,Bumi Lot,Low,Selangor
425000,1100.0,3.0,2.0,1.0,11,0,0,0,0,0,0,0,Condominium,Freehold,Non Bumi Lot,Low,Penang
230000,780.0,3.0,2.0,1.0,4,0,0,0,0,0,0,0,Condominium,Freehold,Non Bumi Lot,Unknown,Selangor
200000,852.0,3.0,2.0,1.0,11,1,0,0,0,1,1,0,Apartment,Leasehold,Non Bumi Lot,Unknown,Selangor
275000,918.0,3.0,2.0,1.0,6,1,1,0,0,1,1,0,Apartment,Leasehold,Bumi Lot,Unknown,Selangor
300000,850.0,3.0,2.0,2.0,4,0,0,1,0,1,1,0,Apartment,Freehold,Bumi Lot,Unknown,Selangor
265000,660.0,3.0,2.0,1.0,3,0,0,0,0,0,0,0,Apartment,Freehold,Non Bumi Lot,Medium,Penang
790000,1246.0,3.0,2.0,2.0,9,0,0,0,0,0,0,0,Condominium,Freehold,Non Bumi Lot,Medium,Penang
230000,550.0,2.0,1.0,1.0,2,0,0,0,0,0,0,0,Flat,Freehold,Non Bumi Lot,Low,Penang
340000,1250.0,3.0,2.0,2.0,11,0,0,0,0,0,0,0,Condominium,Freehold,Non Bumi Lot,Unknown,Selangor
230000,1048.0,3.0,2.0,1.0,12,1,0,0,1,1,1,1,Apartment,Freehold,Non Bumi Lot,Unknown,Selangor
430000,1150.0,3.0,2.0,1.0,12,0,0,0,0,0,0,0,Condominium,Freehold,Non Bumi Lot,Low,Penang
155000,553.0,2.0,1.0,1.0,0,0,0,0,0,0,0,0,Flat,Leasehold,Bumi Lot,High,Kuala Lumpur
500000,901.0,3.0,2.0,2.0,8,0,0,0,0,0,0,0,Condominium,Freehold,Non Bumi Lot,High,Penang
350000,452.0,1.0,1.0,1.0,8,1,1,0,0,1,0,0,Studio,Freehold,Bumi Lot,High,Selangor
620000,1016.0,2.0,2.0,2.0,8,0,0,0,0,0,0,0,Condominium,Freehold,Non Bumi Lot,Medium,Penang
310000,900.0,4.0,2.0,2.0,4,1,0,0,0,0,0,0,Apartment,Freehold,Bumi Lot,Low,Selangor
240000,650.0,3.0,2.0,1.0,5,0,0,0,0,0,0,0,Apartment,Leasehold,Bumi Lot,Low,Kuala Lumpur
500000,1182.0,3.0,2.0,2.0,9,0,0,0,0,0,0,0,Condominium,Freehold,Non Bumi Lot,High,Penang
341500,872.0,3.0,2.0,2.0,12,0,0,0,0,0,0,0,Apartment,Freehold,Non Bumi Lot,Medium,Selangor
230500,450.0,1.0,2.0,1.0,11,0,1,0,0,0,0,0,Condominium,Freehold,Non Bumi Lot,Medium,Selangor
515000,1005.0,2.0,2.0,1.0,12,0,0,0,0,0,0,0,Condominium,Freehold,Non Bumi Lot,Unknown,Johor
200000,430.0,1.0,1.0,1.0,8,0,0,0,0,0,0,0,Service Residence,Freehold,Non Bumi Lot,Low,Johor
298000,1050.0,3.0,2.0,1.0,0,0,0,0,0,0,0,0,Service Residence,Freehold,Non Bumi Lot,Unknown,Johor
418000,986.0,3.0,2.0,2.0,13,0,0,0,0,0,0,0,Apartment,Freehold,Non Bumi Lot,High,Johor
220000,950.0,3.0,2.0,1.0,3,0,1,0,1,0,0,1,Apartment,Freehold,Non Bumi Lot,Unknown,Selangor
320000,1055.0,3.0,2.0,2.0,12,1,0,0,0,1,1,0,Condominium,Leasehold,Non Bumi Lot,Unknown,Selangor
280000,1017.0,3.0,2.0,2.0,12,0,0,0,0,0,0,0,Service Residence,Freehold,Non Bumi Lot,Unknown,Selangor
1150000,1387.0,4.0,3.0,2.0,11,0,0,0,0,0,0,0,Service Residence,Freehold,Non Bumi Lot,High,Johor
320000,720.0,3.0,2.0,1.0,7,0,0,0,0,0,0,0,Condominium,Leasehold,Non Bumi Lot,Medium,Melaka
880000,1474.0,4.0,4.0,2.0,9,1,0,0,0,1,1,0,Condominium,Freehold,Non Bumi Lot,High,Kuala Lumpur
550000,788.0,2.0,1.0,1.0,0,0,0,0,0,0,0,0,Service Residence,Leasehold,Non Bumi Lot,High,Sarawak
180000,517.0,2.0,1.0,1.0,1,0,0,0,0,0,0,0,Apartment,Freehold,Non Bumi Lot,Medium,Selangor
200000,650.0,3.0,2.0,1.0,0,0,0,0,0,0,0,0,Flat,Leasehold,Non Bumi Lot,Low,Selangor
300000,850.0,3.0,2.0,2.0,3,0,0,1,0,1,0,0,Apartment,Freehold,Non Bumi Lot,Low,Selangor
438000,800.0,3.0,2.0,2.0,0,0,0,0,0,0,0,0,Apartment,Leasehold,Non Bumi Lot,Medium,Unknown
700000,1432.0,3.0,2.0,2.0,10,0,0,0,0,0,0,0,Condominium,Leasehold,Non Bumi Lot,High,Sarawak
195000,527.0,2.0,1.0,1.0,2,1,0,1,1,1,0,0,Flat,Leasehold,Bumi Lot,Low,Kuala Lumpur
493000,1108.0,3.0,2.0,1.0,9,0,0,0,0,0,0,0,Condominium,Leasehold,Non Bumi Lot,High,Sarawak
195000,860.0,3.0,2.0,1.0,4,0,0,0,0,0,0,0,Apartment,Leasehold,Bumi Lot,Unknown,Selangor
420000,1011.0,3.0,2.0,1.0,12,0,0,0,0,0,0,0,Apartment,Freehold,Non Bumi Lot,Unknown,Johor
255000,925.0,3.0,2.0,1.0,9,1,1,0,0,1,1,0,Condominium,Freehold,Non Bumi Lot,Medium,Selangor
240000,753.0,3.0,2.0,1.0,5,0,1,0,0,0,0,0,Apartment,Freehold,Bumi Lot,High,Selangor
350000,1093.0,3.0,2.0,1.0,8,0,1,0,0,1,1,0,Condominium,Leasehold,Bumi Lot,Medium,Selangor
978000,1400.0,3.0,3.0,2.0,14,0,0,0,0,0,0,0,Condominium,Freehold,Non Bumi Lot,Medium,Penang
260000,800.0,3.0,2.0,2.0,8,0,0,0,0,0,0,0,Apartment,Freehold,Non Bumi Lot,Medium,Selangor
263000,953.0,3.0,2.0,1.0,5,0,0,0,0,0,0,0,Apartment,Freehold,Non Bumi Lot,Medium,Johor
168000,750.0,3.0,2.0,1.0,1,0,0,0,0,0,0,0,Apartment,Freehold,Non Bumi Lot,Low,Johor
530000,1152.0,3.0,2.0,1.0,10,0,0,0,0,1,1,1,Others,Leasehold,Non Bumi Lot,Low,Selangor
950000,1334.0,3.0,2.0,2.0,12,1,0,0,0,0,1,0,Condominium,Freehold,Non Bumi Lot,Medium,Selangor
375000,705.0,1.0,1.0,1.0,11,1,0,1,0,1,1,0,Service Residence,Freehold,Non Bumi Lot,Unknown,Kuala Lumpur
200000,689.0,3.0,2.0,1.0,4,0,0,0,0,0,0,0,Apartment,Freehold,Non Bumi Lot,Medium,Penang
580000,1700.0,3.0,2.0,1.0,0,0,0,0,0,0,0,0,Condominium,Leasehold,Non Bumi Lot,High,Sarawak
228000,958.0,3.0,2.0,1.0,6,0,0,0,0,0,0,0,Apartment,Leasehold,Bumi Lot,High,Johor
368000,965.0,3.0,2.0,1.0,4,1,0,0,0,0,0,0,Condominium,Leasehold,Bumi Lot,Unknown,Selangor
530000,1120.0,3.0,2.0,1.0,5,0,0,0,0,0,0,0,Apartment,Leasehold,Non Bumi Lot,Medium,Sarawak
670000,1654.0,4.0,3.0,2.0,11,0,0,0,0,0,0,0,Condominium,Freehold,Non Bumi Lot,Medium,Putrajaya
295000,1000.0,3.0,2.0,1.0,7,0,0,0,0,0,0,1,Apartment,Freehold,Non Bumi Lot,Low,Selangor
320000,700.0,3.0,2.0,1.0,6,0,0,0,0,0,0,0,Condominium,Freehold,Non Bumi Lot,Medium,Penang
410000,1400.0,3.0,2.0,2.0,3,1,0,0,0,0,1,0,Others,Leasehold,Non Bumi Lot,Unknown,Selangor
100000,650.0,3.0,2.0,1.0,0,1,0,0,0,0,0,0,Apartment,Freehold,Non Bumi Lot,Low,Selangor
148000,560.0,2.0,1.0,3.0,3,1,0,0,1,1,1,0,Flat,Leasehold,Bumi Lot,High,Kuala Lumpur
380500,900.0,3.0,2.0,2.0,14,0,0,0,0,0,0,0,Service Residence,Leasehold,Non Bumi Lot,Unknown,Selangor
620000,1598.0,3.0,2.0,2.0,7,0,0,0,0,0,0,0,Condominium,Freehold,Non Bumi Lot,Medium,Penang
380000,900.0,3.0,2.0,2.0,14,0,0,0,0,0,0,0,Service Residence,Leasehold,Non Bumi Lot,Unknown,Selangor
380300,900.0,3.0,2.0,2.0,14,0,0,0,0,0,0,0,Service Residence,Leasehold,Non Bumi Lot,Unknown,Selangor
280000,1001.0,3.0,2.0,2.0,5,0,0,0,0,0,0,0,Apartment,Freehold,Non Bumi Lot,Medium,Selangor
300000,850.0,3.0,2.0,1.0,0,0,0,0,0,0,0,0,Apartment,Freehold,Non Bumi Lot,High,Johor
298000,1180.0,4.0,2.0,1.0,8,0,0,0,0,0,0,0,Apartment,Freehold,Non Bumi Lot,Medium,Johor
469000,1385.0,4.0,2.0,1.0,5,0,0,0,0,0,0,0,Apartment,Freehold,Non Bumi Lot,Low,Johor
270000,800.0,3.0,2.0,1.0,1,0,0,0,0,0,0,0,Apartment,Freehold,Non Bumi Lot,Low,Selangor
320000,983.0,3.0,2.0,1.0,8,0,0,0,0,0,0,0,Condominium,Freehold,Bumi Lot,Medium,Melaka
550000,1515.0,3.0,3.0,1.0,11,0,0,0,0,0,0,0,Condominium,Freehold,Non Bumi Lot,Low,Putrajaya
470000,1711.0,3.0,3.0,1.0,0,0,0,0,0,0,0,0,Condominium,Leasehold,Non Bumi Lot,High,Sarawak
245000,850.0,3.0,2.0,1.0,2,0,0,0,0,0,0,0,Condominium,Leasehold,Non Bumi Lot,Medium,Selangor
580000,1667.0,3.0,3.0,1.0,0,0,0,0,0,0,0,0,Condominium,Leasehold,Non Bumi Lot,High,Sarawak
650000,2020.0,5.0,2.0,2.0,0,0,0,0,0,0,0,0,Condominium,Leasehold,Non Bumi Lot,High,Sarawak
369900,1012.0,3.0,2.0,3.0,10,1,0,0,1,0,0,0,Service Residence,Freehold,Non Bumi Lot,Medium,Selangor
320000,650.0,3.0,2.0,1.0,3,0,0,0,0,0,0,0,Apartment,Freehold,Non Bumi Lot,Medium,Penang
220000,650.0,3.0,2.0,1.0,2,1,0,1,0,0,1,0,Apartment,Freehold,Bumi Lot,Medium,Selangor
220000,477.0,1.0,1.0,1.0,9,0,0,0,0,0,0,0,Service Residence,Freehold,Non Bumi Lot,Low,Selangor
320000,1117.0,3.0,2.0,1.0,6,0,0,0,0,0,0,0,Apartment,Freehold,Bumi Lot,Unknown,Perak
118000,516.0,2.0,1.0,1.0,0,0,0,0,0,0,0,0,Flat,Freehold,Non Bumi Lot,Unknown,Johor
125000,494.0,2.0,1.0,1.0,0,0,0,0,0,0,0,0,Flat,Freehold,Non Bumi Lot,High,Johor
