listing_id,price,property_size_sqft,bedroom,bathroom,parking_lot,facilities_count,has_school,has_mall,has_hospital,has_railway,has_bus_stop,has_park,has_highway,completion_year,property_age,number_of_floors,total_units,description_length,has_swimming_pool,has_security,has_lift,has_gym,has_playground,is_furnished,is_renovated,property_type,tenure_type,land_title,floor_range,state,building_name,developer,city
98187451,340000,1000.0,4.0,2.0,2.0,0,1,1,1,0,1,1,0,,,,,1723.0,0,0,0,0,0,0,0,Service Residence,Freehold,Non Bumi Lot,Unknown,Kuala Lumpur,Kenwingston Platz,Kenwingston Group,Kuala Lumpur
101683090,250000,980.0,3.0,2.0,1.0,6,0,0,0,0,0,0,0,,,,,1010.0,1,1,0,0,1,0,1,Apartment,Freehold,Non Bumi Lot,Low,Melaka,Kenanga (Park View Court),Unknown,Melaka City
103792905,230000,1000.0,3.0,2.0,1.0,7,0,0,0,0,0,0,1,2007.0,19.0,13.0,445.0,1452.0,0,1,1,0,1,0,0,Apartment,Freehold,Non Bumi Lot,Medium,Selangor,Sri Lavender Apartment,TLS Group,Kajang
103806240,158000,592.0,3.0,1.0,1.0,4,0,0,0,0,0,0,0,,,,,348.0,0,0,0,0,1,0,0,Flat,Leasehold,Non Bumi Lot,Unknown,Selangor,Flat Pandan Indah,Unknown,Ampang
103806234,305000,467.0,1.0,1.0,1.0,4,1,1,1,0,1,1,0,,,43.0,956.0,573.0,0,1,0,1,0,1,0,Studio,Freehold,Bumi Lot,Low,Selangor,i-Soho @ i-City,i-Berhad,Shah Alam
103739787,425000,1100.0,3.0,2.0,1.0,11,0,0,0,0,0,0,0,2010.0,16.0,19.0,706.0,160.0,1,1,1,1,1,0,0,Condominium,Freehold,Non Bumi Lot,Low,Penang,D'Piazza Condominium,X-Scan Penang Sdn Bhd,Bayan Baru
103690767,230000,780.0,3.0,2.0,1.0,4,0,0,0,0,0,0,0,,,5.0,281.0,828.0,0,1,0,0,1,0,0,Condominium,Freehold,Non Bumi Lot,Unknown,Selangor,Pangsapuri Sri Alpinia,IOI Properties Group Berhad,Puchong
103615852,200000,852.0,3.0,2.0,1.0,11,1,0,0,0,1,1,0,2000.0,26.0,12.0,,994.0,1,1,1,1,1,0,0,Apartment,Leasehold,Non Bumi Lot,Unknown,Selangor,Vista Lavender,Talam Transform Berhad,Puchong
103615849,275000,918.0,3.0,2.0,1.0,6,1,1,0,0,1,1,0,,,,,1041.0,0,1,1,0,1,0,0,Apartment,Leasehold,Bumi Lot,Unknown,Selangor,Pangsapuri Damai,Ikram Ikhlas,Shah Alam
102460346,300000,850.0,3.0,2.0,2.0,4,0,0,1,0,1,1,0,2010.0,16.0,,435.0,902.0,1,1,0,0,0,0,0,Apartment,Freehold,Bumi Lot,Unknown,Selangor,Alam Prima,Syarikat Perumahan Negara Berhad,Shah Alam
103806285,265000,660.0,3.0,2.0,1.0,3,0,0,0,0,0,0,0,2008.0,18.0,18.0,701.0,75.0,0,1,0,0,1,0,0,Apartment,Freehold,Non Bumi Lot,Medium,Penang,Sri Aman Block C (Sri Aman Block 1 & 3),Unknown,Bukit Jambul
103739661,790000,1246.0,3.0,2.0,2.0,9,0,0,0,0,0,0,0,2021.0,5.0,24.0,1235.0,255.0,1,1,1,1,1,0,0,Condominium,Freehold,Non Bumi Lot,Medium,Penang,QuayWest Residence,Asia Green Group,Batu Uban
103696451,230000,550.0,2.0,1.0,1.0,2,0,0,0,0,0,0,0,,,,,75.0,0,1,0,0,0,0,0,Flat,Freehold,Non Bumi Lot,Low,Penang,Taman Relau Jaya,Unknown,Sungai Ara
103580644,340000,1250.0,3.0,2.0,2.0,11,0,0,0,0,0,0,0,2016.0,10.0,,428.0,1090.0,1,1,1,1,1,0,0,Condominium,Freehold,Non Bumi Lot,Unknown,Selangor,Ameera Residence,TLS Group,Kajang
102452522,230000,1048.0,3.0,2.0,1.0,12,1,0,0,1,1,1,1,1990.0,36.0,10.0,,997.0,1,1,1,1,1,0,0,Apartment,Freehold,Non Bumi Lot,Unknown,Selangor,Intan Apartment (Puchong),Unknown,Puchong
103806203,430000,1150.0,3.0,2.0,1.0,12,0,0,0,0,0,0,0,1998.0,28.0,,428.0,2674.0,1,1,1,1,1,1,1,Condominium,Freehold,Non Bumi Lot,Low,Penang,Leader Garden,Unknown,Tanjung Bungah
103806202,155000,553.0,2.0,1.0,1.0,0,0,0,0,0,0,0,0,,,,,535.0,0,0,0,0,0,1,1,Flat,Leasehold,Bumi Lot,High,Kuala Lumpur,Seksyen 1 flat block c4,Unknown,Kuala Lumpur
103806192,500000,901.0,3.0,2.0,2.0,8,0,0,0,0,0,0,0,2020.0,6.0,33.0,490.0,484.0,1,1,1,1,0,1,1,Condominium,Freehold,Non Bumi Lot,High,Penang,Eco Bloom @ Eco Meadows,Eco World Development Group Berhad,Simpang Ampat
103246638,350000,452.0,1.0,1.0,1.0,8,1,1,0,0,1,0,0,2020.0,6.0,12.0,136.0,1501.0,1,1,1,1,0,1,1,Studio,Freehold,Bumi Lot,High,Selangor,Paramount Utropolis,Paramount Property,Shah Alam
103740356,620000,1016.0,2.0,2.0,2.0,8,0,0,0,0,0,0,0,2018.0,8.0,44.0,378.0,95.0,1,1,0,1,1,0,0,Condominium,Freehold,Non Bumi Lot,Medium,Penang,Grace Residence,Nova Mulia Development Sdn Bhd,Jelutong
103589322,310000,900.0,4.0,2.0,2.0,4,1,0,0,0,0,0,0,,,5.0,,1667.0,0,1,0,0,1,0,0,Apartment,Freehold,Bumi Lot,Low,Selangor,Sri Baiduri Apartment,Unknown,Ampang
103582335,240000,650.0,3.0,2.0,1.0,5,0,0,0,0,0,0,0,,,17.0,,654.0,0,1,1,0,1,0,0,Apartment,Leasehold,Bumi Lot,Low,Kuala Lumpur,Kasturi Apartment (Bdr Tasik Permaisuri),Unknown,Kuala Lumpur
103386504,500000,1182.0,3.0,2.0,2.0,9,0,0,0,0,0,0,0,2015.0,11.0,25.0,300.0,94.0,1,1,0,1,1,0,0,Condominium,Freehold,Non Bumi Lot,High,Penang,Sierra Residences,GSD Land (M) Sdn Bhd,Sungai Ara
103684680,341500,872.0,3.0,2.0,2.0,12,0,0,0,0,0,0,0,,,,,1215.0,1,1,1,1,1,0,0,Apartment,Freehold,Non Bumi Lot,Medium,Selangor,Kajang Service Apartment,Unknown,Kajang
103683568,230500,450.0,1.0,2.0,1.0,11,0,1,0,0,0,0,0,,,,,695.0,1,1,1,1,1,1,0,Condominium,Freehold,Non Bumi Lot,Medium,Selangor,Semenyih Service Residences,Unknown,Semenyih
103806074,515000,1005.0,2.0,2.0,1.0,12,0,0,0,0,0,0,0,2018.0,8.0,,1050.0,440.0,1,1,1,1,1,0,0,Condominium,Freehold,Non Bumi Lot,Unknown,Johor,Molek Regency,ALPHA ASTRAL REALTY SDN BHD,Johor Bahru
103805967,200000,430.0,1.0,1.0,1.0,8,0,0,0,0,0,0,0,2019.0,7.0,25.0,2003.0,416.0,1,1,1,1,1,0,0,Service Residence,Freehold,Non Bumi Lot,Low,Johor,Parc Regency Serviced Apartment,Malaysia Land Properties Sdn. Bhd.,Johor Bahru
103805963,298000,1050.0,3.0,2.0,1.0,0,0,0,0,0,0,0,0,,,4.0,,431.0,0,0,0,0,0,0,0,Service Residence,Freehold,Non Bumi Lot,Unknown,Johor,Prima Regency Service Apartment,Unknown,Johor Bahru
103805953,418000,986.0,3.0,2.0,2.0,13,0,0,0,0,0,0,0,2015.0,11.0,25.0,585.0,440.0,1,1,1,1,1,1,0,Apartment,Freehold,Non Bumi Lot,High,Johor,D'Inspire Residence @ Nusa Bestari,Khoo Soon Lee Realty Sdn. Bhd.,Iskandar Puteri
103615831,220000,950.0,3.0,2.0,1.0,3,0,1,0,1,0,0,1,,,,309.0,1052.0,0,1,1,0,0,0,0,Apartment,Freehold,Non Bumi Lot,Unknown,Selangor,Plaza Indah,TLS Group,Kajang
102461841,320000,1055.0,3.0,2.0,2.0,12,1,0,0,0,1,1,0,,,,,936.0,1,1,1,1,1,0,0,Condominium,Leasehold,Non Bumi Lot,Unknown,Selangor,Koi Prima,Masteron Group,Puchong
101979792,280000,1017.0,3.0,2.0,2.0,12,0,0,0,0,0,0,0,,,,,1043.0,1,1,1,1,1,0,0,Service Residence,Freehold,Non Bumi Lot,Unknown,Selangor,Savanna Executive Suites,Mah Sing Group Berhad,Bangi
103806053,1150000,1387.0,4.0,3.0,2.0,11,0,0,0,0,0,0,0,2018.0,8.0,35.0,3224.0,678.0,1,1,1,1,1,1,0,Service Residence,Freehold,Non Bumi Lot,High,Johor,R&F Princess Cove,R&F Development Sdn Bhd,Johor Bahru
