price,property_size_sqft,bedroom,bathroom,parking_lot,facilities_count,has_school,has_mall,has_hospital,has_railway,has_bus_stop,has_park,has_highway,completion_year,number_of_floors,total_units,property_type,tenure_type,land_title,floor_range,state,city
340000,1000.0,4.0,2.0,2.0,0,1,1,1,0,1,1,0,,,,Service Residence,Freehold,Non Bumi Lot,Unknown,Kuala Lumpur,Kuala Lumpur
250000,980.0,3.0,2.0,1.0,6,0,0,0,0,0,0,0,,,,Apartment,Freehold,Non Bumi Lot,Low,Melaka,Melaka City
230000,1000.0,3.0,2.0,1.0,7,0,0,0,0,0,0,1,2007.0,13.0,445.0,Apartment,Freehold,Non Bumi Lot,Medium,Selangor,Kajang
158000,592.0,3.0,1.0,1.0,4,0,0,0,0,0,0,0,,,,Flat,Leasehold,Non Bumi Lot,Unknown,Selangor,Ampang
305000,467.0,1.0,1.0,1.0,4,1,1,1,0,1,1,0,,43.0,956.0,Studio,Freehold,Bumi Lot,Low,Selangor,Shah Alam
425000,1100.0,3.0,2.0,1.0,11,0,0,0,0,0,0,0,2010.0,19.0,706.0,Condominium,Freehold,Non Bumi Lot,Low,Penang,Bayan Baru
230000,780.0,3.0,2.0,1.0,4,0,0,0,0,0,0,0,,5.0,281.0,Condominium,Freehold,Non Bumi Lot,Unknown,Selangor,Puchong
200000,852.0,3.0,2.0,1.0,11,1,0,0,0,1,1,0,2000.0,12.0,,Apartment,Leasehold,Non Bumi Lot,Unknown,Selangor,Puchong
275000,918.0,3.0,2.0,1.0,6,1,1,0,0,1,1,0,,,,Apartment,Leasehold,Bumi Lot,Unknown,Selangor,Shah Alam
300000,850.0,3.0,2.0,2.0,4,0,0,1,0,1,1,0,2010.0,,435.0,Apartment,Freehold,Bumi Lot,Unknown,Selangor,Shah Alam
265000,660.0,3.0,2.0,1.0,3,0,0,0,0,0,0,0,2008.0,18.0,701.0,Apartment,Freehold,Non Bumi Lot,Medium,Penang,Bukit Jambul
790000,1246.0,3.0,2.0,2.0,9,0,0,0,0,0,0,0,2021.0,24.0,1235.0,Condominium,Freehold,Non Bumi Lot,Medium,Penang,Batu Uban
230000,550.0,2.0,1.0,1.0,2,0,0,0,0,0,0,0,,,,Flat,Freehold,Non Bumi Lot,Low,Penang,Sungai Ara
340000,1250.0,3.0,2.0,2.0,11,0,0,0,0,0,0,0,2016.0,,428.0,Condominium,Freehold,Non Bumi Lot,Unknown,Selangor,Kajang
230000,1048.0,3.0,2.0,1.0,12,1,0,0,1,1,1,1,1990.0,10.0,,Apartment,Freehold,Non Bumi Lot,Unknown,Selangor,Puchong
430000,1150.0,3.0,2.0,1.0,12,0,0,0,0,0,0,0,1998.0,,428.0,Condominium,Freehold,Non Bumi Lot,Low,Penang,Tanjung Bungah
155000,553.0,2.0,1.0,1.0,0,0,0,0,0,0,0,0,,,,Flat,Leasehold,Bumi Lot,High,Kuala Lumpur,Kuala Lumpur
500000,901.0,3.0,2.0,2.0,8,0,0,0,0,0,0,0,2020.0,33.0,490.0,Condominium,Freehold,Non Bumi Lot,High,Penang,Simpang Ampat
350000,452.0,1.0,1.0,1.0,8,1,1,0,0,1,0,0,2020.0,12.0,136.0,Studio,Freehold,Bumi Lot,High,Selangor,Shah Alam
620000,1016.0,2.0,2.0,2.0,8,0,0,0,0,0,0,0,2018.0,44.0,378.0,Condominium,Freehold,Non Bumi Lot,Medium,Penang,Jelutong
310000,900.0,4.0,2.0,2.0,4,1,0,0,0,0,0,0,,5.0,,Apartment,Freehold,Bumi Lot,Low,Selangor,Ampang
240000,650.0,3.0,2.0,1.0,5,0,0,0,0,0,0,0,,17.0,,Apartment,Leasehold,Bumi Lot,Low,Kuala Lumpur,Kuala Lumpur
500000,1182.0,3.0,2.0,2.0,9,0,0,0,0,0,0,0,2015.0,25.0,300.0,Condominium,Freehold,Non Bumi Lot,High,Penang,Sungai Ara
341500,872.0,3.0,2.0,2.0,12,0,0,0,0,0,0,0,,,,Apartment,Freehold,Non Bumi Lot,Medium,Selangor,Kajang
230500,450.0,1.0,2.0,1.0,11,0,1,0,0,0,0,0,,,,Condominium,Freehold,Non Bumi Lot,Medium,Selangor,Semenyih
515000,1005.0,2.0,2.0,1.0,12,0,0,0,0,0,0,0,2018.0,,1050.0,Condominium,Freehold,Non Bumi Lot,Unknown,Johor,Johor Bahru
200000,430.0,1.0,1.0,1.0,8,0,0,0,0,0,0,0,2019.0,25.0,2003.0,Service Residence,Freehold,Non Bumi Lot,Low,Johor,Johor Bahru
298000,1050.0,3.0,2.0,1.0,0,0,0,0,0,0,0,0,,4.0,,Service Residence,Freehold,Non Bumi Lot,Unknown,Johor,Johor Bahru
418000,986.0,3.0,2.0,2.0,13,0,0,0,0,0,0,0,2015.0,25.0,585.0,Apartment,Freehold,Non Bumi Lot,High,Johor,Iskandar Puteri
