scenario,scenario_name,model,fold,training_rows,validation_rows,RMSE_RM,MAE_RM,R2
A,Scenario A - Level 1 only,building_name_te,1,3033,758,100109.02183753967,57123.76044110858,0.9174109442473092
A,Scenario A - Level 1 only,building_name_te,2,3036,755,138502.39939080458,67773.93671918116,0.82756733682706
A,Scenario A - Level 1 only,building_name_te,3,3031,760,121513.81004712784,60676.6683521763,0.8223992422931639
A,Scenario A - Level 1 only,building_name_te,4,3033,758,100647.06752027213,60019.60932372354,0.9197821565342553
A,Scenario A - Level 1 only,building_name_te,5,3031,760,151829.13641581463,70526.9287497075,0.7725784452122502
A,Scenario A - Level 1 only,lightgbm_interaction,1,3033,758,102214.9923064351,57699.94866543676,0.9138995808730517
A,Scenario A - Level 1 only,lightgbm_interaction,2,3036,755,134736.02937972863,66750.59539368814,0.8368179326057472
A,Scenario A - Level 1 only,lightgbm_interaction,3,3031,760,118232.3824904272,60545.11606843853,0.8318617898963876
A,Scenario A - Level 1 only,lightgbm_interaction,4,3033,758,102058.88800597933,60241.52010431909,0.9175158705189753
A,Scenario A - Level 1 only,lightgbm_interaction,5,3031,760,152144.57978525324,70792.84280336864,0.7716324720473355
A,Scenario A - Level 1 only,position_regex_lightgbm,1,3033,758,101816.37012868654,57130.13550164743,0.9145698272144831
A,Scenario A - Level 1 only,position_regex_lightgbm,2,3036,755,133235.29067566444,66245.93484822693,0.8404328496907543
A,Scenario A - Level 1 only,position_regex_lightgbm,3,3031,760,120161.29288368218,60884.735559328525,0.8263308324121298
A,Scenario A - Level 1 only,position_regex_lightgbm,4,3033,758,101161.52057605746,61084.09273304406,0.9189600007316884
A,Scenario A - Level 1 only,position_regex_lightgbm,5,3031,760,150428.58144747597,71054.70831367497,0.7767548149300815
A,Scenario A - Level 1 only,random_forest,1,3033,758,107626.1913454688,59218.056883342506,0.9045420708473373
A,Scenario A - Level 1 only,random_forest,2,3036,755,135414.5426727078,62325.36804096318,0.8351702665542686
A,Scenario A - Level 1 only,random_forest,3,3031,760,119231.42127001418,58250.0703304156,0.8290083199397063
A,Scenario A - Level 1 only,random_forest,4,3033,758,100910.65572072889,57644.91965207507,0.9193614355825501
A,Scenario A - Level 1 only,random_forest,5,3031,760,158421.48090038943,70506.75158308151,0.7524006398527838
B,Scenario B - Level 1 + Level 2,building_name_te,1,3034,757,114295.00081100003,61763.06781649422,0.8736469254600148
B,Scenario B - Level 1 + Level 2,building_name_te,2,3036,755,122178.58424866991,60398.79661403396,0.8980937153500973
B,Scenario B - Level 1 + Level 2,building_name_te,3,3032,759,121433.79236183673,59205.7426314018,0.814831670622833
B,Scenario B - Level 1 + Level 2,building_name_te,4,3029,762,119376.2240410245,65182.21102176407,0.8714525314015799
B,Scenario B - Level 1 + Level 2,building_name_te,5,3033,758,134101.17533623142,64255.314446145785,0.825453973600007
B,Scenario B - Level 1 + Level 2,lightgbm_interaction,1,3034,757,115321.00037104248,61408.22902210775,0.8713682594833924
B,Scenario B - Level 1 + Level 2,lightgbm_interaction,2,3036,755,122058.63341239521,60280.13405905036,0.8982937134710374
B,Scenario B - Level 1 + Level 2,lightgbm_interaction,3,3032,759,123655.25697361455,59487.61555924311,0.8079949017458
B,Scenario B - Level 1 + Level 2,lightgbm_interaction,4,3029,762,119676.03644109529,65036.30073170403,0.8708060287667995
B,Scenario B - Level 1 + Level 2,lightgbm_interaction,5,3033,758,136687.49263455343,64273.77371400703,0.8186563503861031
B,Scenario B - Level 1 + Level 2,position_regex_lightgbm,1,3034,757,114193.50062347452,61739.51591760603,0.8738712426406743
B,Scenario B - Level 1 + Level 2,position_regex_lightgbm,2,3036,755,122745.8607338449,60340.183225917026,0.8971452145416183
B,Scenario B - Level 1 + Level 2,position_regex_lightgbm,3,3032,759,123977.04605277181,59341.04941531262,0.8069942886337422
B,Scenario B - Level 1 + Level 2,position_regex_lightgbm,4,3029,762,115688.76807852137,64262.69249511252,0.8792713772496827
B,Scenario B - Level 1 + Level 2,position_regex_lightgbm,5,3033,758,135863.62464163365,63874.1782791726,0.8208358178773486
B,Scenario B - Level 1 + Level 2,random_forest,1,3034,757,112651.09538197005,61202.71777161887,0.8772554601968545
B,Scenario B - Level 1 + Level 2,random_forest,2,3036,755,127988.37383772882,60474.43444957305,0.8881716714761887
B,Scenario B - Level 1 + Level 2,random_forest,3,3032,759,137348.08213001606,59409.69950225372,0.7631176019586653
B,Scenario B - Level 1 + Level 2,random_forest,4,3029,762,118313.27938770753,65114.89974124583,0.8737315533537011
B,Scenario B - Level 1 + Level 2,random_forest,5,3033,758,127823.35132766048,60952.25966230883,0.8414138712612652
C,Scenario C - Level 1 + Level 2 + Level 3,building_name_te,1,3022,769,120643.9643190364,63713.10804579592,0.8619241042261973
C,Scenario C - Level 1 + Level 2 + Level 3,building_name_te,2,3045,746,152964.15757106908,73933.97522664642,0.7228136662934822
C,Scenario C - Level 1 + Level 2 + Level 3,building_name_te,3,3036,755,134167.5207948303,64562.89510989886,0.7792437001775077
C,Scenario C - Level 1 + Level 2 + Level 3,building_name_te,4,3026,765,124112.35601098038,63781.385026278,0.8714204195055522
C,Scenario C - Level 1 + Level 2 + Level 3,building_name_te,5,3035,756,130000.81323450392,69266.83926430524,0.8883841999918067
C,Scenario C - Level 1 + Level 2 + Level 3,lightgbm_interaction,1,3022,769,121763.96847624345,64330.32700203811,0.8593485355592909
C,Scenario C - Level 1 + Level 2 + Level 3,lightgbm_interaction,2,3045,746,148356.19970577373,72435.68890160098,0.7392622848224306
C,Scenario C - Level 1 + Level 2 + Level 3,lightgbm_interaction,3,3036,755,134443.80065750284,64412.27542453958,0.7783335944208364
C,Scenario C - Level 1 + Level 2 + Level 3,lightgbm_interaction,4,3026,765,124252.33669003988,63301.48610089704,0.871130217828576
C,Scenario C - Level 1 + Level 2 + Level 3,lightgbm_interaction,5,3035,756,132281.78059305667,69821.92395118777,0.8844330630817775
C,Scenario C - Level 1 + Level 2 + Level 3,position_regex_lightgbm,1,3022,769,125525.24098907654,64781.40886823439,0.8505249188028698
C,Scenario C - Level 1 + Level 2 + Level 3,position_regex_lightgbm,2,3045,746,145381.97200328228,72409.58047410497,0.7496119680488963
C,Scenario C - Level 1 + Level 2 + Level 3,position_regex_lightgbm,3,3036,755,133300.15968355065,63865.17049170618,0.782088748022915
C,Scenario C - Level 1 + Level 2 + Level 3,position_regex_lightgbm,4,3026,765,123943.24488743117,63494.14364145624,0.871770576799402
C,Scenario C - Level 1 + Level 2 + Level 3,position_regex_lightgbm,5,3035,756,130132.48861499592,69111.42069625245,0.8881579783897492
C,Scenario C - Level 1 + Level 2 + Level 3,random_forest,1,3022,769,125552.6437785908,64004.77966159284,0.850459649359883
C,Scenario C - Level 1 + Level 2 + Level 3,random_forest,2,3045,746,146039.61212897624,70703.57148102912,0.7473415675475283
C,Scenario C - Level 1 + Level 2 + Level 3,random_forest,3,3036,755,144159.21100966108,66322.4859260212,0.7451391601005051
C,Scenario C - Level 1 + Level 2 + Level 3,random_forest,4,3026,765,147084.73524857467,65811.46362300201,0.8194168721929845
C,Scenario C - Level 1 + Level 2 + Level 3,random_forest,5,3035,756,133602.20273524823,68320.68142129893,0.8821143953764293
