scenario,scenario_name,model,grouped_repeat_rows,grouped_repeat_percentage,non_repeat_rows,repeat_row_RMSE_RM,non_repeat_row_RMSE_RM,repeat_row_MAE_RM,non_repeat_row_MAE_RM
A,Scenario A - Level 1 only,building_name_te,45,1.1870218939593775,3746,52964.35791016418,124831.1849745814,40158.77880739895,63500.15623487006
A,Scenario A - Level 1 only,lightgbm_interaction,45,1.1870218939593775,3746,57279.94890403127,123990.58058788789,42944.16087040749,63449.19763831142
A,Scenario A - Level 1 only,position_regex_lightgbm,45,1.1870218939593775,3746,55325.228014091736,123409.27832578761,38591.30366565899,63576.99799541791
A,Scenario A - Level 1 only,random_forest,45,1.1870218939593775,3746,44732.98049273507,126697.35951306431,32873.508524124154,61936.37636290601
B,Scenario B - Level 1 + Level 2,building_name_te,59,1.5563175943022949,3732,55622.25787158045,123215.37363246703,42439.373949512265,62476.77988308072
B,Scenario B - Level 1 + Level 2,lightgbm_interaction,59,1.5563175943022949,3732,56289.013533478435,124460.10359881225,44120.339252992824,62385.50707680421
B,Scenario B - Level 1 + Level 2,position_regex_lightgbm,59,1.5563175943022949,3732,53564.411485004704,123513.4697229909,40385.11260712793,62254.98005479245
B,Scenario B - Level 1 + Level 2,random_forest,59,1.5563175943022949,3732,69886.38055671654,125793.8506634781,46026.790820276445,61678.56459089411
C,Scenario C - Level 1 + Level 2 + Level 3,building_name_te,500,13.189132155104193,3291,86421.71811645482,138429.53894408242,49244.74370989465,69714.74615260985
C,Scenario C - Level 1 + Level 2 + Level 3,lightgbm_interaction,500,13.189132155104193,3291,86286.66285082519,138121.40021887614,48827.397559637415,69564.15251448026
C,Scenario C - Level 1 + Level 2 + Level 3,position_regex_lightgbm,500,13.189132155104193,3291,86172.76138375023,137412.39711269183,49382.39981498069,69335.37168009215
C,Scenario C - Level 1 + Level 2 + Level 3,random_forest,500,13.189132155104193,3291,88415.76392733803,145695.16397923767,48031.55729458177,69893.17621925441
