scenario,row_index,listing_id,group_id,repeat_group_id,is_grouped_repeat,group_size,fold
A,0,98187451,A_UNIQUE_98187451,,False,1,1
A,1,101683090,A_UNIQUE_101683090,,False,1,2
A,2,103792905,A_UNIQUE_103792905,,False,1,3
A,3,103806240,A_UNIQUE_103806240,,False,1,1
A,4,103806234,A_UNIQUE_103806234,,False,1,2
A,5,103739787,A_UNIQUE_103739787,,False,1,4
A,6,103690767,A_UNIQUE_103690767,,False,1,1
A,7,103615852,A_UNIQUE_103615852,,False,1,5
A,8,103615849,A_UNIQUE_103615849,,False,1,4
A,9,102460346,A_UNIQUE_102460346,,False,1,4
A,10,103806285,A_UNIQUE_103806285,,False,1,1
A,11,103739661,A_UNIQUE_103739661,,False,1,4
A,12,103696451,A_UNIQUE_103696451,,False,1,3
A,13,103580644,A_UNIQUE_103580644,,False,1,2
A,14,102452522,A_UNIQUE_102452522,,False,1,1
A,15,103806203,A_UNIQUE_103806203,,False,1,4
A,16,103806202,A_UNIQUE_103806202,,False,1,3
A,17,103806192,A_UNIQUE_103806192,,False,1,4
A,18,103246638,A_UNIQUE_103246638,,False,1,3
A,19,103740356,A_UNIQUE_103740356,,False,1,5
A,20,103589322,A_UNIQUE_103589322,,False,1,4
A,21,103582335,A_UNIQUE_103582335,,False,1,1
A,22,103386504,A_UNIQUE_103386504,,False,1,5
A,23,103684680,A_UNIQUE_103684680,,False,1,5
A,24,103683568,A_UNIQUE_103683568,,False,1,5
A,25,103806074,A_UNIQUE_103806074,,False,1,4
A,26,103805967,A_UNIQUE_103805967,,False,1,5
A,27,103805963,A_UNIQUE_103805963,,False,1,2
A,28,103805953,A_UNIQUE_103805953,,False,1,3
A,29,103615831,A_UNIQUE_103615831,,False,1,4
A,30,102461841,A_UNIQUE_102461841,,False,1,3
A,31,101979792,A_UNIQUE_101979792,,False,1,4
A,32,103806053,A_UNIQUE_103806053,,False,1,2
A,33,103715477,A_UNIQUE_103715477,,False,1,4
A,34,103805909,A_UNIQUE_103805909,,False,1,3
A,35,103805998,A_UNIQUE_103805998,,False,1,5
A,36,103292386,A_UNIQUE_103292386,,False,1,5
A,37,103292345,A_UNIQUE_103292345,,False,1,5
A,38,103292300,A_UNIQUE_103292300,,False,1,5
A,39,101804692,A_UNIQUE_101804692,,False,1,4
A,40,100462242,A_UNIQUE_100462242,,False,1,5
A,41,103703580,A_UNIQUE_103703580,,False,1,3
A,42,103640175,A_UNIQUE_103640175,,False,1,2
A,43,102709021,A_UNIQUE_102709021,,False,1,5
A,44,103805884,A_UNIQUE_103805884,,False,1,4
A,45,103125815,A_UNIQUE_103125815,,False,1,3
A,46,103755519,A_UNIQUE_103755519,,False,1,3
A,47,103690820,A_UNIQUE_103690820,,False,1,1
A,48,102135985,A_UNIQUE_102135985,,False,1,3
A,49,103637327,A_UNIQUE_103637327,,False,1,3
A,50,103594449,A_UNIQUE_103594449,,False,1,3
A,51,103142753,A_UNIQUE_103142753,,False,1,3
A,52,103754290,A_UNIQUE_103754290,,False,1,5
A,53,103805698,A_UNIQUE_103805698,,False,1,1
A,54,103805692,A_UNIQUE_103805692,,False,1,3
A,55,102399058,A_UNIQUE_102399058,,False,1,5
A,56,102725008,A_UNIQUE_102725008,,False,1,1
A,57,102664029,A_UNIQUE_102664029,,False,1,4
A,58,103042046,A_UNIQUE_103042046,,False,1,3
A,59,103805672,A_UNIQUE_103805672,,False,1,3
A,60,103805666,A_UNIQUE_103805666,,False,1,3
A,61,103805719,A_UNIQUE_103805719,,False,1,4
A,62,103805714,A_UNIQUE_103805714,,False,1,3
A,63,103805712,A_UNIQUE_103805712,,False,1,4
A,64,102887743,A_UNIQUE_102887743,,False,1,3
A,65,103120855,A_UNIQUE_103120855,,False,1,2
