scenario,row_index,listing_id,group_id,repeat_group_id,is_grouped_repeat,group_size,fold
B,0,98187451,B_UNIQUE_98187451,,False,1,2
B,1,101683090,B_UNIQUE_101683090,,False,1,3
B,2,103792905,B_UNIQUE_103792905,,False,1,2
B,3,103806240,B_UNIQUE_103806240,,False,1,3
B,4,103806234,B_UNIQUE_103806234,,False,1,5
B,5,103739787,B_UNIQUE_103739787,,False,1,4
B,6,103690767,B_UNIQUE_103690767,,False,1,1
B,7,103615852,B_UNIQUE_103615852,,False,1,4
B,8,103615849,B_UNIQUE_103615849,,False,1,4
B,9,102460346,B_UNIQUE_102460346,,False,1,1
B,10,103806285,B_UNIQUE_103806285,,False,1,2
B,11,103739661,B_UNIQUE_103739661,,False,1,4
B,12,103696451,B_UNIQUE_103696451,,False,1,3
B,13,103580644,B_UNIQUE_103580644,,False,1,4
B,14,102452522,B_UNIQUE_102452522,,False,1,2
B,15,103806203,B_UNIQUE_103806203,,False,1,5
B,16,103806202,B_UNIQUE_103806202,,False,1,2
B,17,103806192,B_UNIQUE_103806192,,False,1,4
B,18,103246638,B_UNIQUE_103246638,,False,1,4
B,19,103740356,B_UNIQUE_103740356,,False,1,2
B,20,103589322,B_UNIQUE_103589322,,False,1,3
B,21,103582335,B_UNIQUE_103582335,,False,1,2
B,22,103386504,B_UNIQUE_103386504,,False,1,1
B,23,103684680,B_UNIQUE_103684680,,False,1,2
B,24,103683568,B_UNIQUE_103683568,,False,1,1
B,25,103806074,B_UNIQUE_103806074,,False,1,3
B,26,103805967,B_UNIQUE_103805967,,False,1,2
B,27,103805963,B_UNIQUE_103805963,,False,1,3
B,28,103805953,B_UNIQUE_103805953,,False,1,2
B,29,103615831,B_UNIQUE_103615831,,False,1,1
B,30,102461841,B_UNIQUE_102461841,,False,1,1
B,31,101979792,B_UNIQUE_101979792,,False,1,1
B,32,103806053,B_UNIQUE_103806053,,False,1,4
B,33,103715477,B_UNIQUE_103715477,,False,1,2
B,34,103805909,B_UNIQUE_103805909,,False,1,2
B,35,103805998,B_UNIQUE_103805998,,False,1,4
B,36,103292386,B_UNIQUE_103292386,,False,1,3
B,37,103292345,B_UNIQUE_103292345,,False,1,5
B,38,103292300,B_UNIQUE_103292300,,False,1,5
B,39,101804692,B_UNIQUE_101804692,,False,1,3
B,40,100462242,B_UNIQUE_100462242,,False,1,4
B,41,103703580,B_UNIQUE_103703580,,False,1,4
B,42,103640175,B_UNIQUE_103640175,,False,1,1
B,43,102709021,B_UNIQUE_102709021,,False,1,5
B,44,103805884,B_UNIQUE_103805884,,False,1,1
B,45,103125815,B_UNIQUE_103125815,,False,1,2
B,46,103755519,B_UNIQUE_103755519,,False,1,5
B,47,103690820,B_UNIQUE_103690820,,False,1,1
B,48,102135985,B_UNIQUE_102135985,,False,1,3
B,49,103637327,B_UNIQUE_103637327,,False,1,3
B,50,103594449,B_UNIQUE_103594449,,False,1,5
B,51,103142753,B_UNIQUE_103142753,,False,1,1
B,52,103754290,B_UNIQUE_103754290,,False,1,2
B,53,103805698,B_UNIQUE_103805698,,False,1,5
B,54,103805692,B_UNIQUE_103805692,,False,1,4
B,55,102399058,B_UNIQUE_102399058,,False,1,1
B,56,102725008,B_UNIQUE_102725008,,False,1,1
B,57,102664029,B_UNIQUE_102664029,,False,1,2
B,58,103042046,B_UNIQUE_103042046,,False,1,1
B,59,103805672,B_UNIQUE_103805672,,False,1,3
B,60,103805666,B_UNIQUE_103805666,,False,1,1
B,61,103805719,B_UNIQUE_103805719,,False,1,3
B,62,103805714,B_UNIQUE_103805714,,False,1,4
B,63,103805712,B_UNIQUE_103805712,,False,1,4
B,64,102887743,B_UNIQUE_102887743,,False,1,3
B,65,103120855,B_UNIQUE_103120855,,False,1,1
B,66,103795255,B_UNIQUE_103795255,,False,1,3
B,67,103708653,B_UNIQUE_103708653,,False,1,4
B,68,103795254,B_UNIQUE_103795254,,False,1,4
B,69,103795238,B_UNIQUE_103795238,,False,1,1
B,70,103663119,B_UNIQUE_103663119,,False,1,3
B,71,103537807,B_UNIQUE_103537807,,False,1,2
B,72,101480721,B_UNIQUE_101480721,,False,1,3
B,73,103530633,B_UNIQUE_103530633,,False,1,3
B,74,103805563,B_UNIQUE_103805563,,False,1,3
B,75,103805555,B_UNIQUE_103805555,,False,1,2
B,76,102631653,B_UNIQUE_102631653,,False,1,1
