scenario,row_index,listing_id,group_id,repeat_group_id,is_grouped_repeat,group_size,fold
C,0,98187451,C_UNIQUE_98187451,,False,1,3
C,1,101683090,C_UNIQUE_101683090,,False,1,5
C,2,103792905,C_RG_0001,C_RG_0001,True,2,1
C,3,103806240,C_UNIQUE_103806240,,False,1,1
C,4,103806234,C_UNIQUE_103806234,,False,1,2
C,5,103739787,C_UNIQUE_103739787,,False,1,4
C,6,103690767,C_UNIQUE_103690767,,False,1,1
C,7,103615852,C_UNIQUE_103615852,,False,1,3
C,8,103615849,C_UNIQUE_103615849,,False,1,2
C,9,102460346,C_UNIQUE_102460346,,False,1,1
C,10,103806285,C_UNIQUE_103806285,,False,1,4
C,11,103739661,C_UNIQUE_103739661,,False,1,4
C,12,103696451,C_UNIQUE_103696451,,False,1,1
C,13,103580644,C_UNIQUE_103580644,,False,1,3
C,14,102452522,C_UNIQUE_102452522,,False,1,1
C,15,103806203,C_UNIQUE_103806203,,False,1,2
C,16,103806202,C_UNIQUE_103806202,,False,1,1
C,17,103806192,C_UNIQUE_103806192,,False,1,3
C,18,103246638,C_UNIQUE_103246638,,False,1,5
C,19,103740356,C_RG_0002,C_RG_0002,True,2,5
C,20,103589322,C_UNIQUE_103589322,,False,1,3
C,21,103582335,C_UNIQUE_103582335,,False,1,5
C,22,103386504,C_UNIQUE_103386504,,False,1,2
C,23,103684680,C_UNIQUE_103684680,,False,1,4
C,24,103683568,C_UNIQUE_103683568,,False,1,1
C,25,103806074,C_UNIQUE_103806074,,False,1,4
C,26,103805967,C_UNIQUE_103805967,,False,1,4
C,27,103805963,C_UNIQUE_103805963,,False,1,2
C,28,103805953,C_UNIQUE_103805953,,False,1,4
C,29,103615831,C_UNIQUE_103615831,,False,1,4
C,30,102461841,C_UNIQUE_102461841,,False,1,4
C,31,101979792,C_UNIQUE_101979792,,False,1,5
C,32,103806053,C_UNIQUE_103806053,,False,1,5
C,33,103715477,C_UNIQUE_103715477,,False,1,4
C,34,103805909,C_UNIQUE_103805909,,False,1,3
C,35,103805998,C_UNIQUE_103805998,,False,1,3
C,36,103292386,C_UNIQUE_103292386,,False,1,5
C,37,103292345,C_UNIQUE_103292345,,False,1,3
C,38,103292300,C_UNIQUE_103292300,,False,1,2
C,39,101804692,C_UNIQUE_101804692,,False,1,1
C,40,100462242,C_UNIQUE_100462242,,False,1,3
C,41,103703580,C_UNIQUE_103703580,,False,1,1
C,42,103640175,C_UNIQUE_103640175,,False,1,3
C,43,102709021,C_UNIQUE_102709021,,False,1,5
C,44,103805884,C_UNIQUE_103805884,,False,1,2
C,45,103125815,C_UNIQUE_103125815,,False,1,3
C,46,103755519,C_UNIQUE_103755519,,False,1,1
C,47,103690820,C_UNIQUE_103690820,,False,1,5
C,48,102135985,C_UNIQUE_102135985,,False,1,4
C,49,103637327,C_UNIQUE_103637327,,False,1,3
C,50,103594449,C_UNIQUE_103594449,,False,1,3
C,51,103142753,C_UNIQUE_103142753,,False,1,2
C,52,103754290,C_UNIQUE_103754290,,False,1,3
C,53,103805698,C_UNIQUE_103805698,,False,1,3
C,54,103805692,C_UNIQUE_103805692,,False,1,3
C,55,102399058,C_UNIQUE_102399058,,False,1,3
C,56,102725008,C_UNIQUE_102725008,,False,1,4
C,57,102664029,C_UNIQUE_102664029,,False,1,3
C,58,103042046,C_UNIQUE_103042046,,False,1,5
C,59,103805672,C_UNIQUE_103805672,,False,1,2
C,60,103805666,C_UNIQUE_103805666,,False,1,5
C,61,103805719,C_UNIQUE_103805719,,False,1,5
C,62,103805714,C_UNIQUE_103805714,,False,1,3
C,63,103805712,C_UNIQUE_103805712,,False,1,2
C,64,102887743,C_UNIQUE_102887743,,False,1,2
C,65,103120855,C_UNIQUE_103120855,,False,1,3
C,66,103795255,C_UNIQUE_103795255,,False,1,2
C,67,103708653,C_UNIQUE_103708653,,False,1,3
C,68,103795254,C_UNIQUE_103795254,,False,1,1
C,69,103795238,C_UNIQUE_103795238,,False,1,2
C,70,103663119,C_UNIQUE_103663119,,False,1,4
C,71,103537807,C_UNIQUE_103537807,,False,1,4
C,72,101480721,C_UNIQUE_101480721,,False,1,5
C,73,103530633,C_UNIQUE_103530633,,False,1,4
C,74,103805563,C_RG_0003,C_RG_0003,True,2,3
C,75,103805555,C_UNIQUE_103805555,,False,1,2
C,76,102631653,C_RG_0004,C_RG_0004,True,2,4
C,77,102006980,C_UNIQUE_102006980,,False,1,5
C,78,103805644,C_RG_0005,C_RG_0005,True,3,5
C,79,103073792,C_UNIQUE_103073792,,False,1,1
C,80,102725022,C_UNIQUE_102725022,,False,1,2
C,81,102850930,C_UNIQUE_102850930,,False,1,3
C,82,103149030,C_UNIQUE_103149030,,False,1,1
C,83,103805620,C_UNIQUE_103805620,,False,1,4
C,84,103805611,C_UNIQUE_103805611,,False,1,3
C,85,103805539,C_UNIQUE_103805539,,False,1,5
C,86,103581872,C_UNIQUE_103581872,,False,1,3
C,87,103563958,C_UNIQUE_103563958,,False,1,4
C,88,103443920,C_RG_0006,C_RG_0006,True,2,4
C,89,103383454,C_UNIQUE_103383454,,False,1,1
C,90,103351715,C_UNIQUE_103351715,,False,1,4
C,91,103323847,C_UNIQUE_103323847,,False,1,4
C,92,103293875,C_UNIQUE_103293875,,False,1,3
C,93,103199527,C_UNIQUE_103199527,,False,1,4
C,94,102738500,C_UNIQUE_102738500,,False,1,5
C,95,102492658,C_UNIQUE_102492658,,False,1,3
C,96,102343002,C_UNIQUE_102343002,,False,1,2
C,97,102223783,C_UNIQUE_102223783,,False,1,1
C,98,102211027,C_UNIQUE_102211027,,False,1,2
C,99,100883751,C_UNIQUE_100883751,,False,1,3
C,100,99869405,C_UNIQUE_99869405,,False,1,5
C,101,103098770,C_UNIQUE_103098770,,False,1,5
C,102,103805449,C_UNIQUE_103805449,,False,1,1
C,103,102631668,C_RG_0004,C_RG_0004,True,2,4
C,104,103805522,C_UNIQUE_103805522,,False,1,2
C,105,103805519,C_UNIQUE_103805519,,False,1,3
C,106,103805518,C_UNIQUE_103805518,,False,1,2
C,107,103805514,C_UNIQUE_103805514,,False,1,3
C,108,103805511,C_RG_0007,C_RG_0007,True,2,3
C,109,103805510,C_UNIQUE_103805510,,False,1,2
C,110,103805502,C_UNIQUE_103805502,,False,1,2
C,111,103805427,C_UNIQUE_103805427,,False,1,2
C,112,103805422,C_UNIQUE_103805422,,False,1,5
C,113,102631678,C_UNIQUE_102631678,,False,1,5
C,114,101602694,C_UNIQUE_101602694,,False,1,5
C,115,103734716,C_UNIQUE_103734716,,False,1,3
C,116,102649103,C_UNIQUE_102649103,,False,1,2
C,117,102790896,C_UNIQUE_102790896,,False,1,2
C,118,103338849,C_UNIQUE_103338849,,False,1,1
C,119,103805308,C_UNIQUE_103805308,,False,1,5
C,120,101224511,C_UNIQUE_101224511,,False,1,3
C,121,103805444,C_UNIQUE_103805444,,False,1,1
C,122,103805439,C_UNIQUE_103805439,,False,1,5
C,123,103273883,C_UNIQUE_103273883,,False,1,5
C,124,103805409,C_UNIQUE_103805409,,False,1,5
C,125,103805406,C_UNIQUE_103805406,,False,1,3
C,126,103805404,C_UNIQUE_103805404,,False,1,1
C,127,103805403,C_UNIQUE_103805403,,False,1,1
C,128,103805401,C_UNIQUE_103805401,,False,1,1
C,129,103805398,C_RG_0005,C_RG_0005,True,3,5
C,130,103805396,C_UNIQUE_103805396,,False,1,2
C,131,103805390,C_UNIQUE_103805390,,False,1,5
C,132,94739862,C_UNIQUE_94739862,,False,1,1
C,133,100922534,C_UNIQUE_100922534,,False,1,1
C,134,103805375,C_UNIQUE_103805375,,False,1,5
