Grouping Scenario,Scenario,Model,Repeat Groups Included,Repeat Group Count,Repeat Rows Grouped,RMSE,MAE,R2,Adjusted R2,Median Absolute Error,Top5 RMSE,Top5 MAE,95-99% RMSE,99-100% RMSE,RMSE Rank,MAE Rank
Scenario A - Level 1 only,A,position_regex_lightgbm,Level 1,22,45,122822.64306366096,63280.41233336591,0.8612167478507705,0.8594740781069784,34479.6392771111,425837.77745653247,298407.1367570416,330844.05243340955,677969.4148822987,1,4
Scenario A - Level 1 only,A,lightgbm_interaction,Level 1,22,45,123410.3780721812,63205.79836251199,0.859885349433249,0.8583152279487763,34067.493925158284,430346.7679291021,298668.23621692666,337849.1149029051,678464.3111032692,2,2
Scenario A - Level 1 only,A,building_name_te,Level 1,22,45,124222.18728727462,63223.08897445429,0.8580359023230029,0.8564450559776363,34475.08556909289,436361.0759846369,304753.0546149822,344389.995765404,684420.2673847176,3,3
Scenario A - Level 1 only,A,random_forest,Level 1,22,45,126037.41630339062,61591.39375864719,0.8538566137468662,0.8526121783130981,33459.77719110111,447159.2784807401,292645.5340946842,310387.31115296186,775314.4464043729,4,1
Scenario B - Level 1 + Level 2,B,building_name_te,Level 1+Level 2,28,59,122449.57178005652,62164.93420909483,0.8620585700162688,0.860512801590624,33967.33120704186,427241.71340769815,295896.103564469,316490.9660481171,708132.1629552046,1,4
Scenario B - Level 1 + Level 2,B,position_regex_lightgbm,Level 1+Level 2,28,59,122730.61964179797,61914.61545985387,0.8614246333849803,0.8596845740125769,33747.41704834136,429553.42393954756,292878.4111209925,317886.6026541521,712511.4780768498,2,2
Scenario B - Level 1 + Level 2,B,lightgbm_interaction,Level 1+Level 2,28,59,123687.30753439068,62101.24305633339,0.859255817126471,0.8576786411177495,33153.335385987535,432852.9804581155,291559.48511459224,317641.38316704734,722591.848798272,3,3
Scenario B - Level 1 + Level 2,B,random_forest,Level 1+Level 2,28,59,125115.274556188,61434.97328188159,0.8559872813471051,0.8547609889051433,32940.87114339473,443878.22807090264,289233.92996826407,298886.35108625144,783581.6318445975,4,1
Scenario C - Level 1 + Level 2 + Level 3,C,position_regex_lightgbm,Level 1+Level 2+Level 3,234,500,131799.71256584063,66703.74785193184,0.8401881022549351,0.8381813805894214,35991.539170052856,457821.3232990301,315276.99819459306,328757.63094666187,776311.9682029,1,1
Scenario C - Level 1 + Level 2 + Level 3,C,lightgbm_interaction,Level 1+Level 2+Level 3,234,500,132451.28841558326,66829.1544988059,0.8386040780900653,0.8367954791785879,35978.41040637143,461306.31867965683,316356.37038695277,333522.28407309554,778490.7246165184,2,2
Scenario C - Level 1 + Level 2 + Level 3,C,building_name_te,Level 1+Level 2+Level 3,234,500,132741.8433922035,67014.93047828709,0.8378952012737799,0.836078658705343,36805.72645207739,464349.0249342438,317499.44931975816,337733.85147457424,780271.4173186452,3,4
Scenario C - Level 1 + Level 2 + Level 3,C,random_forest,Level 1+Level 2+Level 3,234,500,139493.56019003675,67009.81840803406,0.8209853805445035,0.8194610410494062,35709.791239027516,508683.37063856877,335608.73277740524,345178.12668925605,894037.6259269477,4,3
