Model,Trim_Level,Removal_Percent,Difference_Definition,RMSE_Difference_RM,MAE_Difference_RM,Bootstrap_Samples,RMSE_CI95_Lower_RM,RMSE_CI95_Upper_RM,MAE_CI95_Lower_RM,MAE_CI95_Upper_RM
LightGBM + Position Features,A,0.0,trimmed_minus_untrimmed,0.0,0.0,5000,0.0,0.0,0.0,0.0
LightGBM + Position Features,B,0.5,trimmed_minus_untrimmed,8061.181983316579,1089.9976259372997,5000,-728.8759412984522,17259.408467456873,-514.1659742250947,2732.8689716348613
LightGBM + Position Features,C,1.0,trimmed_minus_untrimmed,10948.337387897875,1952.6638466132717,5000,1396.6273253440884,20956.97648001718,-40.55040708394115,4013.3785905871187
LightGBM + Position Features,D,2.5,trimmed_minus_untrimmed,26121.69339577621,4344.70697602904,5000,13599.54361833861,40473.157476105815,1911.169907460373,7037.323005252536
LightGBM + Position Features,E,5.0,trimmed_minus_untrimmed,50915.244021504914,10336.968126700143,5000,32073.071965814856,73957.66745181473,6942.332347255887,14137.607790094866
LightGBM + Position Features,F,10.0,trimmed_minus_untrimmed,70052.93946184948,16689.577905094673,5000,50412.845660497274,91395.63430487335,12685.655893703377,20824.755105163702
Random Forest,A,0.0,trimmed_minus_untrimmed,0.0,0.0,5000,0.0,0.0,0.0,0.0
Random Forest,B,0.5,trimmed_minus_untrimmed,4580.579572717019,501.40351686020585,5000,-1742.900065508439,12168.724483329739,-566.0128261445617,1763.8318194193912
Random Forest,C,1.0,trimmed_minus_untrimmed,11497.831254457604,2024.238105690325,5000,2351.8251773294373,21289.781556841073,302.9671866173803,3905.1514440735955
Random Forest,D,2.5,trimmed_minus_untrimmed,23162.915767749873,4216.404462884566,5000,11059.242424601582,37451.85109685747,2064.8966797499706,6583.026091496676
Random Forest,E,5.0,trimmed_minus_untrimmed,40015.844427714284,9186.329361135431,5000,23069.355516739422,57879.006767857885,6007.430053468539,12240.225479360271
Random Forest,F,10.0,trimmed_minus_untrimmed,59329.4119393555,15544.443618877442,5000,40941.909412875546,79140.1514846754,11929.948807333049,19467.537983933402
