Experiment_Type,Model,Trim_Level,Removal_Percent,Fold,Training_Rows_Before,Training_Rows_Removed,Training_Rows_Retained,Actual_Removal_Pct,Training_Derived_Cutoff_RM,Maximum_Retained_Training_Price_RM,Validation_Rows,Validation_Rows_Removed,RMSE_RM,MAE_RM,R2,Adjusted_R2,Median_AE_RM
training_only,LightGBM + Position Features,A,0.0,1,3034,0,3034,0.0,,6016000.0,757,0,114193.50062347451,61739.51591760603,0.8738712426406743,0.8655100979356132,35795.87250684516
training_only,LightGBM + Position Features,A,0.0,2,3036,0,3036,0.0,,5000000.0,755,0,122745.8607338449,60340.183225917026,0.8971452145416183,0.8903076262579636,31023.72629717682
training_only,LightGBM + Position Features,A,0.0,3,3032,0,3032,0.0,,6016000.0,759,0,123977.04605277181,59341.04941531262,0.8069942886337422,0.7942358238880121,31918.15876625298
training_only,LightGBM + Position Features,A,0.0,4,3029,0,3029,0.0,,6016000.0,762,0,115688.76807852137,64262.69249511253,0.8792713772496827,0.8713242550238215,34639.012341014684
training_only,LightGBM + Position Features,A,0.0,5,3033,0,3033,0.0,,6016000.0,758,0,135863.62464163365,63874.1782791726,0.8208358178773486,0.8089756537086661,34118.95905328059
training_only,LightGBM + Position Features,B,0.5,1,3034,16,3018,0.5273566249176005,2266800.000000003,2200000.0,757,0,119914.14015679563,61572.5272592614,0.8609176118235128,0.8516977638061716,34144.55266695167
training_only,LightGBM + Position Features,B,0.5,2,3036,16,3020,0.5270092226613966,2241249.824999991,2199999.0,755,0,142831.08228076552,62973.847195423834,0.8607304265860589,0.851472053247367,31551.100175197877
training_only,LightGBM + Position Features,B,0.5,3,3032,16,3016,0.5277044854881267,2242249.99999999,2200000.0,759,0,126997.18770551782,60644.565800859404,0.7974763249825526,0.7840886840179675,33572.327329421125
training_only,LightGBM + Position Features,B,0.5,4,3029,13,3016,0.4291845493562232,2300000.0,2300000.0,762,0,115506.6497161402,64451.65237751079,0.8796511823671471,0.8717290613184859,35758.614645966736
training_only,LightGBM + Position Features,B,0.5,5,3033,16,3017,0.5275304978569073,2296800.000000003,2280000.0,758,0,129352.82705499178,62770.179425196206,0.8375960277301748,0.8268453422418907,35722.682215964815
training_only,LightGBM + Position Features,C,1.0,1,3034,31,3003,1.0217534607778511,1693400.0000000014,1680000.0,757,0,128211.98430160234,63232.273073312135,0.8410031254579012,0.8304631351850118,34689.32180792274
training_only,LightGBM + Position Features,C,1.0,2,3036,31,3005,1.0210803689064558,1693000.0000000019,1680000.0,755,0,131684.46693195097,61057.17309826422,0.8816195759326599,0.8737498730597251,31454.870332205785
training_only,LightGBM + Position Features,C,1.0,3,3032,27,3005,0.8905013192612138,1700000.0,1700000.0,759,0,127532.8346093706,59606.55398048081,0.7957643192819543,0.7822635077576954,31984.690294135973
training_only,LightGBM + Position Features,C,1.0,4,3029,31,2998,1.0234400792340705,1694399.999999996,1680000.0,762,0,122585.85822609173,64722.45460863144,0.8644471674443999,0.8555242218840172,35011.560152347054
training_only,LightGBM + Position Features,C,1.0,5,3033,31,3002,1.022090339597758,1693599.9999999967,1680000.0,758,0,135218.5443932648,64614.47486730142,0.8225331213286028,0.8107853138672567,36012.86883806446
