Model,Trim_Level,Removal_Percent,Segment,Rows,RMSE_RM,MAE_RM,Mean_Prediction_Error_RM,Underprediction_Pct
LightGBM + Position Features,A,0.0,Remaining 95%,3601,78242.68596411555,49728.244680732416,5961.572954243978,46.45931685642877
LightGBM + Position Features,A,0.0,Top 5%,190,429553.42393954756,292878.41112099244,-94305.4950837691,61.05263157894737
LightGBM + Position Features,A,0.0,95-99%,151,317886.6026541521,234834.12475469374,-54375.34423366771,60.264900662251655
LightGBM + Position Features,A,0.0,99-100%,39,712511.4780768498,517613.9814110209,-248906.84837518728,64.1025641025641
LightGBM + Position Features,B,0.5,Remaining 95%,3601,76384.28389544811,49783.58960405818,4219.961189109853,46.875867814495976
LightGBM + Position Features,B,0.5,Top 5%,190,460938.8866145483,303190.1692758243,-160549.98783362383,68.42105263157895
LightGBM + Position Features,B,0.5,95-99%,151,280180.0106113637,202413.48700646238,-97768.24773086116,66.22516556291392
LightGBM + Position Features,B,0.5,99-100%,39,855070.2216849785,693376.810882841,-403628.0072058587,76.92307692307693
LightGBM + Position Features,C,1.0,Remaining 95%,3601,75817.69308306371,49458.38400847887,3541.0779876622023,47.681199666759234
LightGBM + Position Features,C,1.0,Top 5%,190,472904.5547483818,312647.43380805745,-212918.2034840953,69.47368421052632
LightGBM + Position Features,C,1.0,95-99%,151,269155.78820387175,197806.49355866623,-104254.60150885618,64.90066225165563
LightGBM + Position Features,C,1.0,99-100%,39,899461.1750926734,757287.9973377517,-633641.3803625852,87.17948717948718
LightGBM + Position Features,D,2.5,Remaining 95%,3601,74488.97638115837,48704.44305083097,2692.7107143451385,47.79227992224382
LightGBM + Position Features,D,2.5,Top 5%,190,559582.311536535,380033.42557533015,-330133.0266279186,83.15789473684211
LightGBM + Position Features,D,2.5,95-99%,151,318325.4862414448,234829.85972600558,-193873.87552790798,79.47019867549669
LightGBM + Position Features,D,2.5,99-100%,39,1064510.850100067,942231.847197074,-857700.5090920624,97.43589743589743
LightGBM + Position Features,E,5.0,Remaining 95%,3601,72786.07700137892,47921.198761300104,-1556.8002873843236,49.37517356289919
LightGBM + Position Features,E,5.0,Top 5%,190,688477.1572562691,507599.1760403732,-492376.9184254178,93.15789473684211
LightGBM + Position Features,E,5.0,95-99%,151,410922.3957940247,341252.98834259855,-322099.1542575554,91.3907284768212
LightGBM + Position Features,E,5.0,99-100%,39,1286644.5301533483,1151657.492511244,-1151657.492511244,100.0
LightGBM + Position Features,F,10.0,Remaining 95%,3601,74925.29980659996,49134.28275118593,-6309.316946823039,49.652874201610665
LightGBM + Position Features,F,10.0,Top 5%,190,769090.4429673611,589896.5084763356,-576709.8904316959,95.26315789473684
LightGBM + Position Features,F,10.0,95-99%,151,476071.40513820376,408371.73004201957,-391779.2967408173,94.03973509933775
LightGBM + Position Features,F,10.0,99-100%,39,1415679.4092099401,1292723.2147220203,-1292723.2147220203,100.0
Random Forest,A,0.0,Remaining 95%,3601,77999.8137601336,49415.58928565481,7734.073639242423,44.126631491252425
Random Forest,A,0.0,Top 5%,190,443878.22807090264,289233.92996826407,-101541.40608662908,60.0
Random Forest,A,0.0,95-99%,151,298886.3510862514,209204.29241097128,-55200.972184096114,57.615894039735096
Random Forest,A,0.0,99-100%,39,783581.6318445975,599092.2702541923,-280962.0604272055,69.23076923076923
Random Forest,B,0.5,Remaining 95%,3601,76889.7841899826,49420.590903325625,6841.16311531989,44.765342960288805
Random Forest,B,0.5,Top 5%,190,471479.8184257534,298867.9545962596,-149433.68373724262,61.578947368421055
Random Forest,B,0.5,95-99%,151,286746.74937527115,204245.1300697577,-86984.52570822676,59.60264900662252
Random Forest,B,0.5,99-100%,39,874421.9072732845,665228.1213527157,-391224.0135418938,69.23076923076923
Random Forest,C,1.0,Remaining 95%,3601,76053.53769300356,49025.49902910962,6821.061290252961,44.57095251319078
Random Forest,C,1.0,Top 5%,190,498777.5064903876,329085.385498767,-229477.51093518012,68.94736842105263
Random Forest,C,1.0,95-99%,151,282947.49139737367,204281.317963406,-110030.81984129835,64.23841059602648
Random Forest,C,1.0,99-100%,39,949751.0938465764,812301.1341613188,-691950.5969653376,87.17948717948718
Random Forest,D,2.5,Remaining 95%,3601,75422.98432184098,48416.94910568583,4708.550094150495,44.98750347125798
Random Forest,D,2.5,Top 5%,190,561293.7846228003,377199.0979814696,-309673.8170541241,76.84210526315789
Random Forest,D,2.5,95-99%,151,320848.6095092889,232568.15082071425,-173763.29182973044,72.18543046357617
Random Forest,D,2.5,99-100%,39,1065966.7219615034,937180.457501317,-835891.4916408787,94.87179487179486
Random Forest,E,5.0,Remaining 95%,3601,73770.13352114397,48330.16197819998,2164.060030483943,45.82060538739239
Random Forest,E,5.0,Top 5%,190,653934.5402036266,480919.9171143849,-447918.80502980493,87.89473684210526
Random Forest,E,5.0,95-99%,151,411190.95313905063,335123.34264819534,-294506.3483368624,85.43046357615894
Random Forest,E,5.0,99-100%,39,1195279.1193616756,1045414.3464578369,-1041900.3681229925,97.43589743589743
Random Forest,F,10.0,Remaining 95%,3601,77609.18854061172,50365.810379975905,-6235.317258053985,48.59761177450708
Random Forest,F,10.0,Top 5%,190,746667.4897275394,571989.1162721999,-548138.6036615679,90.0
Random Forest,F,10.0,95-99%,151,471501.3656097511,399221.00565673807,-369210.4268751481,87.41721854304636
Random Forest,F,10.0,99-100%,39,1362106.2163249694,1240911.8009628346,-1240911.8009628346,100.0
