Trim_Level,Removal_Percent,Fold,Threshold_Quantile,Cutoff_Source,Training_Rows_Before,Training_Rows_Removed,Training_Rows_Retained,Actual_Removal_Pct,Training_Derived_Cutoff_RM,Maximum_Retained_Training_Price_RM,Validation_Rows,Validation_Rows_Removed
A,0.0,1,,outer_training_fold_prices_only,3034,0,3034,0.0,,6016000.0,757,0
A,0.0,2,,outer_training_fold_prices_only,3036,0,3036,0.0,,5000000.0,755,0
A,0.0,3,,outer_training_fold_prices_only,3032,0,3032,0.0,,6016000.0,759,0
A,0.0,4,,outer_training_fold_prices_only,3029,0,3029,0.0,,6016000.0,762,0
A,0.0,5,,outer_training_fold_prices_only,3033,0,3033,0.0,,6016000.0,758,0
B,0.5,1,0.995,outer_training_fold_prices_only,3034,16,3018,0.5273566249176005,2266800.000000003,2200000.0,757,0
B,0.5,2,0.995,outer_training_fold_prices_only,3036,16,3020,0.5270092226613966,2241249.824999991,2199999.0,755,0
B,0.5,3,0.995,outer_training_fold_prices_only,3032,16,3016,0.5277044854881267,2242249.99999999,2200000.0,759,0
B,0.5,4,0.995,outer_training_fold_prices_only,3029,13,3016,0.4291845493562232,2300000.0,2300000.0,762,0
B,0.5,5,0.995,outer_training_fold_prices_only,3033,16,3017,0.5275304978569073,2296800.000000003,2280000.0,758,0
C,1.0,1,0.99,outer_training_fold_prices_only,3034,31,3003,1.0217534607778511,1693400.0000000014,1680000.0,757,0
C,1.0,2,0.99,outer_training_fold_prices_only,3036,31,3005,1.0210803689064558,1693000.0000000019,1680000.0,755,0
C,1.0,3,0.99,outer_training_fold_prices_only,3032,27,3005,0.8905013192612138,1700000.0,1700000.0,759,0
C,1.0,4,0.99,outer_training_fold_prices_only,3029,31,2998,1.0234400792340705,1694399.999999996,1680000.0,762,0
C,1.0,5,0.99,outer_training_fold_prices_only,3033,31,3002,1.022090339597758,1693599.9999999967,1680000.0,758,0
D,2.5,1,0.975,outer_training_fold_prices_only,3034,76,2958,2.5049439683586026,1202309.9999999965,1200000.0,757,0
D,2.5,2,0.975,outer_training_fold_prices_only,3036,73,2963,2.404479578392622,1200000.0,1200000.0,755,0
D,2.5,3,0.975,outer_training_fold_prices_only,3032,75,2957,2.4736147757255935,1200000.0,1200000.0,759,0
D,2.5,4,0.975,outer_training_fold_prices_only,3029,76,2953,2.5090789039286894,1192999.9999999972,1190000.0,762,0
D,2.5,5,0.975,outer_training_fold_prices_only,3033,72,2961,2.3738872403560833,1200000.0,1200000.0,758,0
E,5.0,1,0.95,outer_training_fold_prices_only,3034,151,2883,4.976928147659855,920000.0,920000.0,757,0
E,5.0,2,0.95,outer_training_fold_prices_only,3036,147,2889,4.841897233201581,900000.0,900000.0,755,0
E,5.0,3,0.95,outer_training_fold_prices_only,3032,151,2881,4.980211081794195,920000.0,920000.0,759,0
E,5.0,4,0.95,outer_training_fold_prices_only,3029,152,2877,5.018157807857379,905999.9999999991,900000.0,762,0
E,5.0,5,0.95,outer_training_fold_prices_only,3033,147,2886,4.8466864490603365,900000.0,900000.0,758,0
F,10.0,1,0.9,outer_training_fold_prices_only,3034,292,2742,9.62425840474621,700000.0,700000.0,757,0
F,10.0,2,0.9,outer_training_fold_prices_only,3036,304,2732,10.013175230566535,698999.5,698000.0,755,0
F,10.0,3,0.9,outer_training_fold_prices_only,3032,293,2739,9.66358839050132,700000.0,700000.0,759,0
F,10.0,4,0.9,outer_training_fold_prices_only,3029,298,2731,9.838230439088807,690000.0,690000.0,762,0
F,10.0,5,0.9,outer_training_fold_prices_only,3033,303,2730,9.990108803165183,695000.0,695000.0,758,0
