Model,Trim_Level,Removal_Percent,Mean_Training_Rows_Removed,Mean_Training_Rows_Retained,Mean_Training_Removal_Pct,Mean_Training_Cutoff_RM,OOF_Rows,RMSE_RM,MAE_RM,R2,Adjusted_R2,Median_AE_RM,RMSE_Change_vs_0_RM,MAE_Change_vs_0_RM,RMSE_Fold_Wins_vs_0,MAE_Fold_Wins_vs_0,Top5_RMSE_RM,P95_99_RMSE_RM,P99_100_RMSE_RM,Top5_Underprediction_Pct
LightGBM + Position Features,A,0.0,0.0,3032.8,0.0,,3791,122730.61964179797,61914.61545985386,0.8614246333849803,0.8596845740125769,33747.41704834142,0.0,0.0,0.0,0.0,429553.42393954756,317886.6026541521,712511.4780768498,61.05263157894737
LightGBM + Position Features,B,0.5,15.4,3017.4,0.5077570760560508,2269419.9649999975,3791,127242.25394755336,62483.99850346086,0.8510491830592805,0.8491788415160761,33988.66078960616,4511.6343057553895,569.3830436069984,2.0,2.0,460938.8866145483,280180.0106113637,855070.2216849785,68.42105263157895
LightGBM + Position Features,C,1.0,30.2,3002.6,0.9957731135554699,1694879.9999999993,3791,129107.3445520298,62649.07761489405,0.8466506003940757,0.8447250268483961,34003.927156910126,6376.724910231831,734.4621550401862,1.0,0.0,472904.5547483818,269155.78820387175,899461.1750926734,69.47368421052632
LightGBM + Position Features,D,2.5,74.4,2958.4,2.453200893352318,1199061.9999999986,3791,144790.55997080644,65310.22165269191,0.8071317775276556,0.8047099751081526,33974.88749005459,22059.940329008474,3395.606192838044,0.0,0.0,559582.311536535,318325.4862414448,1064510.850100067,83.15789473684211
LightGBM + Position Features,E,5.0,149.6,2883.2,4.932776143914669,909199.9999999998,3791,169672.03136768664,70959.66240757388,0.7351495585013528,0.7318238917232506,32998.30589543196,46941.41172588867,9045.046947720017,0.0,0.0,688477.1572562691,410922.3957940247,1286644.5301533483,93.15789473684211
LightGBM + Position Features,F,10.0,298.0,2734.8,9.82587225361361,696799.9,3791,187023.15895189307,76236.5836975796,0.6782111742421189,0.6741705451182556,33163.52428593562,64292.539310095104,14321.968237725734,0.0,0.0,769090.4429673611,476071.40513820376,1415679.4092099401,95.26315789473684
Random Forest,A,0.0,0.0,3032.8,0.0,,3791,125115.274556188,61434.97328188159,0.8559872813471051,0.8547609889051433,32940.87114339473,0.0,0.0,0.0,0.0,443878.22807090264,298886.3510862514,783581.6318445975,60.0
Random Forest,B,0.5,15.4,3017.4,0.5077570760560508,2269419.9649999975,3791,129447.99282385258,61922.56903618172,0.845840311512317,0.8445276159211499,33668.36499561317,4332.718267664575,487.59575430012774,1.0,2.0,471479.8184257534,286746.74937527115,874421.9072732845,61.578947368421055
Random Forest,C,1.0,30.2,3002.6,0.9957731135554699,1694879.9999999993,3791,134025.10077152777,63061.73707427841,0.834745814736062,0.8333386476449375,32814.870731048344,8909.826215339766,1626.7637923968214,0.0,0.0,498777.5064903876,282947.49139737367,949751.0938465764,68.94736842105263
Random Forest,D,2.5,74.4,2958.4,2.453200893352318,1199061.9999999986,3791,145579.71296013947,64895.08371038087,0.8050236662032113,0.8033634100346383,33066.19607671816,20464.43840395147,3460.1104284992834,0.0,0.0,561293.7846228003,320848.6095092889,1065966.7219615034,76.84210526315789
Random Forest,E,5.0,149.6,2883.2,4.932776143914669,909199.9999999998,3791,163099.86141877057,70010.99908605414,0.7552699119089421,0.7531859941817165,32698.8158420095,37984.58686258257,8576.025804172554,0.0,0.0,653934.5402036266,411190.95313905063,1195279.1193616756,87.89473684210526
Random Forest,F,10.0,298.0,2734.8,9.82587225361361,696799.9,3791,183475.08501007184,76508.89350303645,0.690304868871962,0.6876677629123831,33417.89178811043,58359.81045388384,15073.920221154862,0.0,0.0,746667.4897275394,471501.3656097511,1362106.2163249694,90.0
