Model,Fold,Training_Rows,Validation_Rows,RMSE_RM,MAE_RM,R2
Gradient Boosting,1,3034,757,120752.96022111716,64973.46414083067,0.8589649956621526
Gradient Boosting,2,3036,755,132914.6052309377,61012.1327970009,0.8793975299174516
Gradient Boosting,3,3032,759,138102.1230757877,62391.70905934507,0.7605094936561376
Gradient Boosting,4,3029,762,121578.69199617158,67011.34624070987,0.8666654232085297
Gradient Boosting,5,3033,758,130233.42183752514,61404.9860852449,0.8353773072682875
LightGBM + Position Features,1,3034,757,114193.50062347452,61739.51591760603,0.8738712426406743
LightGBM + Position Features,2,3036,755,122745.8607338449,60340.183225917026,0.8971452145416183
LightGBM + Position Features,3,3032,759,123977.04605277181,59341.04941531262,0.8069942886337422
LightGBM + Position Features,4,3029,762,115688.76807852137,64262.69249511252,0.8792713772496827
LightGBM + Position Features,5,3033,758,135863.62464163365,63874.1782791726,0.8208358178773486
Random Forest,1,3034,757,112651.09538197005,61202.71777161887,0.8772554601968545
Random Forest,2,3036,755,127988.3738377288,60474.434449573026,0.8881716714761888
Random Forest,3,3032,759,137348.08213001606,59409.69950225371,0.7631176019586653
Random Forest,4,3029,762,118313.27938770752,65114.89974124583,0.8737315533537011
Random Forest,5,3033,758,127823.35132766048,60952.25966230884,0.8414138712612652
Ridge Regression,1,3034,757,131052.39256956097,74910.25331860474,0.8338802564016019
Ridge Regression,2,3036,755,161276.47114266778,74930.08875856597,0.8224368603148389
Ridge Regression,3,3032,759,148751.15362142544,74934.90378491042,0.7221513589621087
Ridge Regression,4,3029,762,138964.95695720642,77164.14608381389,0.8258038918636843
Ridge Regression,5,3033,758,144318.63970675378,75856.5420290068,0.797842596302237
