Model,Trim_Level,Removal_Percent,Fold,Training_Rows,Validation_Rows,RMSE_RM,MAE_RM,R2,Adjusted_R2
Ridge Regression,0%,0.0,1,3034,757,131052.39256956097,74910.25331860474,0.8338802564016019,0.8265379472922805
Ridge Regression,0%,0.0,2,3036,755,161276.47114266778,74930.08875856597,0.8224368603148389,0.8145670258689591
Ridge Regression,0%,0.0,3,3032,759,148751.15362142542,74934.90378491042,0.7221513589621087,0.7099045869053422
Ridge Regression,0%,0.0,4,3029,762,138964.95695720642,77164.14608381389,0.8258038918636843,0.8181574234681259
Ridge Regression,0%,0.0,5,3033,758,144318.63970675378,75856.5420290068,0.797842596302237,0.788919786759715
Random Forest,0%,0.0,1,3034,757,112651.09538197004,61202.71777161887,0.8772554601968545,0.8718302871668813
Random Forest,0%,0.0,2,3036,755,127988.3738377288,60474.434449573026,0.8881716714761888,0.8832152912646072
Random Forest,0%,0.0,3,3032,759,137348.08213001606,59409.69950225371,0.7631176019586653,0.7526765045243364
Random Forest,0%,0.0,4,3029,762,118313.27938770752,65114.89974124584,0.8737315533537011,0.8681889054899404
Random Forest,0%,0.0,5,3033,758,127823.35132766048,60952.25966230884,0.8414138712612652,0.8344142076479694
Gradient Boosting,0%,0.0,1,3034,757,120752.96022111716,64973.46414083067,0.8589649956621526,0.8527314043102034
Gradient Boosting,0%,0.0,2,3036,755,132914.6052309377,61012.1327970009,0.8793975299174516,0.874052268085538
Gradient Boosting,0%,0.0,3,3032,759,138102.1230757877,62391.70905934507,0.7605094936561376,0.7499534382800996
Gradient Boosting,0%,0.0,4,3029,762,121578.69199617158,67011.34624070987,0.8666654232085297,0.8608126022794116
Gradient Boosting,0%,0.0,5,3033,758,130233.42183752514,61404.9860852449,0.8353773072682875,0.8281112022097843
LightGBM + Position Features,0%,0.0,1,3034,757,114193.50062347451,61739.51591760603,0.8738712426406743,0.8655100979356132
LightGBM + Position Features,0%,0.0,2,3036,755,122745.8607338449,60340.183225917026,0.8971452145416183,0.8903076262579636
LightGBM + Position Features,0%,0.0,3,3032,759,123977.04605277181,59341.04941531262,0.8069942886337422,0.7942358238880121
LightGBM + Position Features,0%,0.0,4,3029,762,115688.76807852137,64262.69249511253,0.8792713772496827,0.8713242550238215
LightGBM + Position Features,0%,0.0,5,3033,758,135863.62464163365,63874.1782791726,0.8208358178773486,0.8089756537086661
Ridge Regression,0.5%,0.5,1,3019,753,109292.75821691511,68997.15421496688,0.8092358996579883,0.8007574951983433
Ridge Regression,0.5%,0.5,2,3022,750,112031.04652728623,68016.81469252992,0.7987537382221186,0.7897720361622969
Ridge Regression,0.5%,0.5,3,3018,754,109085.43553431302,67927.51315866284,0.7876754305049469,0.7782518712485784
Ridge Regression,0.5%,0.5,4,3012,760,119517.65583515045,73754.95663045994,0.8143838529402427,0.8062136786542562
Ridge Regression,0.5%,0.5,5,3017,755,111416.66357290241,70991.46060700799,0.8246818256282926,0.8169114910301005
Random Forest,0.5%,0.5,1,3019,753,92328.8105460326,56469.01662630016,0.8638591815045911,0.8578084784603507
Random Forest,0.5%,0.5,2,3022,750,103417.60651408823,56106.59803899587,0.8285095260194473,0.8208558368041368
Random Forest,0.5%,0.5,3,3018,754,109460.17865659628,55236.175044205425,0.7862141200930652,0.7767257037865161
Random Forest,0.5%,0.5,4,3012,760,109123.95839165803,61474.216101189995,0.8452638299738336,0.8384528843880876
Random Forest,0.5%,0.5,5,3017,755,93514.22588590375,56364.12075761598,0.8764957201961041,0.8710218462989785
Gradient Boosting,0.5%,0.5,1,3019,753,96770.59660516855,58693.839006530536,0.8504450771695964,0.8437981917104673
Gradient Boosting,0.5%,0.5,2,3022,750,101535.97707380273,55729.065730953465,0.8346931155315833,0.8273154024172328
Gradient Boosting,0.5%,0.5,3,3018,754,104458.50067622607,56407.95684231668,0.8053052287072064,0.7966641292878314
Gradient Boosting,0.5%,0.5,4,3012,760,119272.04004799265,64246.36377614801,0.8151459731546495,0.8070093447377978
