Model,Trim_Level,Removal_Percent,listing_id,scenario_b_fold,actual_price_RM,predicted_price_RM
Ridge Regression,0%,0.0,98187451,2,340000.0,638024.7103011359
Ridge Regression,0%,0.0,101683090,3,250000.0,309887.80423207965
Ridge Regression,0%,0.0,103792905,2,230000.0,215612.3039497833
Ridge Regression,0%,0.0,103806240,3,158000.0,140095.50743991774
Ridge Regression,0%,0.0,103806234,5,305000.0,321101.310050502
Ridge Regression,0%,0.0,103739787,4,425000.0,502276.1682420919
Ridge Regression,0%,0.0,103690767,1,230000.0,262190.34744221263
Ridge Regression,0%,0.0,103615852,4,200000.0,192741.11874306368
Ridge Regression,0%,0.0,103615849,4,275000.0,324059.37944685976
Ridge Regression,0%,0.0,102460346,1,300000.0,243744.61303986295
Ridge Regression,0%,0.0,103806285,2,265000.0,218518.89256793476
Ridge Regression,0%,0.0,103739661,4,790000.0,845651.739273704
Ridge Regression,0%,0.0,103696451,3,230000.0,199425.47855906203
Ridge Regression,0%,0.0,103580644,4,340000.0,380430.1417696709
Ridge Regression,0%,0.0,102452522,2,230000.0,322907.2989466433
Ridge Regression,0%,0.0,103806203,5,430000.0,565908.0094476742
Ridge Regression,0%,0.0,103806202,2,155000.0,196696.89098211884
Ridge Regression,0%,0.0,103806192,4,500000.0,500998.1920942112
Ridge Regression,0%,0.0,103246638,4,350000.0,312938.20069738704
Ridge Regression,0%,0.0,103740356,2,620000.0,694198.6799782827
Ridge Regression,0%,0.0,103589322,3,310000.0,254606.43140563613
Ridge Regression,0%,0.0,103582335,2,240000.0,226847.57502075587
Ridge Regression,0%,0.0,103386504,1,500000.0,653819.9077979019
Ridge Regression,0%,0.0,103684680,2,341500.0,287220.3563243634
Ridge Regression,0%,0.0,103683568,1,230500.0,218232.2025851848
Ridge Regression,0%,0.0,103806074,3,515000.0,534724.4331599893
Ridge Regression,0%,0.0,103805967,2,200000.0,205298.5929505972
Ridge Regression,0%,0.0,103805963,3,298000.0,355491.4959031134
Ridge Regression,0%,0.0,103805953,2,418000.0,402065.8982262671
Ridge Regression,0%,0.0,103615831,1,220000.0,255583.42230252887
Ridge Regression,0%,0.0,102461841,1,320000.0,428312.4567749525
Ridge Regression,0%,0.0,101979792,1,280000.0,425404.16178867576
Ridge Regression,0%,0.0,103806053,4,1150000.0,1116505.6176272312
Ridge Regression,0%,0.0,103715477,2,320000.0,205015.26146519653
Ridge Regression,0%,0.0,103805909,2,880000.0,683203.9297830666
Ridge Regression,0%,0.0,103805998,4,550000.0,380976.02365191455
Ridge Regression,0%,0.0,103292386,3,180000.0,195979.2025580845
Ridge Regression,0%,0.0,103292345,5,200000.0,87473.01096208031
Ridge Regression,0%,0.0,103292300,5,300000.0,225566.78907117408
Ridge Regression,0%,0.0,101804692,3,438000.0,295320.35968408454
Ridge Regression,0%,0.0,100462242,4,700000.0,667267.5193689297
Ridge Regression,0%,0.0,103703580,4,195000.0,174166.79471351652
Ridge Regression,0%,0.0,103640175,1,493000.0,498459.9249799601
Ridge Regression,0%,0.0,102709021,5,195000.0,266867.38210162625
Ridge Regression,0%,0.0,103805884,1,420000.0,378500.88211841136
Ridge Regression,0%,0.0,103125815,2,255000.0,211418.6074631663
Ridge Regression,0%,0.0,103755519,5,240000.0,250041.18932170596
Ridge Regression,0%,0.0,103690820,1,350000.0,423101.6186419779
Ridge Regression,0%,0.0,102135985,3,978000.0,1122913.3761097123
Ridge Regression,0%,0.0,103637327,3,260000.0,220600.7795482993
Ridge Regression,0%,0.0,103594449,5,263000.0,243530.27256278452
Ridge Regression,0%,0.0,103142753,1,168000.0,219328.5710091071
Ridge Regression,0%,0.0,103754290,2,530000.0,412881.5525872821
Ridge Regression,0%,0.0,103805698,5,950000.0,564234.1354885768
Ridge Regression,0%,0.0,103805692,4,375000.0,392499.12278491625
Ridge Regression,0%,0.0,102399058,1,200000.0,173218.85742513556
Ridge Regression,0%,0.0,102725008,1,580000.0,542990.3681046437
Ridge Regression,0%,0.0,102664029,2,228000.0,178456.4866430029
Ridge Regression,0%,0.0,103042046,1,368000.0,349578.92253044056
Ridge Regression,0%,0.0,103805672,3,530000.0,421096.2927924991
Ridge Regression,0%,0.0,103805666,1,670000.0,656731.346404639
Ridge Regression,0%,0.0,103805719,3,295000.0,219266.97034280165
Ridge Regression,0%,0.0,103805714,4,320000.0,329822.4882497426
Ridge Regression,0%,0.0,103805712,4,410000.0,510798.70946555625
Ridge Regression,0%,0.0,102887743,3,100000.0,68545.7310295174
Ridge Regression,0%,0.0,103120855,1,148000.0,192884.34632014995
Ridge Regression,0%,0.0,103795255,3,380500.0,439039.1914393062
Ridge Regression,0%,0.0,103708653,4,620000.0,835015.3469729503
Ridge Regression,0%,0.0,103795254,4,380000.0,449120.8506348093
Ridge Regression,0%,0.0,103795238,1,380300.0,423658.1619249379
Ridge Regression,0%,0.0,103663119,3,280000.0,217728.9551405364
Ridge Regression,0%,0.0,103537807,2,300000.0,240078.72871977164
Ridge Regression,0%,0.0,101480721,3,298000.0,280927.2355754145
