Model,Trim_Level,Removal_Percent,Original_Rows,Retained_Rows,Removed_Rows,Retention_Percentage,RMSE_RM,MAE_RM,R2,Adjusted_R2
Ridge Regression,0%,0.0,3791,3791,0,100.0,145209.18990447978,75561.38457438708,0.8060148934886255,0.8043630777865596
Random Forest,0%,0.0,3791,3791,0,100.0,125115.274556188,61434.97328188159,0.8559872813471051,0.8547609889051433
Gradient Boosting,0%,0.0,3791,3791,0,100.0,128882.87857175295,63363.75760496543,0.8471833632764539,0.8458821039962109
LightGBM + Position Features,0%,0.0,3791,3791,0,100.0,122730.61964179797,61914.61545985386,0.8614246333849803,0.8596845740125769
Ridge Regression,0.5%,0.5,3791,3772,19,99.49881297810605,112345.77566147159,69946.21761992044,0.8083837763979971,0.8067438408122083
Random Forest,0.5%,0.5,3791,3772,19,99.49881297810605,101848.01229425434,57137.99295893062,0.842520546939745,0.8411727687910613
Gradient Boosting,0.5%,0.5,3791,3772,19,99.49881297810605,103043.18337167287,58424.480099972585,0.8388028656616703,0.8374232699679482
LightGBM + Position Features,0.5%,0.5,3791,3772,19,99.49881297810605,99354.7773221289,56875.46278967284,0.8501363550071107,0.8482449502502187
Ridge Regression,1%,1.0,3791,3758,33,99.12951727776313,105566.23860692543,67931.60478446561,0.8015896353181721,0.7998851704403684
Random Forest,1%,1.0,3791,3758,33,99.12951727776313,95754.7718086109,55982.519670995935,0.8367567955372444,0.8353544378076314
Gradient Boosting,1%,1.0,3791,3758,33,99.12951727776313,97056.08162381896,57581.289330723,0.8322896876391755,0.8308489547544651
LightGBM + Position Features,1%,1.0,3791,3758,33,99.12951727776313,93948.7206749224,56004.37019431748,0.8428566521817104,0.8408658873980285
Ridge Regression,2.5%,2.5,3791,3700,91,97.59957794777104,92344.70675498026,63226.72886764531,0.7849265233086544,0.7830496890424632
Random Forest,2.5%,2.5,3791,3700,91,97.59957794777104,81753.15099417418,51180.406621752794,0.8314332771298596,0.8299622830933598
Gradient Boosting,2.5%,2.5,3791,3700,91,97.59957794777104,81109.78531097471,52133.7252058373,0.8340759474992245,0.832628014671293
LightGBM + Position Features,2.5%,2.5,3791,3700,91,97.59957794777104,81280.33055224761,51891.00660532301,0.8333774545283845,0.8312330789431803
Ridge Regression,5%,5.0,3791,3601,190,94.98812978106041,83836.65662343311,58711.587552722776,0.7527253757916494,0.7505076661574939
Random Forest,5%,5.0,3791,3601,190,94.98812978106041,73917.81385107712,48358.479838386396,0.8077749964858756,0.8060510054229686
Gradient Boosting,5%,5.0,3791,3601,190,94.98812978106041,73785.7744539637,49442.91224589347,0.8084611262012283,0.8067432887680555
LightGBM + Position Features,5%,5.0,3791,3601,190,94.98812978106041,72463.70989937868,47919.00262780433,0.8152634712035371,0.8128197287736374
Ridge Regression,10%,10.0,3791,3412,379,90.00263782643103,71834.78225409587,52243.46342791744,0.7384465378893275,0.7359695592602828
Random Forest,10%,10.0,3791,3412,379,90.00263782643103,63847.56002685495,43877.663431902074,0.793376590351974,0.7914198134627356
Gradient Boosting,10%,10.0,3791,3412,379,90.00263782643103,62882.174256509235,44009.55242066023,0.7995777131429127,0.7976796624831237
LightGBM + Position Features,10%,10.0,3791,3412,379,90.00263782643103,61843.12353465537,42997.24568125445,0.8061464552516382,0.8034380377120505
