trim_level,fold,original_rows,retained_rows,removed_rows,training_rows,validation_rows,retention_percentage
0%,1,3791,3791,0,3034,757,100.0
0%,2,3791,3791,0,3036,755,100.0
0%,3,3791,3791,0,3032,759,100.0
0%,4,3791,3791,0,3029,762,100.0
0%,5,3791,3791,0,3033,758,100.0
0.5%,1,3791,3772,19,3019,753,99.49881297810605
0.5%,2,3791,3772,19,3022,750,99.49881297810605
0.5%,3,3791,3772,19,3018,754,99.49881297810605
0.5%,4,3791,3772,19,3012,760,99.49881297810605
0.5%,5,3791,3772,19,3017,755,99.49881297810605
1%,1,3791,3758,33,3009,749,99.12951727776313
1%,2,3791,3758,33,3010,748,99.12951727776313
1%,3,3791,3758,33,3005,753,99.12951727776313
1%,4,3791,3758,33,3001,757,99.12951727776313
1%,5,3791,3758,33,3007,751,99.12951727776313
2.5%,1,3791,3700,91,2958,742,97.59957794777104
2.5%,2,3791,3700,91,2963,737,97.59957794777104
2.5%,3,3791,3700,91,2957,743,97.59957794777104
2.5%,4,3791,3700,91,2961,739,97.59957794777104
2.5%,5,3791,3700,91,2961,739,97.59957794777104
5%,1,3791,3601,190,2878,723,94.98812978106041
5%,2,3791,3601,190,2889,712,94.98812978106041
5%,3,3791,3601,190,2874,727,94.98812978106041
5%,4,3791,3601,190,2877,724,94.98812978106041
5%,5,3791,3601,190,2886,715,94.98812978106041
10%,1,3791,3412,379,2725,687,90.00263782643103
10%,2,3791,3412,379,2733,679,90.00263782643103
10%,3,3791,3412,379,2723,689,90.00263782643103
10%,4,3791,3412,379,2735,677,90.00263782643103
10%,5,3791,3412,379,2732,680,90.00263782643103
