Model,Trim_Level,Removal_Percent,Segment,Rows,RMSE_RM,MAE_RM,Mean_Prediction_Error_RM,Underprediction_Pct
LightGBM + Position Features,A,0.0,Remaining 95%,3601,76009.23118754945,48101.103111454206,6061.7630368512055,45.95945570674812
LightGBM + Position Features,A,0.0,Top 5%,190,415446.4238498363,279463.5402638327,-109085.27788428802,63.1578947368421
LightGBM + Position Features,A,0.0,95-99%,151,300779.68168163765,220847.7143551417,-64811.550231635716,62.913907284768214
LightGBM + Position Features,A,0.0,99-100%,39,700411.197051304,506411.9944231234,-280504.06956507004,64.1025641025641
LightGBM + Position Features,B,0.5,Remaining 95%,3601,74786.0905078351,48143.68046126458,4290.500784888129,47.070258261594
LightGBM + Position Features,B,0.5,Top 5%,190,464367.75795553054,300404.9084915226,-160242.77677431956,66.84210526315789
LightGBM + Position Features,B,0.5,95-99%,151,276248.32253016287,197299.85895108304,-94685.6853982531,63.576158940397356
LightGBM + Position Features,B,0.5,99-100%,39,868949.0452830214,699606.5105583529,-414066.3869739614,79.48717948717949
LightGBM + Position Features,C,1.0,Remaining 95%,3601,74303.64620380606,48174.715115393425,4970.436792303578,45.90391557900583
LightGBM + Position Features,C,1.0,Top 5%,190,481450.8594007515,317029.18140238954,-215185.74459226092,70.0
LightGBM + Position Features,C,1.0,95-99%,151,272369.84546117694,199410.4590422599,-104016.70466168474,65.56291390728477
LightGBM + Position Features,C,1.0,99-100%,39,917620.2703700879,772424.747463404,-645609.4632978251,87.17948717948718
LightGBM + Position Features,D,2.5,Remaining 95%,3601,71758.1912721665,47067.56094275075,3230.689782235922,47.18133851707859
LightGBM + Position Features,D,2.5,Top 5%,190,567503.4616179315,385740.2218197656,-338528.36439200654,82.10526315789474
LightGBM + Position Features,D,2.5,95-99%,151,320424.5529898508,236390.94916852136,-196315.81922438397,78.1456953642384
LightGBM + Position Features,D,2.5,99-100%,39,1082352.3524844118,963989.9697771472,-889146.1674769047,97.43589743589743
LightGBM + Position Features,E,5.0,Remaining 95%,3601,71354.40044709474,46662.17680792927,-1293.8932149552772,48.84754234934741
LightGBM + Position Features,E,5.0,Top 5%,190,692031.75741627,512984.69703916716,-498064.7047069689,93.6842105263158
LightGBM + Position Features,E,5.0,95-99%,151,417735.2911501733,348402.41352926847,-329628.913243721,92.05298013245033
LightGBM + Position Features,E,5.0,99-100%,39,1287440.2383688993,1150213.5383210827,-1150213.5383210827,100.0
LightGBM + Position Features,F,10.0,Remaining 95%,3601,74575.01263131932,48588.24468066351,-7434.363889207782,49.54179394612608
LightGBM + Position Features,F,10.0,Top 5%,190,779100.8770047899,603231.9247243127,-589835.2217431351,96.3157894736842
LightGBM + Position Features,F,10.0,95-99%,151,486306.8359739284,420153.9676912106,-403297.189105623,95.36423841059603
LightGBM + Position Features,F,10.0,99-100%,39,1428815.2560279393,1312072.2199037592,-1312072.2199037592,100.0
Random Forest,A,0.0,Remaining 95%,3601,77146.66173710334,49090.16064077609,7904.711085992939,43.79339072479867
Random Forest,A,0.0,Top 5%,190,443248.1554008943,286306.9084315925,-111397.84130555988,60.526315789473685
Random Forest,A,0.0,95-99%,151,300822.97472347075,209399.87577212843,-59854.76157977943,56.95364238410596
Random Forest,A,0.0,99-100%,39,778961.050345397,584075.1630874661,-310962.0730643508,74.35897435897436
Random Forest,B,0.5,Remaining 95%,3601,75698.39511862498,48895.56841325306,6905.555813166043,44.4043321299639
Random Forest,B,0.5,Top 5%,190,473117.39595582464,299999.2628722634,-159442.3645087422,63.1578947368421
Random Forest,B,0.5,95-99%,151,288713.88598524965,204096.6567097182,-90572.94497380537,60.264900662251655
Random Forest,B,0.5,99-100%,39,876222.9763282749,671314.4816041692,-426090.6298876004,74.35897435897436
Random Forest,C,1.0,Remaining 95%,3601,75188.86383746871,48656.996276452606,6846.673599068612,43.79339072479867
Random Forest,C,1.0,Top 5%,190,511744.4961139038,334905.3901926499,-239772.54988424177,70.0
Random Forest,C,1.0,95-99%,151,286820.7676590551,204455.55088298046,-113701.65041254667,64.23841059602648
Random Forest,C,1.0,99-100%,39,978427.211247934,839980.409058293,-727893.2119413175,92.3076923076923
Random Forest,D,2.5,Remaining 95%,3601,74779.4948716015,48266.13508916047,4583.86192292098,44.709802832546515
Random Forest,D,2.5,Top 5%,190,573644.0249692921,386052.7259587673,-321845.248336348,78.42105263157895
Random Forest,D,2.5,95-99%,151,325044.0901296639,235690.94539774806,-181006.10958489045,74.17218543046357
Random Forest,D,2.5,99-100%,39,1092739.630036065,968222.6968488676,-867145.5035022476,94.87179487179486
Random Forest,E,5.0,Remaining 95%,3601,73388.95455725864,48170.61053053315,2079.968045783275,45.62621494029436
Random Forest,E,5.0,Top 5%,190,661774.3097459233,487026.2481950094,-456910.74336526793,88.42105263157895
Random Forest,E,5.0,95-99%,151,412896.1655188061,336939.33416441636,-299791.1158341683,86.09271523178808
Random Forest,E,5.0,99-100%,39,1213879.4058827236,1068131.9922621774,-1065245.7114985,97.43589743589743
Random Forest,F,10.0,Remaining 95%,3601,77469.625250763,50329.35788513385,-6533.845182919075,48.65315190224938
Random Forest,F,10.0,Top 5%,190,748675.1797388673,572973.4162328141,-553663.1159225958,92.10526315789474
Random Forest,F,10.0,95-99%,151,471682.16439365776,398962.01374853717,-374664.2848813752,90.06622516556291
Random Forest,F,10.0,99-100%,39,1367223.145073525,1246709.872005271,-1246709.872005271,100.0
