Model,Trim_Level,Removal_Percent,Mean_Training_Rows_Removed,Mean_Training_Rows_Retained,Mean_Training_Removal_Pct,Mean_Training_Cutoff_RM,OOF_Rows,RMSE_RM,MAE_RM,R2,Adjusted_R2,Median_AE_RM,RMSE_Change_vs_0_RM,MAE_Change_vs_0_RM,RMSE_Fold_Wins_vs_0,MAE_Fold_Wins_vs_0,Top5_RMSE_RM,P95_99_RMSE_RM,P99_100_RMSE_RM,Top5_Underprediction_Pct
LightGBM + Position Features,A,0.0,0.0,3032.8,0.0,,3791,118903.83223288442,59696.6881969071,0.8699315734735508,0.8682983338137209,31739.025660425716,0.0,0.0,0.0,0.0,415446.4238498363,300779.68168163765,700411.197051304,63.1578947368421
LightGBM + Position Features,B,0.5,15.4,3017.4,0.5077570760560508,2269419.9649999975,3791,126965.014216201,60786.685822844396,0.8516975541094538,0.8498353540141144,32591.506771477405,8061.181983316579,1089.9976259372997,2.0,2.0,464367.75795553054,276248.32253016287,868949.0452830214,66.84210526315789
LightGBM + Position Features,C,1.0,30.2,3002.6,0.9957731135554699,1694879.9999999993,3791,129852.1696207823,61649.35204352037,0.844876139881056,0.8429282848381519,32768.99763137108,10948.337387897875,1952.6638466132717,0.0,0.0,481450.8594007515,272369.84546117694,917620.2703700879,70.0
LightGBM + Position Features,D,2.5,74.4,2958.4,2.453200893352318,1199061.9999999986,3791,145025.52562866063,64041.395172936136,0.8065052977453471,0.8040756287616525,31973.043451730482,26121.69339577621,4344.70697602904,0.0,0.0,567503.4616179315,320424.5529898508,1082352.3524844118,82.10526315789474
LightGBM + Position Features,E,5.0,149.6,2883.2,4.932776143914669,909199.9999999998,3791,169819.07625438934,70033.65632360724,0.7346902986163719,0.7313588650163103,31809.561398000922,50915.244021504914,10336.968126700143,0.0,0.0,692031.75741627,417735.2911501733,1287440.2383688993,93.6842105263158
LightGBM + Position Features,F,10.0,298.0,2734.8,9.82587225361361,696799.9,3791,188956.7716947339,76386.26610200177,0.6715228957953642,0.6673982834796768,33111.587588962575,70052.93946184948,16689.577905094673,0.0,0.0,779100.8770047899,486306.8359739284,1428815.2560279393,96.3157894736842
Random Forest,A,0.0,0.0,3032.8,0.0,,3791,124499.35033010734,60979.15617764107,0.8574016984396978,0.8561874499963956,33052.08816620376,0.0,0.0,0.0,0.0,443248.1554008943,300822.97472347075,778961.050345397,60.526315789473685
Random Forest,B,0.5,15.4,3017.4,0.5077570760560508,2269419.9649999975,3791,129079.92990282435,61480.55969450127,0.8467157178925405,0.8454104765334562,33245.21783341246,4580.579572717019,501.40351686020585,1.0,2.0,473117.39595582464,288713.88598524965,876222.9763282749,63.1578947368421
Random Forest,C,1.0,30.2,3002.6,0.9957731135554699,1694879.9999999993,3791,135997.18158456494,63003.39428333139,0.8298468479617581,0.828397965347276,33066.270527321234,11497.831254457604,2024.238105690325,0.0,0.0,511744.4961139038,286820.7676590551,978427.211247934,70.0
Random Forest,D,2.5,74.4,2958.4,2.453200893352318,1199061.9999999986,3791,147662.2660978572,65195.56064052563,0.7994053986693375,0.7976973020108539,32866.4517631926,23162.915767749873,4216.404462884566,0.0,0.0,573644.0249692921,325044.0901296639,1092739.630036065,78.42105263157895
Random Forest,E,5.0,149.6,2883.2,4.932776143914669,909199.9999999998,3791,164515.19475782162,70165.4855387765,0.751004089496156,0.7488838475759529,32702.85924312321,40015.844427714284,9186.329361135431,0.0,0.0,661774.3097459233,412896.1655188061,1213879.4058827236,88.42105263157895
Random Forest,F,10.0,298.0,2734.8,9.82587225361361,696799.9,3791,183828.76226946284,76523.59979651851,0.6891097453436648,0.6864624627068892,33537.560871569614,59329.4119393555,15544.443618877442,0.0,0.0,748675.1797388673,471682.16439365776,1367223.145073525,92.10526315789474
