Model,Candidate_ID,Parameters_JSON,CV_RMSE_RM,CV_MAE_RM,CV_R2,CV_Adjusted_R2,Candidate_Rank,Selected
Ridge Regression,31,"{""alpha"": 1000.0}",141108.82942983773,75018.33170320009,0.8168155685875212,0.8152557224445731,1,True
Ridge Regression,30,"{""alpha"": 630.9573444801943}",141927.822334135,75060.69886785546,0.8146830000405058,0.8131049947188709,2,False
Ridge Regression,29,"{""alpha"": 398.1071705534977}",142720.60548048152,75130.4029095204,0.8126069234049113,0.8110112399426859,3,False
Ridge Regression,28,"{""alpha"": 251.18864315095823}",143421.47519002942,75221.3697765441,0.8107619113668267,0.809150517317795,4,False
Ridge Regression,27,"{""alpha"": 158.48931924611142}",143988.53539810245,75317.04064567309,0.809262532980876,0.8076383714735285,5,False
Ridge Regression,26,"{""alpha"": 100.0}",144414.7449706785,75394.68227292136,0.8081316866898661,0.8064978958367729,6,False
Ridge Regression,25,"{""alpha"": 63.09573444801943}",144717.6387535628,75456.38623388657,0.8073259979790908,0.8056853465515578,7,False
Ridge Regression,24,"{""alpha"": 39.81071705534978}",144924.4474741031,75499.80236000937,0.8067749229944885,0.8051295790710781,8,False
Ridge Regression,23,"{""alpha"": 25.11886431509582}",145061.82907532025,75528.930069818,0.8064084126793949,0.8047599478592088,9,False
Ridge Regression,22,"{""alpha"": 15.848931924611142}",145151.43708975537,75548.42167199306,0.8061691668930724,0.804518664854908,10,False
Ridge Regression,21,"{""alpha"": 10.0}",145209.18990447978,75561.38457438708,0.8060148934886255,0.8043630777865596,11,False
Ridge Regression,20,"{""alpha"": 6.309573444801936}",145246.12569643432,75569.68750287026,0.8059161958126119,0.8042635396832887,12,False
Ridge Regression,19,"{""alpha"": 3.981071705534973}",145269.63150903015,75575.03539833904,0.8058533718762172,0.8042001807905437,13,False
Ridge Regression,18,"{""alpha"": 2.5118864315095824}",145284.5435136651,75578.42106378883,0.805813511322006,0.804159980817031,14,False
Ridge Regression,17,"{""alpha"": 1.584893192461114}",145293.98475366525,75580.56182944957,0.8057882722873493,0.8041345268677631,15,False
Ridge Regression,16,"{""alpha"": 1.0}",145299.9547278022,75581.91438183653,0.8057723120559116,0.8041184307322791,16,False
Ridge Regression,15,"{""alpha"": 0.6309573444801936}",145303.72669803412,75582.76851128005,0.8057622276678209,0.8041082604739332,17,False
Ridge Regression,14,"{""alpha"": 0.3981071705534973}",145306.10871256547,75583.3077202363,0.8057558592008978,0.8041018377784467,18,False
Ridge Regression,13,"{""alpha"": 0.25118864315095824}",145307.61248399466,75583.64805353756,0.8057518387188509,0.8040977830613212,19,False
Ridge Regression,12,"{""alpha"": 0.15848931924611143}",145308.5616270357,75583.86283532379,0.8057493010693841,0.8040952238033438,20,False
Ridge Regression,11,"{""alpha"": 0.1}",145309.16062621,75583.99837178554,0.8057476995636397,0.8040936086605094,21,False
Ridge Regression,10,"{""alpha"": 0.06309573444801933}",145309.53862106623,75584.08389680517,0.8057466889395941,0.8040925894308306,22,False
Ridge Regression,9,"{""alpha"": 0.039810717055349734}",145309.77714037333,75584.13786234857,0.805746051222296,0.8040919462832629,23,False
Ridge Regression,8,"{""alpha"": 0.025118864315095808}",145309.92764411427,75584.17191346077,0.805745648827334,0.8040915404618403,24,False
Ridge Regression,7,"{""alpha"": 0.01584893192461114}",145310.0226088325,75584.19339872045,0.8057453949243,0.8040912843967793,25,False
Ridge Regression,6,"{""alpha"": 0.01}",145310.08252882384,75584.20695518612,0.8057452347187416,0.8040911228270438,26,False
Ridge Regression,5,"{""alpha"": 0.00630957344480193}",145310.12033630197,75584.21550881067,0.805745133634445,0.8040910208819975,27,False
Ridge Regression,4,"{""alpha"": 0.003981071705534973}",145310.1441914148,75584.22090581195,0.8057450698539991,0.8040909565584504,28,False
Ridge Regression,3,"{""alpha"": 0.0025118864315095794}",145310.15924305576,75584.2243111011,0.8057450296110328,0.8040909159728085,29,False
Ridge Regression,2,"{""alpha"": 0.001584893192461114}",145310.16874003195,75584.22645969791,0.8057450042193479,0.8040908903649091,30,False
Ridge Regression,1,"{""alpha"": 0.001}",145310.17473223188,75584.22781537268,0.805744988198242,0.8040908742073809,31,False
Random Forest,19,"{""bootstrap"": true, ""criterion"": ""poisson"", ""max_depth"": 30, ""max_features"": 0.5, ""min_samples_leaf"": 3, ""min_samples_split"": 2, ""n_estimators"": 1200, ""n_jobs"": -1, ""random_state"": 42}",124499.35033010734,60979.15617764107,0.8574016984396978,0.8561874499963956,1,True
Random Forest,30,"{""bootstrap"": true, ""criterion"": ""squared_error"", ""max_depth"": null, ""max_features"": 0.5, ""min_samples_leaf"": 4, ""min_samples_split"": 8, ""n_estimators"": 900, ""n_jobs"": -1, ""random_state"": 42}",124684.17352461963,61526.33987854224,0.8569780008650436,0.8557601445658636,2,False
Random Forest,9,"{""bootstrap"": true, ""criterion"": ""poisson"", ""max_depth"": 30, ""max_features"": 0.5, ""min_samples_leaf"": 2, ""min_samples_split"": 4, ""n_estimators"": 900, ""n_jobs"": -1, ""random_state"": 42}",124687.83486829123,60752.23516606996,0.8569696010759582,0.855751673251166,3,False
Random Forest,50,"{""bootstrap"": true, ""criterion"": ""squared_error"", ""max_depth"": null, ""max_features"": 0.5, ""min_samples_leaf"": 4, ""min_samples_split"": 4, ""n_estimators"": 300, ""n_jobs"": -1, ""random_state"": 42}",124726.44258881538,61566.950168503645,0.8568810129215761,0.8556623307537982,4,False
Random Forest,15,"{""bootstrap"": true, ""criterion"": ""poisson"", ""max_depth"": 20, ""max_features"": 0.5, ""min_samples_leaf"": 3, ""min_samples_split"": 10, ""n_estimators"": 500, ""n_jobs"": -1, ""random_state"": 42}",124729.59087691442,61279.81009980781,0.8568737877417172,0.8556550440503214,5,False
Random Forest,46,"{""bootstrap"": true, ""criterion"": ""poisson"", ""max_depth"": 16, ""max_features"": 0.7, ""min_samples_leaf"": 4, ""min_samples_split"": 4, ""n_estimators"": 300, ""n_jobs"": -1, ""random_state"": 42}",124978.45924619766,61647.78455727977,0.8563020690016444,0.8550784570293327,6,False
Random Forest,38,"{""bootstrap"": true, ""criterion"": ""poisson"", ""max_depth"": 20, ""max_features"": 0.5, ""min_samples_leaf"": 2, ""min_samples_split"": 6, ""n_estimators"": 700, ""n_jobs"": -1, ""random_state"": 42}",125096.5433436316,60838.32745145071,0.8560303988789565,0.8548044735900067,7,False
Random Forest,1,"{""bootstrap"": true, ""criterion"": ""squared_error"", ""max_depth"": 24, ""max_features"": 0.7, ""min_samples_leaf"": 3, ""min_samples_split"": 6, ""n_estimators"": 700, ""n_jobs"": -1, ""random_state"": 42}",125115.27455618799,61434.97328188159,0.8559872813471052,0.8547609889051434,8,False
Random Forest,25,"{""bootstrap"": true, ""criterion"": ""poisson"", ""max_depth"": 20, ""max_features"": 0.8, ""min_samples_leaf"": 3, ""min_samples_split"": 6, ""n_estimators"": 300, ""n_jobs"": -1, ""random_state"": 42}",125168.16431546025,61383.255864370425,0.8558654991272041,0.854638169689224,9,False
Random Forest,32,"{""bootstrap"": true, ""criterion"": ""squared_error"", ""max_depth"": null, ""max_features"": 0.7, ""min_samples_leaf"": 5, ""min_samples_split"": 10, ""n_estimators"": 900, ""n_jobs"": -1, ""random_state"": 42}",125219.6416045474,62078.77307686691,0.8557469197882575,0.8545185806273272,10,False
Random Forest,26,"{""bootstrap"": true, ""criterion"": ""poisson"", ""max_depth"": 12, ""max_features"": 0.5, ""min_samples_leaf"": 3, ""min_samples_split"": 8, ""n_estimators"": 700, ""n_jobs"": -1, ""random_state"": 42}",125269.3283631669,61876.39270991332,0.8556324187419506,0.8544031045854159,11,False
Random Forest,33,"{""bootstrap"": true, ""criterion"": ""poisson"", ""max_depth"": 16, ""max_features"": 0.5, ""min_samples_leaf"": 2, ""min_samples_split"": 10, ""n_estimators"": 300, ""n_jobs"": -1, ""random_state"": 42}",125277.36985720489,61314.74562735219,0.8556138831862591,0.8543844111963603,12,False
Random Forest,5,"{""bootstrap"": true, ""criterion"": ""squared_error"", ""max_depth"": 30, ""max_features"": 0.8, ""min_samples_leaf"": 4, ""min_samples_split"": 4, ""n_estimators"": 500, ""n_jobs"": -1, ""random_state"": 42}",125282.88561713845,62052.096785250564,0.8556011687320672,0.8543715884764594,13,False
Random Forest,42,"{""bootstrap"": true, ""criterion"": ""squared_error"", ""max_depth"": 16, ""max_features"": 0.7, ""min_samples_leaf"": 5, ""min_samples_split"": 4, ""n_estimators"": 300, ""n_jobs"": -1, ""random_state"": 42}",125302.11226213463,62228.54780531133,0.8555568447513896,0.8543268870696559,14,False
Random Forest,29,"{""bootstrap"": true, ""criterion"": ""poisson"", ""max_depth"": 16, ""max_features"": 0.5, ""min_samples_leaf"": 2, ""min_samples_split"": 10, ""n_estimators"": 1200, ""n_jobs"": -1, ""random_state"": 42}",125403.88330818499,61275.221942043325,0.8553221144583163,0.8540901580087863,15,False
Random Forest,44,"{""bootstrap"": true, ""criterion"": ""squared_error"", ""max_depth"": 16, ""max_features"": 0.5, ""min_samples_leaf"": 2, ""min_samples_split"": 2, ""n_estimators"": 700, ""n_jobs"": -1, ""random_state"": 42}",125523.55299959789,61417.73562204592,0.855045857959698,0.85381154913977,16,False
Random Forest,18,"{""bootstrap"": true, ""criterion"": ""poisson"", ""max_depth"": null, ""max_features"": 0.7, ""min_samples_leaf"": 2, ""min_samples_split"": 8, ""n_estimators"": 700, ""n_jobs"": -1, ""random_state"": 42}",125576.32751904319,61362.35696213932,0.8549239446909063,0.8536885977590566,17,False
Random Forest,6,"{""bootstrap"": true, ""criterion"": ""poisson"", ""max_depth"": 30, ""max_features"": 0.7, ""min_samples_leaf"": 2, ""min_samples_split"": 6, ""n_estimators"": 700, ""n_jobs"": -1, ""random_state"": 42}",125607.72675105992,61099.07300275085,0.8548513856933033,0.8536154209094251,18,False
